Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
17	2nd Row	80:00	-	-	-	-	-	-	-	-	42	4	39	-	17	-	-	-	-	1	3	-	3.28s	-	-	-	-	1	1	5	0.25	80.39%	41	5	5	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	1	Titans	Wests Tigers
12	2nd Row	66:00	-	-	-	-	-	-	-	-	32	6	53	-	19	-	-	-	-	5	6	-	4.62s	-	-	-	-	-	-	6	-	83.33%	30	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	1	-	-	-	59:39	06:19	2	Titans	Dragons
12	2nd Row	77:00	-	-	-	-	-	-	-	-	27	9	61	-	21	-	-	-	-	2	9	-	4.48s	-	-	-	1	-	1	10	0.11	77.14%	27	5	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	76:37	-	3	Titans	Storm
12	2nd Row	73:00	-	-	-	-	-	-	-	-	29	7	70	-	13	-	-	-	-	1	6	-	3.21s	-	-	-	-	-	-	7	-	86.49%	32	5	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	-	-	-	-	-	-	66:50	06:13	4	Titans	Cowboys
12	2nd Row	67:00	-	-	-	-	-	-	-	-	36	7	58	-	22	-	-	-	-	4	7	-	2.97s	-	-	-	-	-	4	12	0.57	83.67%	41	8	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	66:47	-	6	Titans	Dragons
12	2nd Row	62:00	-	-	-	-	-	-	-	-	11	5	39	-	5	-	-	-	-	-	5	-	4.64s	-	-	-	-	-	-	5	-	77.14%	27	7	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	61:40	-	7	Titans	Broncos
12	2nd Row	80:00	-	-	-	-	-	-	-	-	35	6	47	-	20	-	-	-	-	-	6	-	3.3s	-	-	-	-	-	-	6	-	86.05%	37	3	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	80:00	-	8	Titans	Dolphins
12	2nd Row	58:00	-	-	-	-	-	-	-	-	45	5	58	-	18	1	-	-	-	2	5	-	3.58s	-	-	-	-	-	1	6	0.2	91.89%	34	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	57:40	-	9	Titans	Sea Eagles
12	2nd Row	59:00	-	-	-	-	-	-	-	-	31	4	37	11	7	-	-	-	-	-	3	-	4.26s	-	-	-	-	-	1	6	0.25	94.12%	32	-	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	58:31	-	10	Titans	Eels
12	2nd Row	54:00	-	-	-	-	-	-	-	-	11	3	18	-	3	-	-	-	-	1	3	-	4.8s	-	-	-	-	-	-	3	-	75%	24	7	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	54:23	-	11	Titans	Knights
12	2nd Row	57:00	4	1	-	-	-	-	-	-	39	6	34	-	9	1	-	-	-	3	5	-	3.28s	-	-	-	-	-	-	7	-	82.76%	24	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	56:51	-	12	Titans	Bulldogs
12	2nd Row	47:00	-	-	-	-	-	-	-	-	22	4	25	-	11	-	-	-	-	-	4	-	3.1s	-	-	-	-	-	-	4	-	92.31%	24	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	46:43	-	14	Titans	Rabbitohs
