Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
5	Winger	80:00	-	-	-	-	-	-	-	-	25	12	144	17	50	-	-	-	-	3	-	-	4.1s	-	-	-	-	-	2	14	0.17	81.82%	9	-	2	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	1	Titans	Wests Tigers
5	Winger	80:00	-	-	-	-	-	-	-	-	17	9	126	-	51	1	-	-	-	2	-	-	3.89s	1	7	-	-	1	-	9	-	33.33%	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	2	Titans	Dragons
19	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	Titans	Broncos
5	Winger	80:00	-	-	-	-	-	-	-	-	47	10	99	3	25	1	-	-	-	5	-	-	3.36s	-	-	-	-	-	2	11	0.2	72%	18	3	4	-	2	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	-	-	-	80:00	-	8	Titans	Dolphins
4	Centre	80:00	-	-	-	-	-	-	-	-	40	11	102	-	32	-	-	-	-	2	-	-	3.3s	-	-	-	-	-	1	11	0.09	91.67%	22	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	9	Titans	Sea Eagles
4	Centre	80:00	-	-	-	-	-	-	-	-	54	15	136	-	33	-	-	-	-	3	-	-	4.15s	-	-	-	-	2	6	16	0.4	90%	27	1	2	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	10	Titans	Eels
4	Centre	80:00	-	-	-	-	-	-	-	-	32	10	82	5	28	-	-	-	-	4	-	-	3.65s	-	-	-	1	-	1	10	0.1	84.21%	16	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	11	Titans	Knights
4	Winger	80:00	-	-	-	-	-	-	-	-	18	12	129	35	39	-	-	-	-	1	-	-	3.5s	-	-	-	1	-	-	12	-	50%	2	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	12	Titans	Bulldogs
5	Winger	80:00	4	1	-	-	-	-	-	-	27	12	85	21	29	1	-	-	-	1	-	-	2.83s	-	-	-	-	-	4	16	0.33	57.14%	4	2	1	-	3	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	14	Titans	Rabbitohs
18	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	Titans	Wests Tigers
20	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	Titans	Broncos
18	Winger	80:00	4	1	-	-	-	-	-	-	33	16	143	14	43	1	-	-	-	1	-	-	3.79s	-	-	-	1	-	5	19	0.31	71.43%	10	4	-	-	1	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	18	Titans	Raiders
16	Interchange	07:00	-	-	-	-	-	-	-	-	6	2	35	20	14	-	-	-	-	1	-	-	3.64s	-	-	-	-	-	-	3	-	100%	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	03:05	03:04	19	Titans	Dolphins
17	Centre	80:00	-	-	-	-	-	-	-	-	28	12	114	36	41	1	-	-	-	2	-	-	3.33s	-	-	-	1	2	6	15	0.5	81.82%	9	1	1	-	2	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	20	Titans	Eels
4	Centre	80:00	-	-	-	-	-	-	-	-	18	8	77	-	28	-	-	-	-	-	-	-	4.16s	-	-	-	-	2	3	10	0.38	76%	19	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	21	Titans	Roosters
4	Centre	41:00	-	-	-	-	-	-	-	-	30	6	63	-	25	-	1	-	-	1	-	-	3.43s	-	-	-	1	-	-	6	-	100%	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40:01	-	22	Titans	Cowboys
