Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
8	Prop	41:00	-	-	-	-	-	-	-	-	34	11	127	-	30	-	-	-	-	1	11	-	2.83s	-	-	-	-	-	-	11	-	82.76%	24	2	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22:52	17:58	1	Cowboys	Raiders
8	Prop	52:00	-	-	-	-	-	-	-	-	44	13	142	-	70	-	-	-	-	-	13	-	3.29s	-	-	-	-	-	1	14	0.08	96.97%	32	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	25:15	26:57	2	Cowboys	Broncos
8	Prop	46:00	-	-	-	-	-	-	-	-	50	10	76	22	12	-	-	-	-	1	7	-	4.02s	-	-	-	-	-	1	11	0.1	97.44%	38	-	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	21:12	24:51	3	Cowboys	Warriors
8	Prop	49:00	-	-	-	-	-	-	-	-	40	11	137	21	53	-	-	-	-	-	9	-	3.01s	-	-	-	-	-	2	12	0.18	96.88%	31	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	23:00	05:29	4	Cowboys	Titans
8	Prop	42:00	-	-	-	-	-	-	-	-	33	13	120	-	18	-	-	-	-	-	13	-	2.75s	-	-	-	-	-	-	13	-	95.83%	23	-	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	26:13	15:43	5	Cowboys	Bulldogs
8	Prop	51:00	-	-	-	-	-	-	-	-	42	12	129	-	40	-	-	-	-	-	10	-	3.03s	-	-	-	-	1	5	16	0.42	86.36%	38	4	2	-	-	1	2	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	14:39	26:19	8	Cowboys	Knights
8	Prop	44:00	-	-	-	-	-	-	-	-	37	10	87	17	21	-	-	-	-	1	7	-	3.36s	-	-	-	1	2	3	12	0.3	96.15%	25	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16:10	27:43	9	Cowboys	Sharks
8	Prop	43:00	-	-	-	-	-	-	-	-	39	15	133	21	54	-	-	-	-	3	13	-	3.39s	-	-	-	-	1	4	19	0.27	95.65%	22	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	23:02	19:44	10	Cowboys	Roosters
8	Prop	54:00	-	-	-	-	-	-	-	-	44	9	102	-	22	1	1	-	-	-	8	-	2.51s	-	-	-	-	2	3	11	0.33	100%	29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	26:29	27:30	11	Cowboys	Dragons
8	Prop	53:00	-	-	-	-	-	-	-	-	41	9	88	16	26	-	-	-	-	1	6	-	3.68s	-	-	-	-	-	3	11	0.33	97.06%	33	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	28:51	23:39	12	Cowboys	Wests Tigers
