Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
4	Centre	80:00	-	-	-	-	-	-	-	-	38	16	137	5	51	-	1	1	-	4	2	-	3.95s	2	6	-	-	-	3	17	0.19	80.77%	21	5	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	2	Roosters	Warriors
4	Centre	77:00	-	-	-	-	-	-	-	-	35	16	136	-	30	-	-	-	-	6	-	-	3.41s	2	1	-	1	-	4	19	0.25	84.21%	16	3	-	-	-	-	-	-	-	-	-	-	-	-	3	2	-	1	-	-	1	1	-	77:00	-	3	Roosters	Rabbitohs
1	Fullback	80:00	-	-	-	-	-	-	-	-	47	22	200	39	62	-	-	-	-	7	1	-	3.16s	4	49	-	-	-	11	34	0.5	84.62%	11	2	-	-	3	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	6	Roosters	Storm
4	Centre	80:00	-	-	-	-	-	-	-	-	25	11	79	-	28	-	-	-	-	5	-	-	2.96s	1	-	-	1	-	3	18	0.27	81.25%	26	5	1	-	-	-	-	-	-	-	-	-	-	-	3	3	-	3	-	-	-	-	-	80:00	-	7	Roosters	Sharks
6	Five-Eighth	80:00	4	1	-	-	-	-	-	-	70	17	127	-	29	1	-	-	-	11	-	-	3.78s	4	34	-	1	1	15	28	0.88	78.38%	29	5	3	-	-	1	34	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	80:00	-	8	Roosters	Dragons
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	64	16	149	2	53	-	-	-	-	7	-	-	3.4s	2	22	-	1	2	12	27	0.75	92.86%	26	2	-	-	1	4	111	1	1	2	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	9	Roosters	Warriors
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	50	14	125	-	51	-	1	-	-	5	-	-	3.52s	-	-	-	2	5	20	38	1.43	81.58%	31	7	-	-	-	4	97	2	1	1	-	-	-	-	2	2	-	2	-	-	-	-	-	80:00	-	10	Roosters	Cowboys
6	Five-Eighth	55:00	-	-	-	-	-	-	-	-	27	8	70	6	18	-	-	-	-	3	-	-	4.34s	-	-	-	-	1	13	23	1.63	75%	18	3	3	-	2	1	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	54:43	-	11	Roosters	Panthers
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	28	14	118	-	20	-	-	-	-	6	-	-	3.56s	1	-	-	-	2	12	25	0.86	78.95%	15	3	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	80:00	-	14	Roosters	Bulldogs
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	39	15	113	-	56	-	-	-	-	3	-	-	3.84s	-	-	-	2	2	15	35	1	78.57%	22	4	2	-	-	5	148	-	2	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	15	Roosters	Panthers
1	Fullback	80:00	4	1	-	-	-	-	-	-	99	29	318	54	83	1	-	-	-	7	1	-	3.55s	4	51	-	6	8	5	36	0.17	87.5%	7	1	-	-	2	1	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	16	Roosters	Knights
4	Centre	80:00	8	2	-	-	-	-	-	-	59	11	108	-	21	1	-	-	-	5	1	-	3.63s	-	-	-	-	1	3	13	0.27	84.38%	27	3	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	17	Roosters	Raiders
4	Centre	80:00	4	1	-	-	-	-	-	-	57	13	128	24	23	1	1	1	-	13	2	-	3.74s	-	-	-	1	-	1	15	0.08	60.87%	14	6	3	-	-	1	16	-	-	1	-	-	-	1	1	1	-	2	-	-	-	-	-	80:00	-	18	Roosters	Sea Eagles
4	Fullback	80:00	-	-	-	-	-	-	-	-	49	26	224	41	51	-	2	1	-	9	1	-	4.11s	1	3	-	-	5	16	38	0.62	66.67%	6	3	-	-	2	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	20	Roosters	Storm
4	Centre	80:00	-	-	-	-	-	-	-	-	45	13	124	-	40	-	1	1	-	3	-	-	4.54s	1	14	-	4	2	9	23	0.69	72.41%	21	6	2	-	-	1	15	-	-	-	-	-	-	-	1	1	-	1	-	1	-	-	-	80:00	-	21	Roosters	Titans
4	Centre	80:00	-	-	-	-	-	-	-	-	15	8	60	-	12	-	-	-	-	2	-	-	5.06s	-	-	-	-	-	5	12	0.63	75%	15	4	1	-	-	1	7	-	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	22	Roosters	Broncos
