Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
3	Centre	80:00	4	1	-	-	-	-	-	-	30	9	78	-	34	-	-	-	-	3	-	-	3.28s	-	-	-	-	-	1	13	0.11	77.78%	7	1	1	-	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	1	Roosters	Dolphins
3	Centre	80:00	-	-	-	-	-	-	-	-	60	17	231	4	66	2	-	1	-	7	1	-	3.77s	-	-	-	2	-	6	22	0.35	85.71%	6	-	1	-	2	-	-	-	-	-	-	-	-	-	2	2	-	1	-	-	1	-	-	80:00	-	2	Roosters	Warriors
3	Centre	80:00	-	-	-	-	-	-	-	-	25	12	119	-	18	-	-	-	-	4	-	-	3.84s	-	-	-	1	-	6	14	0.5	80%	8	2	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	3	Roosters	Rabbitohs
3	Centre	80:00	-	-	-	-	-	-	-	-	40	15	132	-	34	1	1	1	-	3	-	-	3.32s	-	-	-	2	-	10	25	0.67	85.71%	6	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	5	Roosters	Eels
3	Centre	80:00	-	-	-	-	-	-	-	-	31	13	134	-	47	-	-	-	-	4	-	-	3.16s	-	-	-	2	-	5	19	0.38	88.89%	8	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	6	Roosters	Storm
3	Centre	80:00	-	-	-	-	-	-	-	-	17	9	91	-	50	-	-	-	-	2	1	-	3.63s	-	-	-	-	-	11	17	1.22	85.71%	12	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	7	Roosters	Sharks
3	Centre	80:00	10	-	4	4	1	100%	-	-	15	7	77	-	28	-	-	-	-	1	-	-	3.29s	-	-	-	-	1	4	11	0.57	66.67%	6	3	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	8	Roosters	Dragons
3	Centre	80:00	6	-	2	2	1	100%	-	-	45	16	125	9	39	-	-	-	-	1	-	-	3.31s	1	6	-	2	-	2	16	0.13	92.86%	13	-	1	-	1	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	9	Roosters	Warriors
3	Centre	80:00	2	-	1	1	-	100%	-	-	13	6	33	-	5	-	-	-	-	-	-	-	3.25s	-	-	-	-	-	3	8	0.5	80%	16	4	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	10	Roosters	Cowboys
3	Centre	80:00	-	-	-	1	-	-	-	-	18	9	74	-	18	-	-	-	-	2	1	-	3.42s	-	-	-	1	-	5	15	0.56	75%	6	2	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	11	Roosters	Panthers
3	Centre	80:00	6	-	3	4	-	75%	-	-	37	10	77	-	24	-	-	-	-	2	1	-	3.08s	-	-	-	2	-	7	14	0.7	100%	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	12	Roosters	Dragons
3	Centre	80:00	12	1	4	4	-	80%	-	-	37	13	105	-	26	1	1	-	-	2	-	-	3.85s	-	-	-	1	-	1	16	0.08	50%	1	1	-	-	2	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	14	Roosters	Bulldogs
5	Centre	80:00	4	-	2	3	-	50%	-	-	29	8	113	-	36	1	-	-	-	6	-	-	3.94s	-	-	-	-	-	7	11	0.88	63.16%	12	6	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	20	Roosters	Storm
5	Winger	80:00	16	1	5	6	1	85.71%	-	-	56	22	200	62	63	1	-	-	-	6	2	-	3.84s	-	-	-	-	-	4	26	0.18	66.67%	2	1	-	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	21	Roosters	Titans
5	Winger	80:00	-	-	-	1	-	-	-	-	17	13	101	7	34	-	-	-	-	1	-	-	3.66s	-	-	-	1	-	2	14	0.15	60%	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	22	Roosters	Broncos
