Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
5	Winger	80:00	-	-	-	-	-	-	-	-	24	9	80	16	28	-	-	-	-	5	1	-	3.44s	2	16	-	-	-	6	16	0.67	80%	8	-	2	-	2	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	1	Bulldogs	Sea Eagles
5	Winger	80:00	4	1	-	-	-	-	-	-	42	10	118	24	41	1	-	-	-	7	1	-	3.75s	1	11	-	1	-	5	18	0.5	63.64%	7	3	1	-	2	1	23	-	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	2	Bulldogs	Storm
5	Winger	80:00	8	2	-	-	-	-	-	-	49	12	171	-	10	-	-	-	-	5	3	-	3.95s	1	9	-	1	-	5	16	0.42	60%	6	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	3	Bulldogs	Wests Tigers
5	Winger	80:00	4	1	-	-	-	-	-	-	49	15	187	20	33	1	-	-	-	1	-	-	3.72s	2	11	-	2	-	4	22	0.27	87.5%	7	-	1	-	1	-	-	-	-	-	-	-	-	-	2	2	-	-	1	-	-	-	-	80:00	-	4	Bulldogs	Warriors
5	Winger	85:00	4	1	-	-	-	-	-	-	57	15	166	63	13	2	-	-	-	5	1	-	3.25s	-	-	-	1	-	5	21	0.33	83.33%	5	1	-	-	5	2	48	-	-	1	-	-	-	-	-	1	-	-	-	-	-	-	-	85:00	-	5	Bulldogs	Cowboys
5	Winger	10:00	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100%	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	09:35	-	6	Bulldogs	Rabbitohs
5	Winger	80:00	4	1	-	-	-	-	-	-	20	9	88	15	18	-	-	-	-	-	-	-	3.87s	3	31	-	-	-	4	18	0.44	83.33%	5	1	-	-	2	3	40	-	-	2	-	-	-	2	1	1	-	-	-	-	-	-	-	80:00	-	12	Bulldogs	Titans
21	Winger	80:00	8	2	-	-	-	-	-	-	51	11	168	27	15	2	-	1	-	1	-	-	3.51s	1	-	-	-	-	3	14	0.27	60%	3	1	1	-	2	1	40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	14	Bulldogs	Roosters
5	Winger	80:00	-	-	-	-	-	-	-	-	23	10	94	20	19	1	-	-	-	4	1	-	3.36s	1	6	-	-	-	7	20	0.7	45.45%	5	2	4	-	1	2	25	-	-	2	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	15	Bulldogs	Eels
5	Winger	80:00	-	-	-	-	-	-	-	-	13	11	94	26	31	-	-	-	-	1	-	-	3.5s	1	9	-	-	-	5	18	0.45	80%	4	1	-	-	2	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	18	Bulldogs	Knights
5	Winger	80:00	-	-	-	-	-	-	-	-	16	15	122	35	33	-	-	-	-	3	-	-	3.23s	2	17	-	-	1	7	24	0.47	87.5%	7	1	-	-	1	-	-	-	-	-	-	-	-	-	1	1	-	3	-	-	-	-	-	80:00	-	22	Bulldogs	Dolphins
