Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
17	Lock	43:00	-	-	-	-	-	-	-	-	32	13	128	12	56	-	-	-	-	-	12	-	3.09s	-	-	-	-	-	-	13	-	100%	20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22:26	20:36	1	Sea Eagles	Bulldogs
13	Lock	45:00	-	-	-	-	-	-	-	-	44	9	124	45	63	-	-	-	-	4	6	-	3.49s	-	-	-	-	-	3	13	0.33	92.86%	26	-	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	24:54	20:28	3	Sea Eagles	Eels
13	Lock	48:00	-	-	-	-	-	-	-	-	41	13	120	-	54	-	-	-	-	1	13	-	3.63s	-	-	-	-	-	2	17	0.15	100%	31	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	23:56	23:44	4	Sea Eagles	Rabbitohs
13	Lock	48:00	-	-	-	-	-	-	-	-	42	13	137	23	55	-	-	-	-	-	11	-	3.34s	-	-	-	-	-	-	13	-	96.43%	27	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	20:45	26:39	5	Sea Eagles	Knights
13	Lock	50:00	-	-	-	-	-	-	-	-	37	13	117	19	40	-	-	-	-	-	11	-	3.83s	-	-	-	-	-	2	15	0.15	91.67%	33	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	25:29	25:05	6	Sea Eagles	Panthers
13	Lock	43:00	-	-	-	-	-	-	-	-	30	10	108	-	32	-	-	-	-	2	10	-	2.72s	-	-	-	-	2	4	14	0.4	94.12%	16	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:04	16:50	7	Sea Eagles	Storm
13	Lock	46:00	-	-	-	-	-	-	-	-	38	10	89	26	22	-	-	-	-	3	8	-	3.04s	-	-	-	-	1	4	14	0.4	92.86%	26	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:27	22:15	8	Sea Eagles	Wests Tigers
13	Lock	41:00	-	-	-	-	-	-	-	-	35	10	97	10	30	-	-	-	-	-	8	-	3.3s	-	-	-	-	3	6	15	0.6	95.65%	22	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:42	16:24	9	Sea Eagles	Titans
13	Lock	56:00	-	-	-	-	-	-	-	-	32	11	103	-	34	-	-	-	-	-	11	-	3.44s	-	-	-	-	1	9	22	0.82	100%	31	-	-	-	-	-	-	-	-	-	-	-	-	-	4	3	-	-	1	-	-	-	-	31:19	25:18	10	Sea Eagles	Broncos
13	Lock	18:00	-	-	-	-	-	-	-	-	8	4	32	9	10	-	-	-	-	-	3	-	3.29s	-	-	-	-	-	-	4	-	88.89%	8	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	17:58	-	11	Sea Eagles	Sharks
15	Interchange	41:00	-	-	-	-	-	-	-	-	33	10	95	18	33	-	1	-	-	-	9	-	3.57s	-	-	-	-	-	4	14	0.4	91.67%	22	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	41:09	-	15	Sea Eagles	Dolphins
15	Interchange	30:00	-	-	-	-	-	-	-	-	24	6	59	-	28	-	-	-	-	-	6	-	3.63s	-	-	-	-	1	1	7	0.17	88%	22	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	29:41	-	16	Sea Eagles	Eels
15	Interchange	33:00	-	-	-	-	-	-	-	-	25	8	79	-	36	-	-	-	-	3	8	-	3.28s	-	-	-	-	-	-	8	-	80%	16	1	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	32:50	-	17	Sea Eagles	Storm
15	Interchange	30:00	-	-	-	-	-	-	-	-	27	16	133	19	51	-	-	-	-	2	14	-	3.97s	-	-	-	-	-	1	17	0.06	100%	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16:01	13:31	18	Sea Eagles	Roosters
17	Prop	29:00	-	-	-	-	-	-	-	-	16	9	85	-	34	-	-	-	-	-	9	-	3.25s	-	-	-	-	-	1	10	0.11	84.21%	16	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	20:00	09:27	20	Sea Eagles	Cowboys
10	Prop	26:00	4	1	-	-	-	-	-	-	33	8	66	-	23	1	-	-	-	2	7	-	4.05s	-	-	-	-	-	1	8	0.13	92.86%	13	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18:50	07:27	21	Sea Eagles	Sharks
