Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
8	Interchange	36:00	-	-	-	-	-	-	-	-	44	11	103	10	40	-	-	-	-	2	9	-	3.91s	-	-	-	-	-	1	11	0.09	93.55%	29	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	29:00	06:39	4	Raiders	Knights
8	Prop	48:00	-	-	-	-	-	-	-	-	38	11	83	17	32	-	-	-	-	-	10	-	3.83s	-	-	-	-	-	1	12	0.09	97.06%	33	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	23:21	25:04	5	Raiders	Panthers
8	Prop	44:00	-	-	-	-	-	-	-	-	38	15	156	21	55	-	-	-	-	-	13	-	4s	-	-	-	1	-	4	19	0.27	100%	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	14:15	02:04	6	Raiders	Broncos
8	Prop	44:00	-	-	-	-	-	-	-	-	35	12	98	18	21	-	-	-	-	2	10	-	3.84s	-	-	-	-	-	3	15	0.25	100%	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19:45	23:43	7	Raiders	Dragons
8	Prop	52:00	-	-	-	-	-	-	-	-	59	18	208	103	81	-	-	-	-	4	10	-	3.73s	-	-	-	1	-	2	19	0.11	93.55%	29	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:17	27:47	9	Raiders	Dolphins
8	Prop	48:00	-	-	-	-	-	-	-	-	42	12	102	29	42	-	-	-	-	1	8	-	3.48s	-	-	-	3	-	2	13	0.17	90.91%	20	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:00	24:02	10	Raiders	Bulldogs
8	Prop	50:00	-	-	-	-	-	-	-	-	37	16	169	40	68	-	-	-	-	-	13	-	3.47s	-	-	-	-	-	-	16	-	100%	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	26:09	23:53	11	Raiders	Eels
8	Prop	41:00	-	-	-	-	-	-	-	-	36	10	118	14	47	-	-	-	-	2	9	-	3.35s	-	-	-	-	-	2	12	0.2	95.45%	21	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19:00	21:50	12	Raiders	Sea Eagles
8	Prop	54:00	-	-	-	-	-	-	-	-	72	18	216	73	66	-	1	-	-	4	13	-	3.48s	-	-	-	2	1	-	18	-	100%	33	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:55	26:12	13	Raiders	Rabbitohs
8	Prop	49:00	-	-	-	-	-	-	-	-	34	13	132	25	46	-	-	-	-	2	11	-	3.16s	-	-	-	-	-	3	16	0.23	82.05%	32	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	21:29	27:48	14	Raiders	Wests Tigers
8	Prop	43:00	4	1	-	-	-	-	-	-	62	12	132	10	65	1	-	-	-	5	11	-	3.3s	-	-	-	1	-	1	13	0.08	96.43%	27	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18:40	23:38	15	Raiders	Warriors
8	Prop	10:00	-	-	-	-	-	-	-	-	8	4	30	13	10	-	-	-	-	-	2	-	4.09s	-	-	-	-	-	-	4	-	100%	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	09:57	-	17	Raiders	Roosters
8	Prop	59:00	-	-	-	-	-	-	-	-	50	19	169	17	71	-	-	-	-	4	17	-	3.83s	-	-	-	1	-	2	21	0.11	100%	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30:27	28:42	21	Raiders	Warriors
8	Prop	52:00	-	-	-	-	-	-	-	-	35	10	92	-	28	-	-	-	-	3	10	-	3.92s	-	-	-	-	-	4	14	0.4	88.89%	24	1	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	21:14	30:37	22	Raiders	Knights
