Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
10	Prop	68:00	4	1	-	-	-	-	-	-	74	20	208	-	86	1	-	-	-	6	19	-	3.89s	-	-	-	2	-	5	24	0.25	88.24%	30	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	33:18	35:13	1	Eels	Storm
10	Prop	57:00	-	-	-	-	-	-	-	-	45	15	171	31	72	-	-	-	-	1	12	-	3.74s	-	-	-	-	-	1	17	0.07	96.77%	30	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	27:16	29:36	2	Eels	Sharks
10	Prop	66:00	-	-	-	-	-	-	-	-	49	16	149	29	52	-	-	-	-	1	11	-	3.48s	-	-	-	3	-	12	25	0.75	96.15%	25	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	27:30	32:20	3	Eels	Sea Eagles
10	Prop	53:00	-	-	-	-	-	-	-	-	36	20	244	68	85	-	-	-	-	1	14	-	3.88s	-	-	-	-	-	3	21	0.15	89.47%	17	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	1	-	32:09	16:32	4	Eels	Panthers
10	Prop	48:00	-	-	-	-	-	-	-	-	28	10	85	11	27	-	-	-	-	2	8	-	4.22s	-	-	-	-	-	4	13	0.4	86.96%	20	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:27	23:54	7	Eels	Bulldogs
10	Prop	47:00	-	-	-	-	-	-	-	-	35	14	135	31	42	-	-	-	-	4	10	-	3.84s	-	-	-	1	-	6	19	0.43	92.31%	12	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:40	22:15	8	Eels	Broncos
10	Prop	48:00	4	1	-	-	-	-	-	-	57	13	91	-	30	1	1	-	-	7	10	-	3.69s	-	-	-	2	-	4	14	0.31	83.33%	20	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:50	18:41	9	Eels	Knights
10	Prop	51:00	-	-	-	-	-	-	-	-	35	12	119	12	45	-	-	-	-	3	10	-	3.88s	-	-	-	2	-	5	16	0.42	78.26%	18	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:38	22:04	10	Eels	Titans
10	Prop	59:00	-	-	-	-	-	-	-	-	42	13	116	43	30	-	-	-	-	-	6	-	3.6s	-	-	-	1	-	4	13	0.31	94.29%	33	-	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	2	-	-	1	-	-	30:24	29:06	11	Eels	Raiders
10	Prop	72:00	-	-	-	-	-	-	-	-	61	18	207	-	103	-	-	1	-	1	18	-	4.11s	-	-	-	4	2	4	23	0.22	88%	22	2	1	1	-	-	-	-	-	-	-	-	-	-	2	2	1	-	-	-	-	-	-	33:28	38:48	12	Eels	Rabbitohs
10	Prop	47:00	-	-	-	-	-	-	-	-	42	13	119	-	41	-	-	-	-	3	12	-	3.58s	-	-	-	4	1	3	15	0.23	68%	17	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:20	19:01	15	Eels	Bulldogs
10	Interchange	35:00	-	-	-	-	-	-	-	-	53	16	177	39	61	-	2	-	-	2	12	-	3.84s	-	-	-	3	1	2	17	0.13	92.31%	12	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29:00	06:09	17	Eels	Dolphins
10	Prop	53:00	-	-	-	-	-	-	-	-	32	16	144	11	58	-	-	-	-	-	14	-	3.54s	-	-	-	-	-	4	19	0.25	95.24%	20	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:32	24:51	19	Eels	Warriors
10	Prop	44:00	-	-	-	-	-	-	-	-	49	18	165	39	57	-	-	-	-	1	14	-	3.59s	-	-	-	4	-	3	20	0.17	90.48%	19	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21:35	22:18	20	Eels	Titans
10	Prop	58:00	-	-	-	-	-	-	-	-	41	14	116	-	44	-	-	-	-	4	14	-	3.47s	-	-	-	2	-	7	21	0.5	81.48%	22	3	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	27:07	31:19	21	Eels	Cowboys
10	Prop	54:00	-	-	-	-	-	-	-	-	55	15	151	11	43	-	-	-	-	-	14	-	3.25s	-	-	-	4	5	2	17	0.13	90.32%	28	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:20	26:00	22	Eels	Storm
