Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
14	Interchange	16:00	-	-	-	-	-	-	-	-	5	1	13	-	3	-	-	-	-	-	-	-	2.8s	1	13	-	-	-	18	21	18	80%	8	2	-	-	-	1	25	1	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	16:00	-	1	Sea Eagles	Bulldogs
14	Interchange	21:00	-	-	-	-	-	-	-	-	8	1	10	-	2	-	-	-	-	-	-	-	-	1	10	-	1	1	27	28	27	75%	3	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16:45	04:22	3	Sea Eagles	Eels
14	Interchange	22:00	-	-	-	-	-	-	-	-	27	2	30	-	10	-	-	-	-	1	1	-	3.94s	1	12	-	-	-	32	34	16	100%	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	20:42	01:59	4	Sea Eagles	Rabbitohs
14	Interchange	23:00	4	1	-	-	-	-	-	-	29	3	50	-	11	1	-	-	-	3	-	-	3.16s	1	11	-	-	-	23	26	7.67	90.91%	10	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	14:28	08:39	5	Sea Eagles	Knights
14	Five-Eighth	80:00	-	-	-	-	-	-	-	-	25	6	49	-	13	-	-	-	-	1	-	-	3.32s	-	-	-	-	1	10	18	1.67	81.48%	22	3	2	-	-	1	-	-	-	1	-	-	-	-	-	-	-	-	1	-	-	-	-	80:00	-	6	Sea Eagles	Panthers
14	Interchange	14:00	-	-	-	-	-	-	-	-	11	1	10	-	4	-	-	-	-	-	-	-	2.8s	1	10	-	-	-	24	25	24	100%	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	01:17	12:47	7	Sea Eagles	Storm
19	Fullback	80:00	-	-	-	-	-	-	-	-	23	16	127	79	21	-	-	-	-	-	-	-	4.02s	1	3	-	-	-	14	32	0.88	100%	7	-	-	-	6	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	9	Sea Eagles	Titans
19	Reserve	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	Sea Eagles	Broncos
18	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	Sea Eagles	Sharks
18	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	Sea Eagles	Raiders
1	Fullback	80:00	-	-	-	-	-	-	-	-	21	10	92	38	11	-	-	-	-	3	-	-	3.67s	-	-	-	-	-	16	24	1.6	66.67%	8	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	13	Sea Eagles	Knights
18	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	Sea Eagles	Dolphins
1	Fullback	70:00	-	-	-	-	-	-	-	-	16	10	85	47	21	-	-	-	-	-	-	-	3.35s	-	-	-	-	2	12	18	1.2	80%	12	3	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1	-	70:00	-	16	Sea Eagles	Eels
18	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22	Sea Eagles	Dragons
