Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
6	Five-Eighth	68:00	-	-	-	-	-	-	-	-	31	11	92	-	9	-	1	1	-	3	-	-	4.31s	1	10	-	-	1	20	29	1.82	84.62%	11	1	1	-	-	2	58	-	1	-	-	-	-	-	2	1	-	1	-	-	-	-	-	68:00	-	1	Knights	Warriors
6	Five-Eighth	01:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	50%	1	1	-	-	-	1	34	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	01:00	-	2	Knights	Wests Tigers
6	Interchange	53:00	-	-	-	-	-	-	-	-	41	10	88	1	17	-	2	1	-	4	1	-	2.99s	-	-	-	2	1	15	29	1.5	77.78%	7	1	1	-	2	4	113	-	1	-	-	-	1	-	1	1	-	-	-	-	-	-	-	53:00	-	8	Knights	Cowboys
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	9	9	77	-	20	-	1	-	-	2	-	-	3.8s	-	-	-	-	4	30	40	3.33	56.52%	13	8	2	-	-	3	106	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	9	Knights	Eels
6	Five-Eighth	80:00	4	1	-	-	-	-	-	-	56	15	188	-	21	1	2	3	-	2	-	-	3.66s	1	7	-	2	3	28	40	1.87	57.14%	8	6	-	-	-	3	98	-	-	1	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	11	Knights	Titans
6	Five-Eighth	69:00	4	1	-	-	-	-	-	-	36	9	88	-	14	1	-	-	-	1	-	-	4.05s	-	-	-	-	-	16	28	1.78	80.77%	21	4	1	-	1	4	126	-	-	1	-	-	-	-	2	1	-	-	-	-	-	-	-	03:10	65:31	12	Knights	Sharks
1	Fullback	80:00	-	-	-	-	-	-	-	-	45	19	169	19	18	-	2	1	-	4	-	-	3.45s	-	-	-	1	2	22	38	1.16	66.67%	4	2	-	-	2	6	133	3	2	3	-	-	1	-	1	-	-	1	-	-	-	-	-	80:00	-	13	Knights	Sea Eagles
1	Fullback	80:00	4	1	-	-	-	-	-	-	71	16	229	70	37	2	-	-	-	10	-	-	3.35s	-	-	-	-	3	10	27	0.63	66.67%	6	3	-	-	1	4	131	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	15	Knights	Broncos
1	Fullback	80:00	-	-	-	-	-	-	-	-	71	25	240	36	32	2	1	1	-	8	-	-	3.63s	2	14	-	2	1	24	42	0.96	100%	4	-	-	-	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	16	Knights	Roosters
1	Fullback	80:00	4	1	-	-	-	-	-	-	17	14	98	21	27	-	1	-	-	2	-	-	3.67s	1	1	-	1	-	24	39	1.71	35.71%	5	8	1	-	1	3	84	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	17	Knights	Panthers
1	Fullback	80:00	22	-	11	11	-	100%	-	-	92	16	159	43	19	2	3	3	-	9	-	-	4.89s	-	-	-	1	5	20	33	1.25	66.67%	2	-	1	-	4	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	18	Knights	Bulldogs
1	Fullback	80:00	10	1	3	7	-	42.86%	-	-	80	23	151	44	33	1	4	3	-	6	-	-	4.47s	1	8	-	-	1	21	41	0.91	83.33%	5	1	-	-	4	4	118	1	1	1	-	-	-	-	1	-	-	1	-	-	-	-	-	80:00	-	20	Knights	Wests Tigers
1	Fullback	80:00	6	-	2	5	1	50%	-	-	55	18	191	51	31	1	2	1	-	5	-	-	3.93s	1	4	-	2	3	13	33	0.72	33.33%	1	2	-	-	1	5	95	-	-	2	-	-	1	-	1	-	-	-	-	-	-	-	-	80:00	-	21	Knights	Storm
1	Fullback	67:00	16	1	4	4	2	100%	-	-	63	12	203	61	19	1	2	-	-	6	-	-	3.97s	1	9	-	-	1	19	29	1.58	57.14%	4	2	1	-	-	1	41	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	59:57	06:44	22	Knights	Raiders
