Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
21	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	Sea Eagles	Eels
21	Hooker	61:00	-	-	-	-	-	-	-	-	56	6	33	-	6	-	-	-	-	3	2	-	4.05s	4	21	-	2	2	80	84	13.33	95.56%	43	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	30:35	28:44	4	Sea Eagles	Rabbitohs
21	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	Sea Eagles	Knights
15	Interchange	09:00	-	-	-	-	-	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	100%	4	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	09:18	-	6	Sea Eagles	Panthers
14	Interchange	28:00	-	-	-	-	-	-	-	-	23	4	35	-	13	-	-	-	-	-	-	-	3.82s	3	24	-	1	1	20	24	5	94.12%	16	-	1	1	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	1	-	-	28:00	-	9	Sea Eagles	Titans
14	Interchange	30:00	-	-	-	-	-	-	-	-	17	2	20	-	2	-	-	-	-	-	1	-	3.6s	-	-	-	-	3	50	52	25	100%	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30:00	-	10	Sea Eagles	Broncos
14	Interchange	45:00	-	-	-	-	-	-	-	-	25	7	67	-	22	-	-	-	-	-	5	-	3.66s	1	-	-	-	3	32	38	4.57	95.45%	21	-	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	45:06	-	11	Sea Eagles	Sharks
14	Interchange	11:00	-	-	-	-	-	-	-	-	7	1	7	-	4	-	-	-	-	1	1	-	4.4s	-	-	-	-	-	14	16	14	100%	5	-	-	-	-	1	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	11:23	-	12	Sea Eagles	Raiders
15	Interchange	27:00	-	-	-	-	-	-	-	-	14	4	32	-	14	-	-	-	-	-	4	-	3.57s	-	-	-	-	1	4	8	1	100%	15	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	26:34	-	13	Sea Eagles	Knights
14	Interchange	21:00	-	-	-	-	-	-	-	-	14	2	30	-	10	-	-	-	-	1	-	-	3.46s	2	30	-	-	1	24	26	12	100%	11	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	21:00	-	15	Sea Eagles	Dolphins
14	Interchange	20:00	-	-	-	-	-	-	-	-	16	1	15	-	5	-	-	-	-	-	1	-	4.2s	-	-	-	-	1	11	11	11	93.75%	15	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20:00	-	16	Sea Eagles	Eels
14	Interchange	20:00	-	-	-	-	-	-	-	-	18	4	30	-	13	-	-	-	-	-	-	-	3.66s	3	28	-	-	-	23	27	5.75	100%	15	-	-	-	-	1	17	-	-	1	-	-	-	1	-	-	-	-	-	-	-	-	-	15:03	04:57	17	Sea Eagles	Storm
