Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
11	2nd Row	80:00	4	1	-	-	-	-	-	-	61	13	152	-	52	1	-	-	-	3	12	-	3.65s	-	-	-	-	1	2	15	0.15	91.67%	33	2	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	1	-	-	-	80:00	-	1	Rabbitohs	Sharks
11	2nd Row	80:00	-	-	-	-	-	-	-	-	55	14	116	11	34	-	-	-	-	-	13	-	3.48s	-	-	-	2	-	2	16	0.14	93.48%	43	3	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	2	Rabbitohs	Panthers
11	2nd Row	80:00	4	1	-	-	-	-	-	-	75	14	119	-	29	1	2	-	-	3	12	-	4.58s	-	-	-	3	-	3	16	0.21	91.89%	34	3	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	3	Rabbitohs	Roosters
11	2nd Row	79:00	-	-	-	-	-	-	-	-	56	19	189	16	73	-	-	-	-	2	18	-	3.43s	-	-	-	1	-	1	20	0.05	97.56%	40	1	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	1	-	-	-	-	-	65:14	14:11	4	Rabbitohs	Sea Eagles
11	2nd Row	74:00	-	-	-	-	-	-	-	-	51	14	126	-	39	-	-	-	-	3	14	-	3.64s	-	-	-	2	-	5	17	0.36	86.05%	37	5	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	66:58	06:34	5	Rabbitohs	Storm
11	2nd Row	80:00	-	-	-	-	-	-	-	-	48	17	152	-	51	1	1	-	-	2	17	-	3.75s	-	-	-	1	-	2	18	0.12	86.36%	19	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	6	Rabbitohs	Bulldogs
11	2nd Row	53:00	-	-	-	-	-	-	-	-	34	8	69	-	35	-	-	-	-	2	8	-	2.38s	-	-	-	1	-	-	8	-	91.67%	22	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	52:46	-	7	Rabbitohs	Dolphins
21	2nd Row	80:00	-	-	-	-	-	-	-	-	38	15	140	-	53	-	-	-	-	3	15	-	3.77s	-	-	-	-	1	6	21	0.4	87.88%	29	3	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	1	-	-	-	-	80:00	-	13	Rabbitohs	Raiders
11	2nd Row	80:00	4	1	-	-	-	-	-	-	67	15	146	-	42	1	1	1	-	5	12	-	3.67s	-	-	-	1	-	6	19	0.4	92.86%	26	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	14	Rabbitohs	Titans
11	2nd Row	68:00	4	1	-	-	-	-	-	-	47	12	114	-	34	1	1	1	-	3	11	-	3.14s	-	-	-	-	1	6	18	0.5	83.33%	25	5	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	68:10	-	15	Rabbitohs	Dragons
11	2nd Row	80:00	-	-	-	-	-	-	-	-	47	12	146	-	65	-	-	-	-	1	12	-	2.93s	-	-	1	-	-	2	15	0.17	88.89%	32	3	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	17	Rabbitohs	Cowboys
11	2nd Row	80:00	-	-	-	-	-	-	-	-	43	16	155	-	71	-	-	-	-	1	16	-	3.91s	-	-	-	-	-	1	16	0.06	90.32%	28	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	18	Rabbitohs	Warriors
11	2nd Row	80:00	-	-	-	-	-	-	-	-	38	7	65	-	20	-	-	-	-	-	6	-	3.49s	-	-	-	2	1	5	11	0.71	86.67%	26	1	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	21	Rabbitohs	Broncos
11	2nd Row	80:00	4	1	-	-	-	-	-	-	40	10	125	-	23	1	-	-	-	2	9	-	3.65s	-	-	-	-	-	5	15	0.5	83.33%	20	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	22	Rabbitohs	Wests Tigers
