Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
6	Five-Eighth	56:00	-	-	-	-	-	-	-	-	27	7	59	-	15	-	1	-	-	-	-	-	2.8s	-	-	-	-	-	7	12	1	87.5%	21	2	1	-	-	1	17	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	55:48	-	1	Titans	Wests Tigers
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	19	8	59	-	20	-	-	-	-	1	-	-	4.78s	-	-	-	-	1	34	46	4.25	79.17%	19	4	1	-	1	6	131	1	5	-	-	-	-	-	1	1	-	2	-	-	-	-	-	80:00	-	2	Titans	Dragons
6	Five-Eighth	56:00	-	-	-	-	-	-	-	-	24	11	61	10	6	-	2	1	-	-	-	-	3.97s	1	12	-	-	-	23	31	2.09	88.89%	16	1	1	-	-	2	52	-	-	-	-	-	1	1	3	3	-	-	-	-	-	-	-	32:17	23:41	3	Titans	Storm
6	Five-Eighth	22:00	-	-	-	-	-	-	-	-	11	2	12	-	5	-	-	-	-	-	-	-	4.16s	-	-	-	-	-	5	7	2.5	100%	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	22:07	-	4	Titans	Cowboys
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	34	9	53	-	3	-	-	-	-	1	-	-	3.12s	-	-	-	1	-	27	35	3	83.87%	26	2	3	-	-	2	20	-	1	1	-	-	-	-	1	1	-	-	1	-	-	-	-	80:00	-	7	Titans	Broncos
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	31	6	38	-	6	-	1	-	-	1	-	-	2.28s	-	-	-	2	1	25	33	4.17	79.31%	23	4	2	-	-	3	107	-	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	8	Titans	Dolphins
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	22	8	57	-	4	-	-	-	-	-	-	-	4.66s	-	-	-	-	-	34	38	4.25	82.61%	19	2	2	-	-	2	73	-	1	-	-	-	-	-	-	-	-	2	1	-	-	-	-	80:00	-	9	Titans	Sea Eagles
6	Five-Eighth	80:00	8	2	-	-	-	-	-	-	38	5	56	-	3	2	-	-	-	3	-	-	5.08s	-	-	-	-	1	29	34	5.8	66.67%	14	5	2	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	10	Titans	Eels
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	19	9	70	-	7	-	1	1	-	-	-	-	4.63s	-	-	-	-	1	41	46	4.56	71.43%	15	5	1	-	-	2	78	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	11	Titans	Knights
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	26	11	51	3	7	-	-	-	-	1	-	-	5.18s	1	-	-	1	2	25	35	2.27	95%	19	1	-	-	-	1	13	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	12	Titans	Bulldogs
6	Five-Eighth	59:00	-	-	-	-	-	-	-	-	29	3	19	-	4	-	2	1	-	1	-	-	3.56s	-	-	-	-	-	28	32	9.33	83.33%	20	2	2	-	-	1	31	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	59:14	-	17	Titans	Broncos
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	29	15	114	3	33	-	-	-	-	-	1	-	4.03s	-	-	-	-	-	33	45	2.2	86.36%	19	1	2	-	-	3	54	-	-	2	-	-	-	-	-	1	-	1	-	-	-	-	-	80:00	-	18	Titans	Raiders
6	Five-Eighth	85:00	4	1	-	-	-	-	-	-	54	10	69	-	15	-	3	2	-	1	-	-	3.28s	-	-	-	-	2	30	46	3	80%	24	5	1	-	1	9	295	-	1	1	-	-	-	-	-	-	-	1	-	-	-	-	-	85:00	-	19	Titans	Dolphins
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	15	4	26	-	2	-	-	-	-	-	-	-	5.56s	-	-	-	-	-	27	30	6.75	72.22%	26	7	3	-	-	2	55	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	20	Titans	Eels
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	22	8	56	-	6	-	-	-	-	1	-	-	3.92s	-	-	-	-	1	35	44	4.38	80%	16	2	2	-	-	5	174	-	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	21	Titans	Roosters
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	44	10	85	10	27	-	-	-	-	1	2	-	4.11s	-	-	-	-	2	41	55	4.1	87.5%	21	1	2	-	1	6	130	1	2	1	1	-	1	-	-	-	-	-	-	-	-	-	-	80:00	-	22	Titans	Cowboys
