Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
16	Interchange	20:00	-	-	-	-	-	-	-	-	21	7	94	-	31	-	-	-	-	3	7	-	4.52s	-	-	-	-	-	-	7	-	100%	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20:00	-	7	Broncos	Titans
16	Interchange	20:00	-	-	-	-	-	-	-	-	10	2	16	-	3	-	-	-	-	-	2	-	3.15s	-	-	-	-	1	1	4	0.5	78.57%	11	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20:00	-	8	Broncos	Eels
16	Interchange	26:00	-	-	-	-	-	-	-	-	27	10	87	-	35	-	-	-	-	-	10	-	3.69s	-	-	-	-	-	-	10	-	95.83%	23	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	20:54	04:47	9	Broncos	Rabbitohs
22	Interchange	30:00	-	-	-	-	-	-	-	-	22	3	22	-	6	-	-	-	-	-	3	-	2.63s	-	-	-	-	-	3	6	1	92.31%	24	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	30:00	-	10	Broncos	Sea Eagles
16	Interchange	20:00	-	-	-	-	-	-	-	-	19	2	22	-	7	-	-	-	-	-	2	-	3.62s	-	-	-	-	-	-	2	-	94.44%	17	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19:58	-	11	Broncos	Storm
16	Interchange	29:00	-	-	-	-	-	-	-	-	30	5	53	-	17	-	-	-	-	1	5	-	3.74s	-	-	-	-	-	1	6	0.2	90.63%	29	2	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	28:57	-	12	Broncos	Panthers
13	Lock	36:00	-	-	-	-	-	-	-	-	29	9	82	-	32	-	-	-	-	1	8	-	3.92s	-	-	-	-	-	1	10	0.11	91.3%	21	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:10	12:03	13	Broncos	Warriors
16	Interchange	30:00	-	-	-	-	-	-	-	-	24	7	73	-	25	-	-	-	-	1	7	-	3.59s	-	-	-	-	-	1	8	0.14	100%	17	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	29:05	-	14	Broncos	Sharks
16	Interchange	16:00	-	-	-	-	-	-	-	-	27	4	34	-	12	-	1	-	-	3	4	-	3.52s	-	-	-	1	-	-	4	-	100%	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10:47	05:42	15	Broncos	Knights
16	Interchange	44:00	-	-	-	-	-	-	-	-	31	9	85	-	27	-	-	-	-	-	8	-	3.92s	-	-	-	-	-	4	12	0.44	91.18%	31	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	35:16	08:04	17	Broncos	Titans
16	2nd Row	46:00	-	-	-	-	-	-	-	-	30	12	94	-	35	-	-	-	-	2	12	-	3.74s	-	-	-	-	1	4	16	0.33	88.46%	23	2	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	26:41	18:30	18	Broncos	Dolphins
13	Lock	50:00	-	-	-	-	-	-	-	-	27	11	103	-	42	-	-	-	-	-	11	-	3.52s	-	-	-	-	-	2	13	0.18	75%	27	5	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25:43	23:39	20	Broncos	Bulldogs
16	Interchange	44:00	-	-	-	-	-	-	-	-	37	9	88	-	27	-	-	-	-	3	9	-	3.63s	-	-	-	-	1	3	12	0.33	80.65%	25	3	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	37:25	06:20	21	Broncos	Rabbitohs
16	Interchange	21:00	-	-	-	-	-	-	-	-	17	6	49	-	20	-	-	-	-	-	6	-	3.43s	-	-	-	-	-	-	6	-	100%	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21:12	-	22	Broncos	Roosters
