Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
3	Centre	57:00	-	-	-	-	-	-	-	-	26	4	36	4	15	-	-	-	-	2	-	-	2.99s	-	-	-	-	-	6	12	1.5	86.36%	19	1	2	-	2	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	25:26	31:10	1	Broncos	Panthers
3	Centre	80:00	4	1	-	-	-	-	-	-	18	11	91	14	32	-	-	-	-	1	-	-	3.49s	1	1	-	-	-	8	18	0.73	60%	9	5	1	-	-	2	24	1	-	2	-	-	-	1	-	-	-	1	-	-	-	-	-	80:00	-	2	Broncos	Cowboys
3	Centre	80:00	8	2	-	-	-	-	-	-	66	14	153	-	45	1	-	1	-	5	1	-	3.43s	3	41	-	2	-	7	18	0.5	85.71%	12	2	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	3	Broncos	Dragons
3	Centre	80:00	4	1	-	-	-	-	-	-	59	16	237	-	47	1	1	-	-	4	1	-	4.04s	-	-	-	1	-	6	19	0.38	84.62%	11	1	1	-	1	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	80:00	-	4	Broncos	Dolphins
3	Centre	80:00	8	2	-	-	-	-	-	-	28	11	122	-	21	-	1	-	-	1	-	-	4.35s	-	-	-	-	-	10	22	0.91	64.29%	9	4	1	-	1	1	-	-	-	1	-	-	-	-	3	3	-	-	-	-	-	-	-	80:00	-	5	Broncos	Wests Tigers
3	Centre	80:00	-	-	-	1	-	-	-	-	37	15	125	-	39	-	1	-	-	2	-	-	3.34s	1	4	-	1	-	11	22	0.73	95.45%	21	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	6	Broncos	Raiders
3	Centre	80:00	-	-	-	-	-	-	-	-	22	9	91	-	17	-	-	-	-	4	1	-	3.86s	1	10	-	-	1	5	13	0.56	67.86%	19	6	3	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	7	Broncos	Titans
3	Centre	80:00	4	1	-	-	-	-	-	-	26	5	52	-	20	-	-	1	-	2	-	-	3.01s	-	-	-	-	-	6	10	1.2	66.67%	12	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	8	Broncos	Eels
3	Centre	80:00	-	-	-	-	-	-	-	-	25	15	130	-	41	-	-	-	-	4	-	-	4.03s	2	20	-	-	-	8	21	0.53	85%	17	3	-	-	1	1	5	-	-	1	-	-	-	-	3	2	-	1	-	-	-	-	-	80:00	-	9	Broncos	Rabbitohs
3	Centre	80:00	-	-	-	1	-	-	-	-	16	13	114	-	36	-	-	-	-	1	-	-	4.05s	-	-	-	-	1	5	20	0.38	66.67%	8	2	2	-	1	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	10	Broncos	Sea Eagles
