Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
17	Interchange	26:00	-	-	-	-	-	-	-	-	15	5	51	-	28	-	-	-	-	1	5	-	3.7s	-	-	-	-	-	-	5	-	90.91%	10	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:00	-	10	Cowboys	Roosters
17	Interchange	20:00	-	-	-	-	-	-	-	-	17	3	34	-	7	-	-	-	-	-	3	-	3.11s	-	-	-	-	-	-	3	-	100%	14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20:00	-	11	Cowboys	Dragons
17	Interchange	30:00	-	-	-	-	-	-	-	-	22	4	48	-	16	-	-	-	-	2	4	-	3.69s	-	-	-	-	-	1	6	0.25	94.12%	16	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30:00	-	12	Cowboys	Wests Tigers
15	Interchange	09:00	-	-	-	-	-	-	-	-	5	2	11	-	3	-	-	-	-	-	2	-	5.4s	-	-	-	-	-	1	3	0.5	100%	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	09:00	-	13	Cowboys	Eels
17	Interchange	40:00	4	1	-	-	-	-	-	-	45	6	48	-	15	1	-	-	-	3	6	-	3.01s	-	-	-	-	-	-	7	-	100%	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	40:00	-	16	Cowboys	Panthers
12	Interchange	12:00	4	1	-	-	-	-	-	-	23	4	59	-	14	1	-	-	-	3	4	-	3.68s	-	-	-	-	-	-	4	-	66.67%	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12:00	-	17	Cowboys	Rabbitohs
17	Interchange	26:00	-	-	-	-	-	-	-	-	13	8	82	-	38	-	-	-	-	-	8	-	4.06s	-	-	-	-	-	1	9	0.13	81.82%	9	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:00	-	18	Cowboys	Wests Tigers
17	Interchange	14:00	-	-	-	-	-	-	-	-	22	6	85	-	17	1	-	-	-	2	6	-	3.91s	-	-	-	-	-	1	7	0.17	87.5%	7	-	1	-	1	-	-	-	-	-	-	-	-	-	1	1	1	-	-	-	-	-	-	14:00	-	20	Cowboys	Sea Eagles
17	Interchange	39:00	-	-	-	-	-	-	-	-	16	8	77	-	33	-	-	-	-	1	8	-	3.51s	-	-	-	-	-	2	11	0.25	65%	13	2	5	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	39:00	-	21	Cowboys	Eels
12	2nd Row	47:00	-	-	-	-	-	-	-	-	18	7	51	-	25	-	-	-	-	-	7	-	3.44s	-	-	-	-	-	1	9	0.14	83.33%	20	4	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	46:59	-	22	Cowboys	Titans
