Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
11	2nd Row	71:00	-	-	-	-	-	-	-	-	32	8	77	-	39	-	-	-	-	2	8	-	2.76s	-	-	-	1	-	1	9	0.13	83.33%	25	3	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	71:28	-	1	Broncos	Panthers
11	2nd Row	80:00	4	1	-	-	-	-	-	-	40	4	27	-	12	-	-	-	-	-	4	-	3.42s	-	-	-	-	-	8	15	2	89.47%	34	3	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	2	Broncos	Cowboys
11	2nd Row	80:00	-	-	-	-	-	-	-	-	53	8	92	-	30	2	-	1	-	1	7	-	3.19s	-	-	-	2	-	3	10	0.38	82.86%	29	5	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	3	Broncos	Dragons
11	2nd Row	80:00	4	1	-	-	-	-	-	-	46	8	95	-	19	1	-	-	-	2	8	-	3.26s	-	-	-	-	-	2	11	0.25	78%	39	8	3	-	-	-	-	-	-	-	-	-	-	-	2	2	-	1	-	-	-	-	-	80:00	-	4	Broncos	Dolphins
11	2nd Row	80:00	4	1	-	-	-	-	-	-	48	12	117	-	29	-	-	-	-	2	12	-	3.64s	-	-	-	-	1	4	16	0.33	87.88%	29	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	5	Broncos	Wests Tigers
11	2nd Row	67:00	-	-	-	-	-	-	-	-	16	5	28	-	8	-	-	-	-	-	5	-	1.88s	-	-	-	1	-	6	12	1.2	81.48%	22	3	2	-	-	-	-	-	-	-	-	-	-	-	2	2	-	1	-	-	-	-	-	02:40	64:10	6	Broncos	Raiders
11	2nd Row	80:00	4	1	-	-	-	-	-	-	35	9	87	-	18	-	-	-	-	3	9	-	4.06s	-	-	-	-	1	1	12	0.11	92%	23	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	2	-	-	-	-	-	80:00	-	7	Broncos	Titans
11	2nd Row	80:00	-	-	-	-	-	-	-	-	36	7	57	-	21	-	-	-	-	1	6	-	3.98s	1	11	1	-	1	4	13	0.57	90.63%	29	1	2	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	8	Broncos	Eels
11	2nd Row	80:00	-	-	-	-	-	-	-	-	51	11	87	-	23	1	-	-	-	4	11	-	3.36s	-	-	1	1	-	4	14	0.36	81.58%	31	6	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	9	Broncos	Rabbitohs
11	2nd Row	77:00	-	-	-	-	-	-	-	-	41	11	102	-	31	-	1	1	-	2	11	-	3.61s	-	-	-	-	1	2	13	0.18	88.24%	30	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	77:00	-	10	Broncos	Sea Eagles
11	2nd Row	80:00	-	-	-	-	-	-	-	-	38	8	58	-	19	-	-	-	-	-	8	-	2.63s	-	-	-	-	1	1	9	0.13	92.11%	35	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	80:00	-	11	Broncos	Storm
11	2nd Row	67:00	-	-	-	-	-	-	-	-	33	7	61	-	21	-	-	-	-	3	7	-	3.63s	-	-	-	-	-	-	7	-	72.73%	32	9	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	66:56	-	12	Broncos	Panthers
11	2nd Row	78:00	-	-	-	-	-	-	-	-	51	17	161	-	63	-	-	-	-	2	17	-	3.99s	-	-	1	1	-	-	18	-	89.19%	33	3	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	77:34	-	13	Broncos	Warriors
11	2nd Row	62:00	-	-	-	-	-	-	-	-	44	10	90	-	32	-	-	-	-	-	10	-	3.24s	-	-	-	-	1	5	15	0.5	90.48%	38	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	62:19	-	14	Broncos	Sharks
11	2nd Row	63:00	-	-	-	-	-	-	-	-	29	6	56	-	17	-	1	-	-	1	6	-	2.86s	-	-	-	-	1	2	8	0.33	82.05%	32	6	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	62:57	-	15	Broncos	Knights
