Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
20	Interchange	32:00	-	-	-	-	-	-	-	-	33	12	121	-	25	-	-	-	-	2	12	-	3.95s	-	-	-	1	-	2	14	0.17	82.14%	23	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22:40	09:02	5	Bulldogs	Cowboys
15	Interchange	33:00	-	-	-	-	-	-	-	-	26	4	22	-	9	-	-	-	-	-	4	-	3.97s	-	-	-	-	-	1	5	0.25	96.3%	26	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:51	09:33	6	Bulldogs	Rabbitohs
14	Interchange	23:00	-	-	-	-	-	-	-	-	15	3	21	-	12	-	-	-	-	-	3	-	3.42s	-	-	-	-	-	1	4	0.33	100%	11	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	22:53	-	9	Bulldogs	Dragons
23	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	Bulldogs	Warriors
23	Interchange	39:00	-	-	-	-	-	-	-	-	34	6	59	-	25	-	-	-	-	3	6	-	3.25s	-	-	-	-	-	2	8	0.33	81.82%	27	2	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	31:38	07:32	12	Bulldogs	Titans
15	Interchange	47:00	-	-	-	-	-	-	-	-	34	15	110	-	35	-	-	-	-	4	13	-	3.57s	-	-	-	1	2	3	17	0.2	79.17%	19	5	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	41:30	05:19	14	Bulldogs	Roosters
15	Interchange	34:00	-	-	-	-	-	-	-	-	25	5	44	-	18	-	-	-	-	-	5	-	3.78s	-	-	-	-	1	4	9	0.8	83.33%	25	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29:09	04:40	15	Bulldogs	Eels
15	Lock	48:00	4	1	-	-	-	-	-	-	44	10	93	-	31	1	-	-	-	4	6	-	3.42s	1	7	-	-	1	6	13	0.6	77.14%	27	7	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	26:01	22:29	16	Bulldogs	Sharks
13	Lock	40:00	-	-	-	-	-	-	-	-	17	4	44	-	19	-	-	-	-	1	4	-	4.15s	-	-	-	-	-	3	9	0.75	78.13%	25	7	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	22:12	18:28	18	Bulldogs	Knights
15	Interchange	23:00	-	-	-	-	-	-	-	-	15	4	27	-	7	-	-	-	-	-	4	-	3.94s	-	-	-	-	-	-	4	-	100%	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	23:23	-	19	Bulldogs	Rabbitohs
15	Interchange	25:00	-	-	-	-	-	-	-	-	9	3	36	-	16	-	-	-	-	-	3	-	3.27s	-	-	-	-	-	2	6	0.67	72%	18	6	1	-	-	1	3	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	25:43	-	20	Bulldogs	Broncos
15	Interchange	35:00	-	-	-	-	-	-	-	-	10	9	69	-	26	-	-	-	-	3	9	-	3.45s	-	-	-	-	-	1	10	0.11	62.5%	10	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34:48	-	21	Bulldogs	Panthers
