Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
9	Hooker	66:00	-	-	-	-	-	-	-	-	43	4	35	-	16	-	-	-	-	1	1	-	4.28s	3	26	-	1	1	97	102	24.25	92.11%	35	2	1	-	-	1	41	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	66:00	-	1	Sea Eagles	Bulldogs
9	Hooker	63:00	-	-	-	-	-	-	-	-	27	4	47	-	20	-	-	-	-	-	1	-	1.48s	2	35	-	-	1	53	57	13.25	83.33%	25	-	5	-	-	1	69	-	-	-	-	-	-	1	2	1	-	-	-	-	-	-	-	50:48	12:27	3	Sea Eagles	Eels
9	Hooker	76:00	-	-	-	-	-	-	-	-	30	4	29	1	11	-	-	-	-	-	1	-	-	2	25	-	2	1	88	94	22	78.26%	36	9	1	-	-	2	61	-	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	59:45	15:47	5	Sea Eagles	Knights
9	Hooker	80:00	-	-	-	-	-	-	-	-	26	2	17	-	5	-	-	-	-	-	1	-	4.42s	1	10	-	-	1	89	90	44.5	79.49%	31	6	2	-	-	2	69	-	-	1	1	-	-	1	-	-	-	-	-	-	-	-	-	80:00	-	6	Sea Eagles	Panthers
9	Hooker	67:00	4	1	-	-	-	-	-	-	46	5	44	-	6	1	-	-	-	2	2	-	2.16s	3	22	-	-	4	81	86	16.2	94.12%	32	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	55:05	12:08	7	Sea Eagles	Storm
9	Hooker	80:00	-	-	-	-	-	-	-	-	29	4	14	-	2	-	-	-	-	-	1	-	4.46s	3	12	-	-	2	81	87	20.25	84.31%	43	6	2	-	-	1	49	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	8	Sea Eagles	Wests Tigers
9	Hooker	66:00	-	-	-	-	-	-	-	-	43	3	14	-	-	-	-	-	-	-	-	-	6.12s	-	-	-	-	1	67	69	22.33	90%	36	1	3	-	1	2	104	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	51:51	14:32	9	Sea Eagles	Titans
9	Hooker	50:00	-	-	-	-	-	-	-	-	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	46	48	-	83.87%	26	5	-	-	-	2	48	-	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	49:50	-	10	Sea Eagles	Broncos
9	Hooker	65:00	4	1	-	-	-	-	-	-	50	5	30	-	6	1	-	-	-	2	1	-	5s	4	24	-	-	1	79	85	15.8	90.7%	39	4	-	-	-	2	63	-	1	-	-	-	-	-	1	1	-	-	-	-	-	-	-	53:13	11:48	11	Sea Eagles	Sharks
9	Hooker	69:00	-	-	-	-	-	-	-	-	47	3	15	-	3	-	-	-	-	-	1	-	4.38s	1	8	-	1	4	82	86	27.33	89.13%	41	1	4	-	1	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	56:00	12:37	12	Sea Eagles	Raiders
