Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
12	2nd Row	80:00	4	1	-	-	-	-	-	-	49	11	96	-	24	1	-	-	-	3	11	-	4.05s	-	-	-	1	-	-	11	-	93.1%	27	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	80:00	-	1	Knights	Warriors
12	2nd Row	80:00	4	1	-	-	-	-	-	-	46	9	80	-	23	1	-	-	-	2	9	-	4.86s	-	-	-	-	-	-	10	-	83.72%	36	4	3	-	1	-	-	-	-	-	-	-	-	-	-	-	-	3	1	-	-	-	-	80:00	-	2	Knights	Wests Tigers
12	2nd Row	80:00	-	-	-	-	-	-	-	-	58	8	76	-	7	-	1	1	-	4	8	-	3.52s	-	-	-	1	1	1	9	0.13	93.02%	40	3	-	-	-	-	-	-	-	-	-	-	-	-	2	1	-	1	-	-	-	-	-	80:00	-	3	Knights	Dolphins
12	2nd Row	80:00	-	-	-	-	-	-	-	-	62	9	92	-	27	1	-	-	-	2	9	-	2.74s	-	-	-	1	1	-	9	-	96.08%	49	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	80:00	-	4	Knights	Raiders
12	2nd Row	80:00	-	-	-	-	-	-	-	-	48	9	91	-	32	1	-	-	-	2	9	-	3.61s	-	-	-	-	-	2	10	0.22	95.65%	44	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	-	-	-	1	-	80:00	-	5	Knights	Sea Eagles
12	2nd Row	80:00	-	-	-	-	-	-	-	-	46	11	80	-	23	-	-	-	-	1	11	-	4.03s	-	-	-	2	-	2	12	0.18	87.5%	35	2	3	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-	80:00	-	6	Knights	Warriors
12	2nd Row	81:00	-	-	-	-	-	-	-	-	44	11	128	-	20	-	-	-	-	3	11	-	2.46s	-	-	-	-	-	-	11	-	90.63%	29	3	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	81:00	-	7	Knights	Panthers
12	2nd Row	80:00	4	1	-	-	-	-	-	-	56	6	73	-	18	1	-	-	-	1	6	-	1.94s	-	-	-	-	-	-	6	-	92.86%	39	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	8	Knights	Cowboys
12	2nd Row	80:00	-	-	-	-	-	-	-	-	60	9	98	-	33	-	-	-	-	4	9	-	3.84s	-	-	-	1	-	3	14	0.33	92.86%	39	1	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	9	Knights	Eels
12	2nd Row	80:00	-	-	-	-	-	-	-	-	20	9	88	-	34	-	-	-	-	1	9	-	2.88s	-	-	-	-	-	1	12	0.11	83.33%	20	3	1	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	11	Knights	Titans
