Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
1	Fullback	80:00	-	-	-	-	-	-	-	-	43	25	181	54	27	-	-	-	-	11	3	-	3.89s	-	-	-	-	2	12	34	0.48	66.67%	4	2	-	-	3	2	12	1	-	2	-	-	-	1	-	-	-	1	-	-	-	-	-	80:00	-	1	Knights	Warriors
1	Fullback	80:00	-	-	-	-	-	-	-	-	32	20	161	52	39	-	-	-	-	9	2	-	3.53s	-	-	-	-	-	18	36	0.9	75%	3	1	-	-	3	-	-	-	-	-	-	-	-	-	2	2	-	1	-	-	-	-	-	80:00	-	2	Knights	Wests Tigers
1	Fullback	80:00	10	2	-	-	1	100%	-	-	63	16	212	41	41	2	-	-	-	6	1	-	3.35s	-	-	-	1	-	15	32	0.94	75%	3	1	-	-	1	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	3	Knights	Dolphins
1	Fullback	80:00	4	-	2	3	-	50%	-	-	72	28	255	119	81	-	2	2	-	9	-	-	3.97s	1	7	-	2	3	20	47	0.71	75%	3	1	-	-	4	1	4	-	-	1	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	4	Knights	Raiders
1	Fullback	90:00	4	-	2	3	-	66.67%	-	-	71	27	282	120	56	-	1	1	-	13	2	-	3.12s	1	14	-	-	-	27	52	1	66.67%	2	1	-	-	4	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	90:00	-	5	Knights	Sea Eagles
1	Fullback	80:00	10	-	5	6	-	83.33%	-	-	57	18	193	17	31	1	-	-	-	6	1	-	3.97s	-	-	-	-	-	10	30	0.56	83.33%	5	1	-	-	3	-	-	-	-	-	-	-	-	-	2	2	-	2	-	-	-	-	-	80:00	-	6	Knights	Warriors
1	Fullback	81:00	2	-	1	3	-	25%	-	-	27	16	123	34	21	-	-	-	-	3	1	-	2.84s	1	7	-	1	2	9	27	0.56	85.71%	6	-	1	-	2	2	53	1	1	-	-	-	-	-	3	2	-	1	-	-	-	-	-	81:00	-	7	Knights	Panthers
1	Fullback	80:00	4	-	2	3	-	66.67%	-	-	34	19	151	13	39	-	2	-	-	5	1	-	3.09s	2	17	-	1	-	18	36	0.95	40%	2	2	1	-	5	-	-	-	-	-	-	-	-	-	3	3	-	-	-	-	-	-	-	80:00	-	8	Knights	Cowboys
1	Fullback	80:00	4	-	2	2	-	100%	-	-	40	22	152	46	40	-	-	-	-	6	2	-	3.74s	1	4	-	-	1	17	34	0.77	71.43%	10	4	-	-	2	1	3	-	1	-	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	9	Knights	Eels
1	Fullback	80:00	14	-	6	8	1	77.78%	-	-	34	13	113	33	24	-	-	-	-	5	-	-	3.98s	-	-	-	-	1	10	23	0.77	75%	6	2	-	-	1	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	11	Knights	Titans
1	Fullback	80:00	2	-	1	1	-	100%	-	-	23	19	178	29	41	-	-	-	-	5	2	-	3.11s	-	-	-	-	2	12	30	0.63	57.14%	4	2	1	-	2	-	-	-	-	-	-	-	-	-	4	2	-	-	-	-	-	-	-	80:00	-	12	Knights	Sharks
14	Interchange	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	Knights	Sea Eagles
