Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
19	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	Panthers	Rabbitohs
15	Interchange	35:00	-	-	-	-	-	-	-	-	52	15	124	-	52	-	-	1	-	1	15	-	3.37s	-	-	-	1	1	-	15	-	88.89%	24	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35:14	-	5	Panthers	Raiders
15	Interchange	29:00	-	-	-	-	-	-	-	-	23	8	87	14	24	-	-	-	-	1	7	-	3.34s	-	-	-	-	-	-	8	-	95%	19	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	1	-	-	29:00	-	6	Panthers	Sea Eagles
15	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	Panthers	Knights
15	Interchange	24:00	-	-	-	-	-	-	-	-	18	3	12	-	-	-	-	-	-	1	3	-	2.08s	-	-	-	-	-	2	5	0.67	93.75%	15	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:32	-	8	Panthers	Rabbitohs
15	Interchange	33:00	-	-	-	-	-	-	-	-	34	11	95	-	31	-	-	-	-	1	11	-	2.61s	-	-	-	1	-	-	11	-	95.45%	21	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	33:18	-	9	Panthers	Wests Tigers
15	Interchange	40:00	-	-	-	-	-	-	-	-	34	12	107	25	32	-	1	-	-	1	10	-	3.18s	-	-	-	1	1	2	14	0.17	88.89%	24	3	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	28:02	12:00	10	Panthers	Warriors
15	Interchange	36:00	-	-	-	-	-	-	-	-	22	12	100	-	30	-	-	-	-	1	12	-	3.78s	-	-	-	-	1	1	13	0.08	84.21%	16	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	31:58	04:05	11	Panthers	Roosters
15	Interchange	35:00	-	-	-	-	-	-	-	-	31	11	86	10	25	-	-	-	-	-	10	-	2.9s	-	-	-	-	-	1	12	0.09	96.15%	25	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	31:38	03:22	12	Panthers	Broncos
15	Interchange	21:00	-	-	-	-	-	-	-	-	19	7	66	11	22	-	-	-	-	1	6	-	2.91s	-	-	-	-	-	-	6	-	84.62%	11	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	20:49	-	14	Panthers	Dragons
15	Interchange	57:00	-	-	-	-	-	-	-	-	52	16	152	12	58	-	-	-	-	-	15	-	3.21s	-	-	-	-	-	1	17	0.06	89.74%	35	1	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	43:31	13:26	15	Panthers	Roosters
15	Interchange	60:00	-	-	-	-	-	-	-	-	60	19	164	40	59	-	-	-	-	3	15	-	3.02s	-	-	-	1	2	2	21	0.11	92.31%	36	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	45:36	14:49	16	Panthers	Cowboys
