Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
15	Interchange	49:00	4	1	-	-	-	-	-	-	75	17	174	52	53	1	-	-	-	4	14	-	3.45s	-	-	-	-	1	1	18	0.06	100%	32	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	37:19	10:55	1	Dolphins	Roosters
15	Interchange	50:00	-	-	-	-	-	-	-	-	48	15	185	21	71	-	-	-	-	1	14	-	4.03s	-	-	-	-	-	-	15	-	96.77%	30	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25:51	24:02	2	Dolphins	Raiders
15	Interchange	28:00	-	-	-	-	-	-	-	-	20	10	84	17	30	-	-	-	-	-	8	-	3.46s	-	-	-	-	-	2	12	0.2	100%	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	27:43	-	3	Dolphins	Knights
15	Interchange	55:00	-	-	-	-	-	-	-	-	49	14	138	11	58	-	-	-	-	2	13	-	3.36s	-	-	-	-	2	-	15	-	93.33%	28	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	55:04	-	4	Dolphins	Broncos
15	Interchange	46:00	-	-	-	-	-	-	-	-	29	10	73	-	21	-	-	-	-	-	10	-	3.67s	-	-	1	-	1	1	12	0.1	93.94%	31	2	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	1	-	46:00	-	5	Dolphins	Dragons
15	Prop	50:00	-	-	-	-	-	-	-	-	40	10	102	32	42	-	-	-	-	3	8	-	2.61s	-	-	-	-	-	-	10	-	93.94%	31	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	1	-	-	-	20:32	20:26	6	Dolphins	Cowboys
15	Interchange	41:00	-	-	-	-	-	-	-	-	44	12	123	-	51	-	-	-	-	1	12	-	2.78s	-	-	-	1	1	3	15	0.25	96.55%	28	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32:14	08:59	7	Dolphins	Rabbitohs
15	Interchange	33:00	4	1	-	-	-	-	-	-	42	11	115	30	50	1	-	-	-	1	8	-	3.84s	-	-	-	-	-	1	12	0.09	87.5%	21	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32:57	-	8	Dolphins	Titans
15	Interchange	40:00	4	1	-	-	-	-	-	-	41	14	130	-	51	1	-	-	-	-	13	-	3.84s	-	-	-	-	-	-	16	-	94.44%	17	1	-	-	1	1	18	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	28:16	11:24	13	Dolphins	Dragons
15	Interchange	34:00	-	-	-	-	-	-	-	-	28	8	62	-	24	-	-	-	-	-	8	-	3.53s	-	-	-	-	-	-	10	-	90.32%	28	2	1	-	1	-	-	-	-	-	-	-	-	-	1	1	-	-	-	1	-	-	-	34:07	-	14	Dolphins	Warriors
15	Interchange	53:00	-	-	-	-	-	-	-	-	32	11	107	15	41	-	-	-	-	-	8	-	3.16s	-	-	-	-	-	1	11	0.09	91.67%	33	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	46:38	06:30	15	Dolphins	Sea Eagles
15	Interchange	40:00	-	-	-	-	-	-	-	-	36	5	48	-	14	-	-	-	-	1	5	-	3.22s	-	-	-	-	-	2	7	0.4	90.91%	30	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40:04	-	17	Dolphins	Eels
15	Interchange	46:00	-	-	-	-	-	-	-	-	41	11	118	15	50	-	-	-	-	-	10	-	3.09s	-	-	-	-	3	1	12	0.09	96.97%	32	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	39:44	05:52	18	Dolphins	Broncos
15	Prop	42:00	-	-	-	-	-	-	-	-	45	12	131	26	60	-	1	-	-	2	10	-	3.34s	-	-	-	1	-	1	13	0.08	92.86%	26	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	23:41	17:32	19	Dolphins	Titans
15	Prop	35:00	-	-	-	-	-	-	-	-	23	6	55	-	19	-	1	-	-	-	6	-	3.24s	-	-	-	-	1	2	8	0.33	82.76%	24	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18:30	17:07	20	Dolphins	Panthers
10	Prop	40:00	-	-	-	-	-	-	-	-	38	12	128	63	46	-	-	-	-	3	8	-	3.9s	-	-	-	-	-	-	12	-	90.91%	20	2	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21:22	19:05	22	Dolphins	Bulldogs
