Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
15	Interchange	46:00	-	-	-	-	-	-	-	-	46	11	115	13	40	-	-	-	-	1	10	-	3.23s	-	-	-	1	-	-	11	-	96.88%	31	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29:04	16:34	3	Knights	Dolphins
16	Interchange	45:00	-	-	-	-	-	-	-	-	42	11	111	11	41	-	1	-	-	-	10	-	3.56s	-	-	-	1	-	1	12	0.09	93.75%	30	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	30:35	13:49	4	Knights	Raiders
16	Interchange	46:00	-	-	-	-	-	-	-	-	40	10	85	-	28	-	-	-	-	3	10	-	2.52s	-	-	-	-	-	6	17	0.6	96.77%	30	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	28:17	17:12	5	Knights	Sea Eagles
16	Lock	47:00	-	-	-	-	-	-	-	-	31	8	63	-	18	-	-	-	-	1	7	-	3.53s	-	-	-	-	-	3	10	0.38	100%	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29:46	16:38	6	Knights	Warriors
13	Lock	40:00	-	-	-	-	-	-	-	-	31	8	63	-	7	-	-	-	-	-	8	-	3.2s	-	-	-	-	-	2	10	0.25	93.33%	28	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	24:18	15:22	7	Knights	Panthers
16	Interchange	27:00	-	-	-	-	-	-	-	-	25	7	66	-	30	-	-	-	-	1	7	-	2.91s	-	-	-	-	-	-	8	-	100%	21	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	27:00	-	8	Knights	Cowboys
16	Lock	32:00	4	1	-	-	-	-	-	-	26	4	39	-	21	-	-	-	-	1	4	-	3.31s	-	-	-	-	-	4	10	1	79.17%	19	4	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	24:49	07:12	9	Knights	Eels
13	Interchange	28:00	-	-	-	-	-	-	-	-	30	4	36	-	13	-	-	-	-	3	4	-	4.1s	-	-	-	-	1	1	5	0.25	95.83%	23	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:23	-	11	Knights	Titans
17	Interchange	41:00	-	-	-	-	-	-	-	-	27	7	65	-	21	-	-	-	-	1	6	-	3.14s	-	-	-	-	-	2	8	0.29	91.3%	21	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	41:20	-	12	Knights	Sharks
17	Interchange	32:00	-	-	-	-	-	-	-	-	14	6	40	8	7	-	-	-	-	-	4	-	3.57s	-	-	-	-	-	1	7	0.17	84.62%	11	1	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32:00	-	13	Knights	Sea Eagles
17	Interchange	26:00	4	1	-	-	-	-	-	-	24	7	72	-	18	-	-	-	-	1	7	-	2.66s	-	-	-	-	-	-	7	-	81.25%	13	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:00	-	15	Knights	Broncos
17	Interchange	32:00	-	-	-	-	-	-	-	-	25	7	64	-	16	-	-	-	-	-	7	-	3.53s	-	-	-	-	-	1	8	0.14	91.3%	21	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32:27	-	16	Knights	Roosters
17	Interchange	18:00	-	-	-	-	-	-	-	-	28	8	86	-	41	-	-	-	-	3	8	-	3.51s	-	-	-	-	-	-	8	-	100%	14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18:00	-	17	Knights	Panthers
