Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
2	Winger	80:00	-	-	-	-	-	-	-	-	-	6	42	-	14	-	-	-	-	-	-	-	3.53s	-	-	-	-	-	-	7	-	66.67%	2	1	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	2	Dragons	Titans
2	Winger	80:00	4	1	-	-	-	-	-	-	28	11	105	16	33	1	-	-	-	1	1	-	3.64s	1	12	-	-	-	1	14	0.09	83.33%	5	1	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	3	Dragons	Broncos
2	Winger	80:00	-	-	-	-	-	-	-	-	15	7	38	13	8	-	-	-	-	1	-	-	4.3s	-	-	-	-	-	-	8	-	72.73%	8	2	1	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	4	Dragons	Sharks
2	Winger	80:00	-	-	-	-	-	-	-	-	27	18	161	69	49	-	-	-	-	4	2	-	3.89s	2	18	-	-	-	3	21	0.17	60%	3	1	1	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	5	Dragons	Dolphins
2	Winger	80:00	-	-	-	-	-	-	-	-	22	18	161	40	47	-	-	-	-	2	1	-	4.15s	1	6	-	1	-	4	22	0.22	66.67%	4	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	6	Dragons	Titans
2	Winger	80:00	4	1	-	-	-	-	-	-	31	12	116	13	28	1	-	-	-	2	-	-	3.4s	1	7	-	1	-	1	17	0.08	75%	6	2	-	-	2	-	-	-	-	-	-	-	-	-	2	3	1	-	-	-	-	-	-	80:00	-	7	Dragons	Raiders
2	Winger	80:00	-	-	-	-	-	-	-	-	7	9	78	10	23	-	-	-	-	2	-	-	3.06s	1	10	-	-	-	1	11	0.11	66.67%	2	1	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	8	Dragons	Roosters
2	Winger	80:00	4	1	-	-	-	-	-	-	45	16	177	22	70	-	-	-	-	9	1	-	2.98s	-	-	-	-	-	2	18	0.13	46.67%	7	3	5	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	9	Dragons	Bulldogs
2	Winger	80:00	-	-	-	-	-	-	-	-	25	20	157	32	36	-	-	-	-	4	1	-	3.78s	1	14	-	-	-	2	25	0.1	83.33%	5	1	-	-	3	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	10	Dragons	Wests Tigers
2	Winger	80:00	-	-	-	-	-	-	-	-	20	14	115	24	23	-	-	-	-	1	-	-	3.26s	2	18	-	-	-	6	20	0.43	77.78%	7	2	-	-	1	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	11	Dragons	Cowboys
