Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
6	Five-Eighth	80:00	2	-	1	1	-	100%	-	-	16	10	46	-	10	-	-	-	-	1	-	-	3.82s	-	-	-	-	1	26	43	2.6	70.83%	17	6	1	-	-	10	260	1	2	-	-	-	1	-	4	2	-	2	-	-	-	-	-	80:00	-	1	Bulldogs	Sea Eagles
6	Five-Eighth	80:00	6	-	3	5	-	60%	-	-	36	6	25	-	9	-	-	-	-	2	-	-	4.34s	-	-	-	-	1	30	48	5	68.18%	15	5	2	-	-	13	521	1	3	2	-	-	-	1	-	-	-	-	-	-	-	-	-	80:00	-	2	Bulldogs	Storm
6	Five-Eighth	80:00	4	1	-	-	-	-	-	-	59	10	141	15	18	1	1	-	-	5	-	-	3.8s	-	-	-	1	1	23	41	2.3	91.67%	11	-	1	-	-	10	260	-	3	2	-	-	1	-	1	1	-	-	-	-	-	-	-	80:00	-	3	Bulldogs	Wests Tigers
6	Five-Eighth	80:00	6	-	2	2	1	100%	-	-	43	10	74	-	19	-	-	-	-	3	1	-	4.05s	1	5	-	1	2	22	44	2.2	75%	18	6	-	-	-	13	447	1	5	1	-	-	1	1	1	1	-	-	-	-	-	-	-	80:00	-	4	Bulldogs	Warriors
6	Five-Eighth	85:00	3	-	1	3	-	33.33%	1	-	64	10	96	-	20	-	-	1	-	3	-	-	3.6s	-	-	-	-	4	34	62	3.4	95.83%	23	1	-	-	-	19	600	2	6	2	-	-	-	-	1	-	-	2	1	1	-	-	-	85:00	-	5	Bulldogs	Cowboys
6	Five-Eighth	80:00	12	2	2	3	-	66.67%	-	-	50	3	107	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	23	33	7.67	91.67%	22	2	-	1	-	5	187	-	1	-	-	-	-	-	3	2	-	1	-	-	-	-	-	80:00	-	6	Bulldogs	Rabbitohs
6	Five-Eighth	80:00	-	-	-	1	-	-	-	-	39	4	47	-	6	1	1	1	-	2	-	-	4.36s	-	-	-	-	1	21	33	5.25	77.78%	14	2	2	-	1	11	353	-	3	2	-	-	-	1	-	-	-	1	-	-	-	-	-	80:00	-	7	Bulldogs	Eels
7	Halfback	80:00	6	-	2	2	1	100%	-	-	63	14	98	-	15	-	1	1	-	3	-	-	3.61s	1	7	-	2	2	31	49	2.21	85.71%	12	2	-	-	-	11	423	-	2	-	-	-	-	1	-	-	-	2	-	-	-	-	-	80:00	-	8	Bulldogs	Sharks
7	Halfback	80:00	4	-	1	2	1	66.67%	-	-	43	7	59	-	3	1	-	-	-	4	-	-	3.28s	-	-	-	1	1	25	39	3.57	68.75%	11	3	2	-	-	11	399	-	4	1	-	-	-	1	-	-	-	-	-	-	-	-	-	80:00	-	9	Bulldogs	Dragons
7	Halfback	80:00	10	-	5	5	-	100%	-	-	47	5	37	-	9	-	-	2	-	-	-	-	2.56s	-	-	-	1	1	25	40	5	85.71%	12	2	-	-	-	13	368	1	7	1	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	10	Bulldogs	Raiders
7	Halfback	80:00	4	-	2	2	-	100%	-	-	63	10	80	-	15	1	1	1	-	4	-	-	3.16s	-	-	-	2	2	36	60	3.6	91.67%	11	1	-	-	-	18	532	2	6	2	-	-	1	-	2	2	-	-	-	-	-	-	-	80:00	-	11	Bulldogs	Warriors
7	Halfback	80:00	4	-	2	4	-	50%	-	-	61	10	105	-	10	1	-	2	-	5	-	-	3.17s	-	-	-	2	3	25	39	2.5	70%	14	3	3	-	-	10	280	2	3	3	-	-	-	-	-	-	-	3	-	-	-	-	-	80:00	-	12	Bulldogs	Titans
7	Halfback	80:00	8	-	4	4	-	100%	-	-	44	12	97	-	21	-	-	2	-	1	-	-	2.67s	-	-	-	-	5	37	54	3.08	80%	12	2	1	-	-	10	272	-	5	2	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	14	Bulldogs	Roosters
7	Halfback	80:00	8	1	2	2	-	100%	-	-	75	15	133	-	29	1	1	-	-	3	-	-	3.84s	-	-	-	2	8	34	64	2.27	72%	18	4	3	-	-	15	519	-	2	2	-	-	-	1	-	-	-	-	1	-	-	-	-	80:00	-	15	Bulldogs	Eels
7	Halfback	80:00	-	-	-	-	-	-	-	-	19	7	43	-	2	-	1	-	-	-	-	-	2.24s	-	-	-	-	5	26	40	3.71	79.31%	23	6	-	-	-	11	316	-	3	2	-	-	1	1	3	3	-	1	-	-	1	-	-	80:00	-	18	Bulldogs	Knights
