Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
12	2nd Row	73:00	-	-	-	-	-	-	-	-	32	11	95	1	46	-	-	-	-	2	10	-	4.01s	-	-	-	-	-	1	12	0.09	83.33%	20	3	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55:31	17:39	1	Eels	Storm
12	2nd Row	72:00	-	-	-	-	-	-	-	-	32	10	87	-	31	-	-	-	-	-	10	-	3.72s	-	-	-	-	-	3	13	0.3	90.91%	30	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	69:29	02:24	2	Eels	Sharks
12	2nd Row	53:00	4	1	-	-	-	-	-	-	29	8	81	-	28	1	-	-	-	3	7	-	3.27s	-	-	-	-	1	-	8	-	73.68%	14	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	53:11	-	3	Eels	Sea Eagles
14	Interchange	20:00	-	-	-	-	-	-	-	-	22	5	65	-	32	-	-	-	-	1	5	-	2.88s	-	-	-	1	-	1	6	0.2	100%	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19:41	-	4	Eels	Panthers
14	Interchange	36:00	-	-	-	-	-	-	-	-	30	7	54	-	10	-	-	-	-	4	5	-	3.47s	-	-	-	-	-	3	7	0.43	100%	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	31:54	03:15	5	Eels	Roosters
19	Interchange	10:00	-	-	-	-	-	-	-	-	4	4	32	-	11	-	-	-	-	-	4	-	3.63s	-	-	-	-	-	1	5	0.25	100%	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10:00	-	7	Eels	Bulldogs
17	Interchange	32:00	-	-	-	-	-	-	-	-	15	7	74	-	31	-	-	-	-	-	7	-	3.59s	-	-	-	-	-	-	7	-	82.35%	14	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32:24	-	8	Eels	Broncos
16	Interchange	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	Eels	Knights
12	2nd Row	80:00	-	-	-	-	-	-	-	-	39	9	102	-	38	-	-	-	-	1	9	-	4.15s	-	-	-	-	-	1	11	0.11	91.18%	31	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	13	Eels	Cowboys
16	Interchange	24:00	-	-	-	-	-	-	-	-	13	4	35	-	13	-	-	-	-	1	4	-	3.5s	-	-	-	-	-	-	4	-	80%	8	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:00	-	15	Eels	Bulldogs
16	Interchange	21:00	-	-	-	-	-	-	-	-	10	3	33	-	13	-	-	-	-	1	3	-	3.08s	-	-	-	-	-	1	4	0.33	83.33%	5	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21:00	-	16	Eels	Sea Eagles
21	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19	Eels	Warriors
