Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
15	Interchange	19:00	-	-	-	-	-	-	-	-	21	7	72	-	21	-	-	-	-	-	7	-	2.86s	-	-	-	-	-	-	7	-	100%	14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18:52	-	2	Panthers	Rabbitohs
18	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	Panthers	Eels
10	Prop	36:00	-	-	-	-	-	-	-	-	32	11	87	-	21	-	-	-	-	-	10	-	3.63s	-	-	-	1	2	2	12	0.18	88.89%	24	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:26	09:36	6	Panthers	Sea Eagles
10	Prop	19:00	-	-	-	-	-	-	-	-	19	3	32	22	4	-	-	-	-	-	1	-	3.18s	-	-	-	1	-	-	3	-	93.33%	14	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19:22	-	7	Panthers	Knights
10	Prop	22:00	-	-	-	-	-	-	-	-	17	2	14	-	1	-	-	-	-	-	1	-	1.08s	-	-	-	-	-	2	3	1	90.91%	20	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22:15	-	8	Panthers	Rabbitohs
10	Prop	15:00	-	-	-	-	-	-	-	-	10	2	14	-	3	-	-	-	-	-	2	-	2.42s	-	-	-	-	-	-	2	-	92.31%	12	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	14:54	-	9	Panthers	Wests Tigers
13	Lock	64:00	-	-	-	-	-	-	-	-	56	17	125	3	30	-	-	-	-	1	12	-	3.23s	-	-	-	2	3	9	22	0.53	95%	38	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	47:34	15:41	16	Panthers	Cowboys
19	Lock	61:00	-	-	-	-	-	-	-	-	37	20	158	-	37	-	-	-	-	-	13	-	3.21s	-	-	-	-	4	19	32	0.95	77.27%	34	6	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	51:49	09:18	17	Panthers	Knights
19	Lock	56:00	-	-	-	-	-	-	-	-	42	18	143	-	32	-	-	-	-	2	13	-	2.65s	-	-	-	2	-	9	22	0.5	85.71%	30	5	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	34:28	22:10	20	Panthers	Dolphins
16	Interchange	34:00	-	-	-	-	-	-	-	-	35	24	189	21	62	-	-	-	-	-	22	-	3.65s	-	-	-	2	-	3	27	0.12	75%	15	2	3	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	28:22	05:31	22	Panthers	Sharks
