Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
10	Prop	35:00	-	-	-	-	-	-	-	-	30	13	114	13	30	-	-	-	-	2	12	-	3.1s	-	-	-	1	-	-	13	-	93.75%	15	-	1	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	28:57	25:01	1	Roosters	Dolphins
17	Interchange	22:00	-	-	-	-	-	-	-	-	14	8	57	5	21	-	-	-	-	-	7	-	2.93s	-	-	-	-	-	-	8	-	92.86%	13	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	22:19	-	7	Roosters	Sharks
17	Interchange	38:00	-	-	-	-	-	-	-	-	19	9	81	18	23	-	-	-	-	2	6	-	2.85s	-	-	-	-	-	1	10	0.11	76%	19	5	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	32:06	05:30	8	Roosters	Dragons
17	Prop	35:00	-	-	-	-	-	-	-	-	40	13	130	10	49	-	-	-	-	2	12	-	2.71s	-	-	-	1	-	2	14	0.15	100%	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:36	06:53	9	Roosters	Warriors
17	Prop	44:00	-	-	-	-	-	-	-	-	42	12	100	-	35	-	-	-	-	5	11	-	2.77s	-	-	-	2	-	1	12	0.08	80%	20	2	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25:59	18:27	10	Roosters	Cowboys
17	Interchange	50:00	-	-	-	-	-	-	-	-	61	14	98	-	20	-	-	-	-	6	14	-	2.85s	-	-	-	5	-	5	18	0.36	90.32%	28	1	2	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	45:38	04:31	11	Roosters	Panthers
17	Prop	24:00	-	-	-	-	-	-	-	-	22	7	51	9	14	-	-	-	-	1	6	-	2.87s	-	-	-	-	-	1	8	0.14	100%	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:53	-	12	Roosters	Dragons
17	Interchange	22:00	-	-	-	-	-	-	-	-	35	8	74	-	22	-	-	-	-	3	8	-	2.37s	-	-	-	2	-	-	8	-	90%	18	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22:20	-	14	Roosters	Bulldogs
17	Interchange	26:00	-	-	-	-	-	-	-	-	28	8	85	14	26	-	-	-	-	6	7	-	2.72s	-	-	-	2	-	1	10	0.13	80%	12	2	1	-	-	-	-	-	-	-	-	-	-	-	3	2	-	1	-	-	-	-	-	26:21	-	15	Roosters	Panthers
17	Interchange	53:00	-	-	-	-	-	-	-	-	57	15	154	37	43	-	-	-	-	4	12	-	3.11s	-	-	-	3	-	3	18	0.2	90.91%	30	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	28:51	23:59	21	Sea Eagles	Sharks
10	Prop	45:00	-	-	-	-	-	-	-	-	49	11	112	19	44	-	-	-	-	4	9	-	3.43s	-	-	-	1	-	3	14	0.27	90%	27	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	24:57	20:14	22	Sea Eagles	Dragons
