Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
15	2nd Row	80:00	-	-	-	-	-	-	-	-	48	10	97	10	43	-	-	-	-	1	9	-	3.43s	-	-	-	-	-	-	10	-	90.48%	38	3	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	80:00	-	1	Rabbitohs	Sharks
12	2nd Row	80:00	-	-	-	-	-	-	-	-	43	12	73	1	25	-	-	-	-	-	11	-	3.36s	-	-	-	1	-	2	16	0.17	87.5%	35	4	1	-	1	1	16	1	-	1	-	-	-	-	1	2	-	-	-	-	-	-	-	80:00	-	2	Rabbitohs	Panthers
12	2nd Row	77:00	-	-	-	-	-	-	-	-	41	11	99	-	42	-	-	-	-	-	11	-	3.58s	-	-	-	-	-	-	11	-	93.18%	41	1	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	1	-	77:00	-	3	Rabbitohs	Roosters
15	Prop	75:00	-	-	-	-	-	-	-	-	43	11	94	-	32	-	-	-	-	-	11	-	2.81s	-	-	-	-	-	-	12	-	92.31%	36	2	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	67:49	07:20	4	Rabbitohs	Sea Eagles
15	Interchange	48:00	-	-	-	-	-	-	-	-	36	11	105	-	35	-	-	-	-	3	10	-	3.55s	1	14	-	1	-	-	12	-	86.96%	20	1	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	48:00	-	5	Rabbitohs	Storm
18	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	Rabbitohs	Bulldogs
11	2nd Row	80:00	-	-	-	-	-	-	-	-	52	13	97	-	34	-	-	-	-	2	11	-	3.45s	1	8	-	-	-	1	14	0.08	88.89%	40	3	2	-	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	80:00	-	8	Rabbitohs	Panthers
11	2nd Row	69:00	-	-	-	-	-	-	-	-	28	9	94	-	45	-	-	-	-	1	9	-	3.17s	-	-	-	-	-	-	9	-	80%	28	5	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	68:58	-	9	Rabbitohs	Broncos
11	2nd Row	56:00	-	-	-	-	-	-	-	-	28	11	87	-	32	-	-	-	-	-	10	-	3.6s	-	-	-	-	-	1	12	0.09	86.96%	20	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55:53	-	10	Rabbitohs	Storm
11	2nd Row	79:00	-	-	-	-	-	-	-	-	47	13	106	-	38	-	-	-	-	-	13	-	3.23s	-	-	-	1	-	1	14	0.08	94.74%	36	2	-	-	1	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	58:15	20:30	11	Rabbitohs	Wests Tigers
11	2nd Row	80:00	-	-	-	-	-	-	-	-	36	12	95	-	36	-	-	-	-	-	11	-	2.68s	-	-	-	-	-	1	13	0.08	93.94%	31	2	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	80:00	-	12	Rabbitohs	Eels
11	Interchange	56:00	-	-	-	-	-	-	-	-	23	8	50	-	17	-	-	-	-	-	8	-	3.65s	-	-	-	-	-	-	8	-	92.31%	24	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	56:00	-	13	Rabbitohs	Raiders
15	Interchange	27:00	-	-	-	-	-	-	-	-	15	8	79	-	39	-	-	-	-	-	8	-	3.17s	-	-	-	1	-	-	8	-	100%	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:00	-	14	Rabbitohs	Titans
15	Lock	80:00	-	-	-	-	-	-	-	-	49	12	123	-	44	-	1	1	-	-	12	-	3.01s	-	-	-	2	-	-	12	-	81.08%	30	5	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	80:00	-	15	Rabbitohs	Dragons
14	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	Rabbitohs	Cowboys
12	2nd Row	80:00	-	-	-	-	-	-	-	-	38	8	59	-	24	-	-	-	-	2	8	-	3.38s	-	-	-	1	-	2	10	0.25	92.11%	35	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	18	Rabbitohs	Warriors
