Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
16	Interchange	42:00	-	-	-	-	-	-	-	-	45	13	164	38	57	-	-	-	-	5	10	-	3.2s	-	-	-	1	-	-	13	-	95.45%	21	-	1	-	-	-	-	-	-	-	-	-	-	-	1	1	1	-	1	1	-	-	-	41:20	-	1	Titans	Wests Tigers
15	Interchange	41:00	-	-	-	-	-	-	-	-	35	7	65	-	28	-	-	-	-	-	7	-	4.02s	-	-	-	1	-	-	7	-	89.19%	33	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	36:53	04:39	2	Titans	Dragons
8	Prop	63:00	-	-	-	-	-	-	-	-	33	13	138	35	47	-	-	-	-	-	10	-	3.39s	-	-	-	2	-	2	14	0.15	81.82%	18	1	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	38:30	23:31	3	Titans	Storm
8	Prop	61:00	-	-	-	-	-	-	-	-	62	19	198	41	70	-	-	-	-	3	16	-	3.2s	-	-	-	4	-	-	19	-	88.57%	31	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	47:25	13:10	4	Titans	Cowboys
8	Prop	51:00	-	-	-	-	-	-	-	-	49	12	109	29	39	-	-	-	-	2	9	-	3.6s	1	10	-	1	-	2	14	0.17	91.18%	31	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35:41	15:07	6	Titans	Dragons
8	Prop	67:00	-	-	-	-	-	-	-	-	54	16	199	35	62	-	-	-	-	-	13	-	3.28s	1	10	-	1	-	1	19	0.06	89.19%	33	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40:01	26:57	7	Titans	Broncos
8	Prop	66:00	-	-	-	-	-	-	-	-	68	19	222	84	71	-	-	-	-	3	13	-	2.95s	-	-	-	-	-	2	20	0.11	95%	38	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	51:47	13:52	8	Titans	Dolphins
8	Prop	71:00	-	-	-	-	-	-	-	-	53	19	200	41	74	-	-	-	-	1	16	-	3.69s	-	-	-	2	-	2	21	0.11	91.43%	32	2	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	-	-	-	51:49	19:05	9	Titans	Sea Eagles
8	Prop	56:00	-	-	-	-	-	-	-	-	52	14	144	56	43	-	-	-	-	2	10	-	3.35s	-	-	-	1	-	1	15	0.07	96.77%	30	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29:57	25:58	10	Titans	Eels
8	Prop	69:00	-	-	-	-	-	-	-	-	48	16	130	8	39	-	-	-	-	-	15	-	3.37s	-	-	-	-	-	-	17	-	93.48%	43	3	-	-	1	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	-	-	-	52:25	17:04	11	Titans	Knights
