Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
3	Centre	80:00	-	-	-	-	-	-	-	-	41	14	129	5	43	-	1	1	-	2	1	-	3.49s	-	-	-	1	-	3	14	0.21	81.25%	13	1	2	-	1	-	-	-	-	-	-	-	-	-	1	1	1	-	-	-	-	-	-	80:00	-	2	Dragons	Titans
3	Centre	80:00	-	-	-	-	-	-	-	-	18	8	84	-	43	-	-	-	-	1	1	-	3.52s	-	-	-	-	-	1	8	0.13	66.67%	8	2	2	1	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	3	Dragons	Broncos
3	Centre	80:00	-	-	-	-	-	-	-	-	19	9	75	-	22	-	-	-	-	1	2	-	3.25s	-	-	-	1	-	2	13	0.22	90.91%	10	-	1	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	4	Dragons	Sharks
3	Centre	80:00	-	-	-	-	-	-	-	-	39	17	198	-	66	1	-	-	-	3	1	-	3.87s	-	-	-	-	-	3	19	0.18	100%	12	-	-	-	-	1	24	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	5	Dragons	Dolphins
3	Centre	80:00	-	-	-	-	-	-	-	-	29	13	116	-	41	-	-	-	-	1	-	-	3.82s	-	-	-	2	-	3	14	0.23	66.67%	12	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	6	Dragons	Titans
3	Centre	80:00	-	-	-	-	-	-	-	-	28	14	168	-	40	-	2	-	-	2	5	-	3.41s	-	-	-	-	-	5	19	0.36	85.71%	12	1	1	-	-	-	-	-	-	-	-	-	-	-	3	3	-	-	-	-	-	-	-	80:00	-	7	Dragons	Raiders
3	Centre	80:00	-	-	-	-	-	-	-	-	53	17	159	-	35	1	2	3	-	6	1	-	3.4s	-	-	-	-	-	5	21	0.29	69.23%	9	2	2	1	-	1	3	-	-	1	-	-	-	-	3	3	-	-	-	-	-	-	-	80:00	-	8	Dragons	Roosters
3	Centre	80:00	-	-	-	-	-	-	-	-	31	16	150	-	64	-	-	-	-	2	-	-	3.45s	-	-	-	-	-	3	17	0.19	100%	12	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	9	Dragons	Bulldogs
3	Centre	80:00	-	-	-	-	-	-	-	-	31	15	151	-	52	-	1	-	-	5	1	-	3.25s	-	-	-	-	-	4	18	0.27	71.43%	10	2	2	-	-	1	26	-	-	1	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	10	Dragons	Wests Tigers
3	Centre	80:00	4	1	-	-	-	-	-	-	38	14	150	-	27	1	-	-	-	6	-	-	3.48s	-	-	-	-	-	4	19	0.29	81.82%	9	2	-	-	-	-	-	-	-	-	-	-	-	-	5	5	-	-	-	-	-	-	-	80:00	-	11	Dragons	Cowboys
3	Centre	80:00	4	1	-	-	-	-	-	-	38	13	197	97	46	1	-	-	-	1	1	-	3.96s	-	-	-	-	-	1	14	0.08	90%	9	1	-	-	2	-	-	-	-	-	-	-	-	-	3	2	1	1	-	-	-	-	-	80:00	-	12	Dragons	Roosters
3	Centre	80:00	-	-	-	-	-	-	-	-	31	12	146	-	63	-	-	-	-	5	1	-	3.63s	1	17	-	-	-	3	12	0.25	90%	9	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	13	Dragons	Dolphins
3	Centre	80:00	-	-	-	-	-	-	-	-	44	12	109	-	56	-	-	-	-	8	1	-	3.51s	-	-	-	2	1	2	13	0.17	85.71%	12	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	14	Dragons	Panthers
3	Centre	80:00	-	-	-	-	-	-	-	-	33	12	132	-	58	-	-	-	-	2	-	-	3.81s	-	-	-	1	-	3	14	0.25	80%	16	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	15	Dragons	Rabbitohs
3	Centre	43:00	-	-	-	-	-	-	-	-	7	6	52	-	21	-	-	-	-	-	1	-	3.94s	-	-	-	-	-	2	9	0.33	83.33%	10	2	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	42:39	-	17	Dragons	Warriors
3	Centre	80:00	-	-	-	-	-	-	-	-	20	11	102	-	38	-	-	-	-	3	-	-	3.65s	-	-	-	-	-	1	14	0.09	76.92%	10	2	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	19	Dragons	Raiders
3	Centre	80:00	-	-	-	-	-	-	-	-	32	9	102	-	44	-	-	-	-	3	-	-	3.27s	-	-	-	-	-	1	10	0.11	88.89%	16	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	21	Dragons	Wests Tigers
3	Centre	56:00	-	-	-	-	-	-	-	-	32	9	106	-	49	-	-	-	-	3	-	-	3s	-	-	-	-	-	5	12	0.56	100%	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55:50	-	22	Dragons	Sea Eagles
