Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
8	Prop	53:00	-	-	-	-	-	-	-	-	53	11	115	14	44	-	-	-	-	6	9	-	3.11s	-	-	-	1	-	1	11	0.09	88.24%	30	2	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	24:53	23:41	1	Storm	Eels
8	Prop	31:00	4	1	-	-	-	-	-	-	53	11	113	12	52	1	-	-	-	6	10	-	2.31s	-	-	-	2	-	-	11	-	80%	16	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21:30	09:28	2	Storm	Bulldogs
8	Interchange	58:00	-	-	-	-	-	-	-	-	65	14	181	-	79	1	-	-	-	4	14	-	3.62s	-	-	-	5	-	-	14	-	95.45%	21	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	58:00	-	8	Storm	Warriors
8	Prop	47:00	-	-	-	-	-	-	-	-	42	10	76	5	15	-	-	-	-	4	9	-	4.01s	-	-	-	1	-	-	10	-	88.89%	24	2	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	24:20	22:56	10	Storm	Rabbitohs
8	Interchange	23:00	-	-	-	-	-	-	-	-	13	6	55	-	25	-	-	-	-	-	6	-	3.81s	-	-	-	-	1	1	7	0.17	85.71%	12	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10:35	00:32	11	Storm	Broncos
8	Interchange	40:00	-	-	-	-	-	-	-	-	38	18	145	-	65	-	-	-	-	10	18	-	2.51s	-	-	-	-	-	1	19	0.06	76.92%	10	2	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	16:48	23:39	12	Storm	Dolphins
8	Interchange	32:00	-	-	-	-	-	-	-	-	19	7	56	-	21	-	-	-	-	3	7	-	3.47s	-	-	-	-	-	-	9	-	76.92%	20	4	2	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	24:56	07:31	14	Storm	Cowboys
16	Interchange	63:00	-	-	-	-	-	-	-	-	64	15	170	-	61	2	-	-	-	12	14	-	3.63s	1	5	-	1	-	-	15	-	85%	17	1	2	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	63:00	-	15	Storm	Sharks
10	Prop	58:00	-	-	-	-	-	-	-	-	31	11	126	-	50	-	-	-	-	5	11	-	2.63s	-	-	-	-	-	5	16	0.45	80%	16	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	58:14	-	16	Storm	Wests Tigers
12	2nd Row	75:00	4	1	-	-	-	-	-	-	71	14	158	-	57	1	-	-	-	6	14	-	3.35s	-	-	-	1	-	-	14	-	90%	36	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	75:05	-	17	Storm	Sea Eagles
12	2nd Row	72:00	4	1	-	-	-	-	-	-	62	9	73	-	31	1	-	-	-	6	9	-	2.69s	-	-	-	2	-	1	10	0.11	86.84%	33	4	1	1	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	66:03	06:01	18	Storm	Panthers
12	2nd Row	60:00	-	-	-	-	-	-	-	-	39	13	105	-	43	-	-	-	-	3	13	-	3.7s	-	-	-	1	-	-	14	-	92.59%	25	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	28:00	31:41	20	Storm	Roosters
12	2nd Row	50:00	-	-	-	-	-	-	-	-	29	13	128	-	52	-	-	-	-	6	12	-	2.95s	1	11	-	-	-	-	13	-	76.47%	13	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21:03	29:13	21	Storm	Knights
