Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
7	Halfback	72:00	10	-	5	7	-	71.43%	-	-	98	13	148	-	20	-	5	3	-	3	-	-	4.74s	2	24	-	4	7	42	57	3.23	91.3%	21	2	-	-	-	10	257	1	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	72:18	-	4	Sharks	Dragons
7	Halfback	80:00	10	-	4	5	1	71.43%	-	-	69	20	121	-	13	-	2	1	-	2	-	-	3.79s	-	-	-	1	-	48	69	2.4	85.71%	18	1	2	-	1	16	472	-	8	-	-	-	2	-	1	1	-	-	-	-	-	-	-	80:00	-	5	Sharks	Warriors
7	Halfback	80:00	6	-	2	4	1	60%	-	-	73	21	190	-	10	2	-	1	-	3	-	-	3.83s	1	11	-	1	2	47	70	2.24	94.44%	17	1	-	-	-	15	551	-	3	1	-	-	-	-	4	4	-	-	-	-	-	-	-	80:00	-	7	Sharks	Roosters
7	Halfback	80:00	13	-	5	5	1	100%	1	-	72	15	93	-	16	-	3	2	-	2	-	-	4.19s	1	7	-	1	1	44	68	2.93	88.89%	16	2	-	-	-	14	424	-	3	1	-	-	2	1	1	1	-	3	-	-	-	-	-	80:00	-	8	Sharks	Bulldogs
7	Halfback	80:00	20	1	6	7	2	88.89%	-	-	95	20	145	-	21	-	1	1	-	3	-	-	3.76s	-	-	-	1	11	39	72	1.95	95%	19	-	1	-	-	22	696	2	13	1	-	-	-	-	3	3	-	-	-	-	-	-	-	80:00	-	9	Sharks	Cowboys
7	Halfback	80:00	4	-	2	3	-	66.67%	-	-	37	16	127	-	6	-	-	-	-	1	-	-	2.97s	1	12	-	-	2	51	66	3.19	72.41%	21	5	3	-	-	10	363	-	2	-	-	-	1	-	1	1	-	1	-	-	1	-	-	80:00	-	10	Sharks	Dolphins
7	Halfback	80:00	8	-	3	3	1	100%	-	-	86	23	171	-	11	-	1	1	-	4	-	-	4.59s	1	6	-	1	3	53	79	2.3	90.91%	20	-	2	-	-	18	601	1	4	1	-	-	1	-	2	2	-	-	-	-	-	-	-	80:00	-	11	Sharks	Sea Eagles
7	Halfback	80:00	10	-	4	4	1	100%	-	-	82	19	181	-	1	1	1	-	-	3	1	-	-	-	-	-	-	1	58	80	3.05	100%	15	-	-	-	-	19	556	2	8	2	-	-	1	-	2	2	-	-	-	-	-	-	-	80:00	-	12	Sharks	Knights
7	Halfback	80:00	4	-	2	2	-	100%	-	-	64	19	156	2	3	-	4	1	-	3	-	-	3.08s	-	-	-	1	-	70	90	3.68	76.92%	20	4	2	-	-	15	314	1	2	4	-	-	2	-	1	1	-	-	-	-	-	-	-	80:00	-	14	Sharks	Broncos
7	Halfback	80:00	2	-	1	2	-	33.33%	-	-	62	14	107	-	10	-	-	-	-	2	-	-	-	1	13	-	3	3	27	42	1.93	85.19%	23	1	3	1	-	10	331	-	2	-	-	-	2	-	1	1	-	1	-	-	-	-	-	80:00	-	15	Sharks	Storm
7	Halfback	80:00	16	-	7	8	1	88.89%	-	-	88	21	236	8	35	-	3	2	-	3	-	-	3.62s	-	-	-	1	6	42	67	2	85%	17	3	-	-	2	16	430	1	8	1	-	-	1	-	3	2	-	-	-	-	-	-	-	80:00	-	16	Sharks	Bulldogs
7	Halfback	80:00	20	1	8	9	-	88.89%	-	-	94	19	135	-	14	1	3	3	-	1	-	-	4.61s	-	-	-	1	4	36	61	1.89	88.24%	15	1	1	-	1	14	369	1	5	2	-	-	2	-	1	1	-	-	-	-	-	-	-	80:00	-	18	Sharks	Dragons
7	Halfback	80:00	12	1	3	7	1	50%	-	-	82	14	151	-	14	-	2	3	-	3	-	-	3.44s	-	-	-	1	1	39	57	2.79	90.91%	10	-	1	-	-	15	448	-	4	-	-	-	4	-	1	1	-	-	-	-	-	-	-	80:00	-	19	Sharks	Wests Tigers
7	Halfback	77:00	8	1	2	2	-	100%	-	-	61	18	126	-	6	1	-	-	-	7	-	-	3.11s	1	2	-	-	4	43	60	2.39	90.91%	20	1	1	-	1	11	348	-	2	-	-	-	1	-	1	2	-	2	-	-	-	1	-	77:00	-	20	Sharks	Warriors
7	Halfback	80:00	6	-	3	5	-	60%	-	-	59	17	128	-	10	-	2	2	-	2	-	-	3.6s	-	-	-	2	4	49	68	2.88	88.89%	16	2	-	-	-	12	289	-	3	2	-	-	2	-	3	3	-	-	-	-	1	-	-	80:00	-	21	Sharks	Sea Eagles
7	Halfback	80:00	-	-	-	-	-	-	-	-	34	17	95	-	4	-	-	-	-	-	-	-	2.9s	-	-	-	1	2	41	58	2.41	81.48%	22	3	2	-	-	12	324	-	2	1	-	-	1	-	1	1	-	-	1	-	-	-	-	80:00	-	22	Sharks	Panthers
