Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
1	Fullback	84:00	8	1	2	2	-	100%	-	-	47	17	208	125	43	1	1	-	-	2	1	-	2.72s	2	35	-	-	-	16	31	0.94	57.14%	4	-	3	-	3	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	84:00	-	1	Storm	Eels
1	Fullback	80:00	4	-	2	2	-	100%	-	-	30	17	143	30	55	-	-	-	-	3	-	-	3.42s	2	24	-	1	-	17	36	1	66.67%	4	1	1	-	4	-	-	-	-	-	-	-	-	-	2	3	-	-	-	-	-	-	-	80:00	-	2	Storm	Bulldogs
1	Fullback	80:00	18	2	5	6	-	83.33%	-	-	55	8	94	28	6	2	-	-	-	4	-	-	3.35s	2	29	-	1	-	13	20	1.63	66.67%	6	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	3	Storm	Titans
1	Fullback	80:00	12	1	2	4	2	66.67%	-	-	41	16	166	34	48	-	-	-	-	2	-	-	3.8s	1	13	-	-	2	19	33	1.19	100%	3	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	4	Storm	Wests Tigers
1	Fullback	80:00	6	-	3	3	-	100%	-	-	49	13	133	21	34	-	1	1	-	-	1	-	3.35s	2	28	-	1	1	20	34	1.54	90.91%	10	1	-	-	4	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	5	Storm	Rabbitohs
1	Fullback	65:00	10	1	3	5	-	60%	-	-	59	13	123	12	32	1	1	2	-	1	-	-	3.97s	1	7	-	2	-	24	35	1.85	100%	4	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50:29	14:36	6	Storm	Roosters
1	Fullback	80:00	18	2	5	5	-	100%	-	-	63	23	241	69	69	1	1	-	-	5	-	-	3.66s	3	53	-	-	2	14	36	0.61	40%	2	3	-	-	3	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	8	Storm	Warriors
1	Fullback	80:00	4	-	2	2	-	100%	-	-	34	13	114	9	13	-	-	-	-	4	-	-	3.84s	1	11	-	2	1	14	25	1.08	75%	3	-	1	-	-	1	20	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	10	Storm	Rabbitohs
1	Fullback	80:00	8	-	2	4	2	66.67%	-	-	30	13	140	53	44	-	-	-	-	2	-	-	3.08s	2	20	-	1	1	13	30	1	66.67%	2	-	1	-	4	-	-	-	-	-	-	-	-	-	3	3	-	-	-	-	-	-	-	80:00	-	11	Storm	Broncos
1	Fullback	80:00	8	-	4	4	-	100%	-	-	52	17	149	79	46	-	1	1	-	5	-	-	3.3s	3	27	-	1	2	16	34	0.94	85.71%	6	1	-	-	1	1	25	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	12	Storm	Dolphins
1	Fullback	80:00	12	1	3	3	1	100%	-	-	44	10	70	20	14	-	2	2	-	3	-	-	3.64s	-	-	-	-	-	14	26	1.4	37.5%	3	4	1	-	3	1	21	-	-	-	-	-	-	-	2	3	-	-	-	-	-	-	-	80:00	-	14	Storm	Cowboys
1	Fullback	80:00	18	-	8	9	1	90%	-	-	53	11	126	51	23	1	-	-	-	5	-	-	3.45s	-	-	-	1	-	18	30	1.64	60%	3	2	-	-	1	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	15	Storm	Sharks
1	Fullback	80:00	4	-	2	6	-	33.33%	-	-	44	18	177	30	45	-	1	1	-	3	-	-	3.67s	2	17	-	1	-	23	38	1.28	100%	4	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	16	Storm	Wests Tigers
1	Fullback	72:00	4	-	2	4	-	50%	-	-	37	17	169	56	44	-	-	-	-	4	1	-	3.73s	1	9	-	-	-	17	35	1	100%	9	-	-	-	2	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	72:16	-	17	Storm	Sea Eagles
1	Fullback	80:00	8	-	2	2	2	100%	-	-	16	17	136	33	37	-	-	-	-	-	-	-	3.55s	2	17	-	-	-	14	31	0.82	58.33%	7	4	1	-	1	-	-	-	-	-	-	-	-	-	2	2	-	-	1	-	-	-	-	80:00	-	18	Storm	Panthers
1	Fullback	80:00	10	-	5	5	-	100%	-	-	44	15	150	85	37	-	-	-	-	7	-	-	3.21s	2	8	-	-	-	17	31	1.13	72.73%	8	1	2	-	1	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	20	Storm	Roosters
1	Fullback	80:00	10	1	3	3	-	100%	-	-	43	14	176	28	21	1	-	-	-	4	-	-	3.61s	1	14	-	1	1	23	35	1.64	50%	4	3	1	-	2	1	14	1	-	1	-	-	-	-	3	3	-	-	-	-	-	-	-	80:00	-	21	Storm	Knights
1	Fullback	80:00	14	-	7	8	-	87.5%	-	-	40	16	122	30	26	-	-	-	-	4	1	-	3.29s	2	23	-	1	-	17	31	1.06	55.56%	5	2	2	-	-	-	-	-	-	-	-	-	-	-	3	3	-	-	-	-	-	-	-	80:00	-	22	Storm	Eels
