Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
20	Interchange	34:00	-	-	-	-	-	-	-	-	36	14	148	17	64	-	-	-	-	1	12	-	3.25s	-	-	-	1	1	-	14	-	95%	19	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:55	05:39	9	Eels	Knights
19	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	Eels	Raiders
14	Interchange	39:00	-	-	-	-	-	-	-	-	30	11	132	27	59	-	-	-	-	-	9	-	3.73s	-	-	-	-	-	-	11	-	95%	19	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34:55	03:50	12	Eels	Rabbitohs
14	Interchange	33:00	-	-	-	-	-	-	-	-	21	11	122	15	47	-	-	-	-	-	10	-	3.74s	-	-	-	-	-	1	13	0.09	85%	17	2	1	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	26:44	07:01	13	Eels	Cowboys
14	Interchange	29:00	-	-	-	-	-	-	-	-	32	12	136	27	44	-	-	-	-	4	9	-	2.95s	-	-	-	-	-	1	12	0.08	91.67%	11	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19:22	09:49	15	Eels	Bulldogs
10	Prop	37:00	4	1	-	-	-	-	-	-	33	17	142	20	47	1	-	-	-	2	15	-	4.1s	-	-	-	1	2	-	17	-	80%	12	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	1	-	20:37	16:24	16	Eels	Sea Eagles
14	Prop	28:00	-	-	-	-	-	-	-	-	23	9	96	-	44	-	-	-	-	1	9	-	3.63s	-	-	-	-	-	-	9	-	93.33%	14	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17:01	10:34	17	Eels	Dolphins
8	Prop	28:00	-	-	-	-	-	-	-	-	20	10	100	-	42	1	-	-	-	-	10	-	3.38s	-	-	-	-	-	-	10	-	73.68%	14	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19:56	08:09	19	Eels	Warriors
8	Prop	27:00	-	-	-	-	-	-	-	-	11	6	68	30	21	-	-	-	-	-	3	-	3.05s	-	-	-	-	-	1	7	0.17	81.25%	13	3	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	22:09	05:21	21	Eels	Cowboys
8	Prop	24:00	-	-	-	-	-	-	-	-	17	8	74	20	21	-	-	-	-	-	6	-	3.38s	-	-	-	-	-	-	8	-	85%	17	2	1	-	-	-	-	-	-	-	-	-	-	-	1	1	1	-	1	-	-	-	-	16:24	07:44	22	Eels	Storm
