Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
8	Prop	33:00	-	-	-	-	-	-	-	-	35	5	64	9	35	-	-	-	-	-	4	-	3.46s	-	-	-	-	-	-	5	-	91.67%	33	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19:51	13:26	1	Raiders	Cowboys
8	Prop	41:00	-	-	-	-	-	-	-	-	41	7	72	12	17	-	-	-	-	-	6	-	3.29s	-	-	-	-	-	-	7	-	97.14%	34	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22:01	19:19	2	Raiders	Dolphins
8	Interchange	34:00	-	-	-	-	-	-	-	-	34	10	101	36	15	-	-	-	-	1	7	-	3.75s	-	-	-	-	-	1	11	0.1	100%	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	33:52	-	3	Raiders	Sharks
15	Interchange	30:00	-	-	-	-	-	-	-	-	25	4	46	-	18	-	-	-	-	-	4	-	3.05s	-	-	-	-	-	-	4	-	92.31%	24	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	30:12	-	4	Raiders	Knights
16	Interchange	19:00	-	-	-	-	-	-	-	-	10	2	17	-	9	-	-	-	-	-	2	-	2.44s	-	-	-	-	-	-	2	-	86.67%	13	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18:43	-	5	Raiders	Panthers
16	Prop	41:00	-	-	-	-	-	-	-	-	24	8	57	-	18	-	-	-	-	-	7	-	3.59s	-	-	-	1	-	-	8	-	81.48%	22	4	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17:03	03:22	6	Raiders	Broncos
16	Interchange	28:00	-	-	-	-	-	-	-	-	17	8	68	-	10	-	-	-	-	-	8	-	3.19s	-	-	-	-	1	-	8	-	86.67%	13	-	2	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	28:25	-	7	Raiders	Dragons
16	Interchange	26:00	-	-	-	-	-	-	-	-	20	6	55	-	29	-	-	-	-	-	6	-	3.03s	-	-	-	-	-	2	8	0.33	93.75%	15	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:35	-	9	Raiders	Dolphins
16	Interchange	21:00	-	-	-	-	-	-	-	-	18	5	48	9	19	-	-	-	-	-	4	-	2.93s	-	-	-	-	1	2	7	0.4	100%	14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21:26	-	10	Raiders	Bulldogs
16	Interchange	27:00	-	-	-	-	-	-	-	-	18	7	64	30	26	-	-	-	-	-	4	-	2.97s	-	-	-	-	-	1	8	0.14	92.31%	12	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:39	-	11	Raiders	Eels
