Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
13	Lock	70:00	-	-	-	-	-	-	-	-	65	17	180	-	79	-	-	-	-	-	16	-	3.28s	-	-	-	-	-	6	22	0.35	94.34%	50	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	38:42	30:45	1	Broncos	Panthers
13	Lock	60:00	-	-	-	-	-	-	-	-	63	15	158	-	69	-	-	-	-	4	14	-	3.27s	-	-	-	1	1	8	22	0.53	97.14%	34	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30:38	29:14	2	Broncos	Cowboys
13	Lock	57:00	-	-	-	-	-	-	-	-	51	17	180	-	64	1	-	1	-	1	14	-	3.09s	-	-	-	1	-	14	28	0.82	92.31%	24	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	29:03	28:09	3	Broncos	Dragons
13	Lock	69:00	-	-	-	-	-	-	-	-	57	12	142	-	52	-	-	-	-	3	11	-	3.45s	-	-	-	-	-	7	18	0.58	90%	36	1	3	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	64:28	05:00	4	Broncos	Dolphins
13	Lock	53:00	-	-	-	-	-	-	-	-	35	17	158	-	52	-	-	-	-	-	13	-	3.73s	-	-	-	4	-	19	32	1.12	75%	12	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	52:42	-	5	Broncos	Wests Tigers
13	Lock	75:00	-	-	-	-	-	-	-	-	48	19	153	-	26	-	-	-	-	3	13	-	3.29s	-	-	-	-	2	20	33	1.05	86.11%	31	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	75:11	-	6	Broncos	Raiders
13	Lock	63:00	-	-	-	-	-	-	-	-	42	15	173	42	60	-	-	-	-	1	12	-	3.72s	-	-	-	-	-	5	18	0.33	91.18%	31	1	2	-	-	-	-	-	-	-	-	-	-	-	2	2	-	1	-	-	-	-	-	37:30	24:59	7	Broncos	Titans
13	Lock	64:00	-	-	-	-	-	-	-	-	64	16	158	-	47	-	-	-	-	1	13	-	3.24s	-	-	-	3	4	8	22	0.5	92.5%	37	1	2	-	-	1	4	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	60:13	03:27	8	Broncos	Eels
13	Lock	80:00	-	-	-	-	-	-	-	-	56	20	179	-	75	-	-	-	-	2	16	-	3s	-	-	-	3	-	12	28	0.6	88.1%	37	4	1	-	-	-	-	-	-	-	-	-	-	-	2	2	-	1	-	-	-	-	-	80:00	-	9	Broncos	Rabbitohs
13	Lock	55:00	-	-	-	-	-	-	-	-	52	16	163	-	60	1	-	-	-	2	14	-	3.5s	-	-	-	-	-	9	24	0.56	96.3%	26	-	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	51:38	03:29	10	Broncos	Sea Eagles
13	Lock	71:00	-	-	-	-	-	-	-	-	55	26	221	17	47	-	1	-	-	1	16	-	3.09s	-	-	-	1	4	11	28	0.42	86%	43	4	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	1	1	-	71:00	-	11	Broncos	Storm
13	Lock	80:00	-	-	-	-	-	-	-	-	97	19	181	11	60	-	-	-	-	3	15	-	3.17s	-	-	-	3	-	13	29	0.68	94.37%	67	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	12	Broncos	Panthers
13	Lock	50:00	-	-	-	-	-	-	-	-	47	15	150	-	46	-	-	-	-	1	12	-	2.84s	-	-	-	1	-	9	21	0.6	83.33%	30	2	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:27	22:33	14	Broncos	Sharks
13	Lock	68:00	-	-	-	-	-	-	-	-	61	15	151	-	42	-	-	-	-	1	12	-	3.14s	-	-	-	3	1	11	23	0.73	89.8%	44	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	51:12	17:03	15	Broncos	Knights
13	Lock	51:00	-	-	-	-	-	-	-	-	64	17	149	9	49	-	1	1	-	2	12	-	3.67s	-	-	-	2	1	10	23	0.59	94.59%	35	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29:28	22:18	17	Broncos	Titans
13	Lock	80:00	-	-	-	-	-	-	-	-	44	14	113	8	49	-	-	-	-	5	13	-	3.76s	-	-	-	-	-	2	16	0.14	88%	22	-	3	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	18	Broncos	Dolphins
13	2nd Row	80:00	-	-	-	-	-	-	-	-	59	13	112	-	29	-	1	1	-	2	11	-	3.58s	-	-	-	2	-	4	15	0.31	89.66%	26	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	80:00	-	21	Broncos	Rabbitohs
13	2nd Row	80:00	4	1	-	-	-	-	-	-	68	15	115	2	36	1	-	-	-	4	14	-	3.52s	-	-	1	3	2	2	18	0.13	81.82%	27	2	4	-	-	1	2	-	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	22	Broncos	Roosters
