Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
10	Prop	65:00	-	-	-	-	-	-	-	-	63	19	207	24	84	-	-	-	-	7	16	-	3.24s	-	-	-	1	-	1	19	0.05	100%	27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	52:25	12:35	1	Broncos	Panthers
10	Prop	65:00	-	-	-	-	-	-	-	-	62	19	180	-	84	-	-	-	-	5	18	-	2.68s	-	-	-	3	1	1	19	0.05	96.77%	30	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	50:46	14:15	2	Broncos	Cowboys
10	Prop	59:00	-	-	-	-	-	-	-	-	65	18	240	43	104	-	2	-	-	2	15	-	3.97s	-	-	-	2	-	1	19	0.06	100%	26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	49:29	09:04	3	Broncos	Dragons
10	Prop	56:00	-	-	-	-	-	-	-	-	70	16	157	-	70	-	-	-	-	4	14	-	2.92s	-	-	-	3	1	3	17	0.19	94.12%	32	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	33:30	22:11	4	Broncos	Dolphins
10	Prop	46:00	4	1	-	-	-	-	-	-	73	16	144	42	52	1	1	-	-	6	11	-	3.83s	1	6	-	4	-	4	20	0.25	86.36%	19	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	30:10	15:33	5	Broncos	Wests Tigers
10	Prop	58:00	-	-	-	-	-	-	-	-	77	22	203	18	68	-	-	-	-	6	18	-	3.07s	-	-	-	5	-	8	28	0.36	100%	29	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	31:27	27:29	6	Broncos	Raiders
10	Prop	68:00	-	-	-	-	-	-	-	-	66	20	187	18	50	-	-	-	-	5	18	-	3.36s	1	7	-	2	-	5	24	0.25	100%	30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	67:33	-	7	Broncos	Titans
10	Prop	54:00	-	-	-	-	-	-	-	-	57	17	212	-	77	-	-	-	-	7	17	-	3.26s	-	-	-	1	-	-	17	-	90%	18	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29:49	24:25	8	Broncos	Eels
10	Prop	58:00	-	-	-	-	-	-	-	-	50	21	217	27	76	-	-	-	-	4	18	-	3.02s	-	-	-	-	1	2	22	0.1	100%	21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	57:56	-	10	Broncos	Sea Eagles
10	Prop	64:00	-	-	-	-	-	-	-	-	86	27	243	-	75	1	-	-	-	8	21	-	3.34s	-	-	-	3	1	9	29	0.33	90.91%	30	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34:41	29:30	11	Broncos	Storm
10	Prop	57:00	-	-	-	-	-	-	-	-	56	12	101	-	39	-	-	-	-	2	11	-	2.49s	-	-	-	1	-	1	12	0.08	93.75%	45	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	28:18	29:07	12	Broncos	Panthers
10	Prop	56:00	-	-	-	-	-	-	-	-	47	17	185	-	84	-	-	-	-	1	17	-	3.16s	-	-	-	-	-	-	17	-	82.5%	33	3	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:22	28:22	14	Broncos	Sharks
10	Prop	69:00	-	-	-	-	-	-	-	-	93	21	222	-	63	-	-	-	-	7	21	-	2.9s	-	-	-	4	-	4	25	0.19	100%	41	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	51:09	18:04	15	Broncos	Knights
10	Prop	46:00	-	-	-	-	-	-	-	-	51	14	132	9	47	-	-	-	-	4	13	-	3.36s	-	-	-	2	-	3	17	0.21	96.3%	26	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	20:47	24:43	17	Broncos	Titans
10	Prop	67:00	-	-	-	-	-	-	-	-	75	23	224	-	90	-	-	-	-	10	22	-	3.21s	-	-	-	3	-	5	26	0.22	91.67%	22	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	51:23	15:15	18	Broncos	Dolphins
10	Prop	61:00	-	-	-	-	-	-	-	-	55	16	157	-	53	-	-	-	-	3	16	-	2.86s	-	-	-	1	1	3	18	0.19	93.94%	31	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	46:50	14:37	21	Broncos	Rabbitohs
10	Prop	57:00	-	-	-	-	-	-	-	-	54	16	172	-	80	-	-	-	-	4	16	-	3.39s	-	-	-	2	2	2	18	0.13	95.45%	21	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50:35	06:30	22	Broncos	Roosters
