Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
4	Centre	80:00	8	2	-	-	-	-	-	-	32	8	112	30	26	-	-	-	-	2	-	-	4.35s	-	-	-	-	-	6	12	0.75	63.64%	7	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	1	Titans	Wests Tigers
4	Centre	80:00	-	-	-	-	-	-	-	-	17	10	93	-	30	-	-	-	-	-	1	-	4.14s	-	-	-	-	-	5	13	0.5	100%	11	-	-	-	1	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	2	Titans	Dragons
5	Winger	80:00	-	-	-	-	-	-	-	-	12	7	50	7	16	-	1	1	-	2	-	-	4.18s	-	-	-	-	-	2	11	0.29	-	-	-	1	-	2	-	-	-	-	-	-	-	-	-	3	2	-	-	-	-	-	-	-	80:00	-	3	Titans	Storm
5	Winger	80:00	-	-	-	-	-	-	-	-	58	16	137	12	31	1	-	-	-	10	2	-	3.65s	-	-	-	3	-	6	25	0.38	83.33%	5	-	1	-	2	1	16	-	-	-	-	-	1	-	1	2	-	-	-	-	-	-	-	80:00	-	4	Titans	Cowboys
5	Winger	80:00	4	1	-	-	-	-	-	-	78	18	275	-	43	3	-	-	-	14	2	-	2.94s	-	-	-	1	-	-	18	-	60%	3	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	6	Titans	Dragons
5	Winger	80:00	4	1	-	-	-	-	-	-	28	18	167	-	41	-	-	-	-	3	-	-	3.61s	1	2	-	-	-	1	20	0.06	66.67%	2	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	7	Titans	Broncos
4	Centre	80:00	-	-	-	-	-	-	-	-	42	20	172	24	53	-	-	-	-	9	1	-	2.69s	-	-	-	2	-	1	21	0.05	66.67%	4	2	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	8	Titans	Dolphins
5	Winger	80:00	4	1	-	-	-	-	-	-	40	23	191	21	69	-	-	-	-	4	1	-	3.29s	-	-	-	1	-	4	27	0.17	100%	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	9	Titans	Sea Eagles
5	Winger	80:00	-	-	-	-	-	-	-	-	46	20	209	2	43	1	-	-	-	10	1	-	3.5s	-	-	-	1	-	2	23	0.1	33.33%	1	1	1	-	1	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	10	Titans	Eels
5	Winger	80:00	4	1	-	-	-	-	-	-	34	16	133	-	46	-	-	-	-	7	2	-	3.52s	1	2	-	-	-	1	19	0.06	75%	3	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	11	Titans	Knights
5	Winger	80:00	4	1	-	-	-	-	-	-	42	16	152	-	48	2	-	-	-	5	1	-	3.41s	-	-	-	-	-	1	18	0.06	100%	2	-	-	-	1	-	-	-	-	-	-	-	-	-	1	2	-	-	-	-	-	-	-	80:00	-	12	Titans	Bulldogs
3	Centre	80:00	-	-	-	-	-	-	-	-	23	8	67	-	18	1	-	1	-	1	1	-	2.89s	-	-	-	-	-	7	14	0.88	76.92%	10	1	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	14	Titans	Rabbitohs
