Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
12	2nd Row	62:00	-	-	-	-	-	-	-	-	35	11	106	9	38	-	-	-	-	-	10	-	3.4s	-	-	-	-	-	-	11	-	100%	27	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	61:41	-	1	Bulldogs	Sea Eagles
12	2nd Row	47:00	-	-	-	-	-	-	-	-	46	8	91	-	49	-	-	-	-	3	8	-	3.78s	-	-	-	1	-	3	11	0.38	91.89%	34	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	23:24	24:06	2	Bulldogs	Storm
13	Lock	50:00	-	-	-	-	-	-	-	-	30	11	105	-	29	-	-	-	-	-	11	-	3.95s	-	-	-	-	-	4	15	0.36	92.31%	24	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	49:46	-	3	Bulldogs	Wests Tigers
13	Lock	54:00	-	-	-	-	-	-	-	-	33	8	94	16	33	-	-	-	-	-	7	-	4.25s	-	-	-	-	1	5	13	0.63	88.24%	30	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:26	28:08	4	Bulldogs	Warriors
13	2nd Row	03:00	-	-	-	-	-	-	-	-	3	2	11	-	-	-	-	-	-	-	2	-	2.16s	-	-	-	-	-	-	2	-	100%	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	03:00	-	5	Bulldogs	Cowboys
13	Lock	42:00	-	-	-	-	-	-	-	-	24	7	49	-	20	-	-	-	-	3	7	-	3.27s	-	-	-	-	-	2	10	0.29	85.71%	18	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29:26	13:13	7	Bulldogs	Eels
13	Lock	40:00	-	-	-	-	-	-	-	-	30	9	75	23	31	-	-	-	-	-	7	-	3.89s	-	-	-	-	-	-	9	-	96.15%	25	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:55	13:09	8	Bulldogs	Sharks
13	Lock	59:00	-	-	-	-	-	-	-	-	59	13	126	34	41	-	-	-	-	2	9	-	4.19s	-	-	-	1	-	4	15	0.31	88.24%	45	3	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32:40	26:29	9	Bulldogs	Dragons
13	Lock	49:00	-	-	-	-	-	-	-	-	35	10	88	-	31	-	-	-	-	2	10	-	3.91s	-	-	-	-	-	1	11	0.1	87.88%	29	1	3	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	-	-	-	-	-	31:32	16:47	10	Bulldogs	Raiders
13	Interchange	34:00	-	-	-	-	-	-	-	-	30	7	75	11	27	-	-	-	-	1	5	-	3.64s	-	-	-	-	-	1	7	0.14	87.1%	27	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34:31	-	11	Bulldogs	Warriors
23	Interchange	15:00	-	-	-	-	-	-	-	-	13	1	8	-	4	-	-	-	-	-	1	-	3.84s	-	-	-	-	-	-	1	-	100%	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	15:14	-	18	Bulldogs	Knights
13	Lock	50:00	-	-	-	-	-	-	-	-	39	13	120	12	42	-	-	-	-	3	11	-	3.8s	-	-	-	1	-	1	13	0.08	83.33%	25	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:03	16:53	19	Bulldogs	Rabbitohs
10	Prop	31:00	-	-	-	-	-	-	-	-	23	6	46	11	12	-	-	-	-	-	3	-	3.42s	-	-	-	-	-	4	8	0.67	100%	21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	20:38	09:31	20	Bulldogs	Broncos
10	Prop	51:00	-	-	-	-	-	-	-	-	36	3	30	-	12	-	-	-	-	-	3	-	3.72s	-	-	-	-	-	3	6	1	93.33%	42	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	27:50	23:03	21	Bulldogs	Panthers
