Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
9	Hooker	80:00	-	-	-	-	-	-	-	-	74	6	80	-	21	1	-	1	-	4	2	-	3.15s	3	32	-	-	-	101	107	16.83	96.08%	49	1	1	-	-	2	19	1	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	1	Cowboys	Raiders
9	Hooker	80:00	-	-	-	-	-	-	-	-	42	6	43	-	12	-	-	-	-	-	-	-	4.39s	4	28	-	-	4	86	91	14.33	87.27%	48	3	4	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	80:00	-	2	Cowboys	Broncos
9	Hooker	80:00	4	1	-	-	-	-	-	-	74	10	94	-	7	-	-	-	-	3	2	-	3.46s	8	64	-	2	5	78	88	7.8	92.73%	51	3	1	-	-	1	8	-	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	3	Cowboys	Warriors
9	Hooker	80:00	-	-	-	-	-	-	-	-	46	11	100	-	33	-	1	-	-	1	-	-	3.11s	11	100	-	-	3	84	91	7.64	83.72%	36	4	3	-	-	1	12	-	-	1	-	-	-	1	-	-	-	-	-	-	-	-	-	80:00	-	4	Cowboys	Titans
9	Hooker	85:00	-	-	-	-	-	-	-	-	73	10	103	-	8	1	-	-	-	2	2	-	3.19s	8	71	-	1	8	117	126	11.7	91.38%	53	3	2	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	85:00	-	5	Cowboys	Bulldogs
9	Hooker	80:00	-	-	-	-	-	-	-	-	48	7	55	-	9	1	-	-	-	2	-	-	4.06s	6	53	-	-	4	90	90	12.86	92.86%	39	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	6	Cowboys	Dolphins
9	Hooker	80:00	-	-	-	-	-	-	-	-	33	7	63	-	16	-	-	-	-	1	1	-	4.19s	6	49	-	-	6	103	109	14.71	94.87%	37	2	-	-	-	1	4	-	-	1	-	-	-	-	-	-	-	4	-	-	-	-	-	80:00	-	7	Cowboys	Warriors
9	Hooker	80:00	4	1	-	-	-	-	-	-	50	7	68	-	8	-	-	-	-	-	-	-	3.69s	5	50	-	-	6	100	106	14.29	93.02%	40	2	1	-	-	1	12	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	8	Cowboys	Knights
9	Hooker	80:00	-	-	-	-	-	-	-	-	51	5	67	-	22	-	-	-	-	-	1	-	3.68s	4	48	-	1	2	80	84	16	93.88%	46	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	80:00	-	9	Cowboys	Sharks
9	Hooker	80:00	-	-	-	-	-	-	-	-	53	10	86	-	19	-	-	-	-	2	1	-	4.02s	9	80	-	1	9	107	114	10.7	81.48%	44	9	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	80:00	-	10	Cowboys	Roosters
9	Hooker	80:00	-	-	-	-	-	-	-	-	45	8	87	-	18	-	3	-	-	-	1	-	4.23s	7	75	-	1	2	87	92	10.88	84.78%	39	6	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	80:00	-	11	Cowboys	Dragons
