Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
1	Fullback	80:00	4	1	-	-	-	-	-	-	54	16	175	73	26	-	3	1	-	3	1	-	3.13s	1	-	-	1	5	25	40	1.56	75%	6	2	-	-	3	3	60	-	-	2	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	2	Broncos	Cowboys
1	Fullback	80:00	8	2	-	-	-	-	-	-	51	14	158	16	27	1	2	1	-	4	1	-	3.56s	1	16	-	1	-	16	32	1.14	66.67%	4	2	-	-	-	2	30	-	-	-	-	-	-	-	3	2	-	-	-	-	-	-	-	80:00	-	3	Broncos	Dragons
1	Fullback	80:00	-	-	-	-	-	-	-	-	40	18	148	19	36	-	2	1	-	2	1	-	3.53s	2	21	-	1	-	21	36	1.17	70%	7	2	1	-	1	4	133	-	-	2	-	-	-	1	2	2	-	-	-	-	-	-	-	80:00	-	4	Broncos	Dolphins
1	Fullback	80:00	-	-	-	-	-	-	-	-	54	17	194	60	10	2	2	3	-	6	-	-	5.14s	-	-	-	-	3	14	26	0.82	40%	2	2	1	-	2	3	31	-	-	2	-	-	-	-	2	2	-	-	1	-	-	-	-	80:00	-	5	Broncos	Wests Tigers
1	Fullback	80:00	-	-	-	-	-	-	-	-	64	23	192	96	38	-	1	1	-	12	-	-	4.07s	-	-	-	3	-	13	33	0.57	25%	1	3	-	-	4	2	55	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	6	Broncos	Raiders
1	Fullback	80:00	4	1	-	-	-	-	-	-	57	16	120	8	10	2	1	1	-	6	-	-	4.48s	-	-	-	2	2	16	30	1	100%	2	-	-	-	3	1	48	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	7	Broncos	Titans
1	Fullback	80:00	-	-	-	-	-	-	-	-	28	10	115	15	13	1	-	1	-	3	-	-	4.75s	1	3	-	-	6	23	34	2.3	100%	1	-	-	-	1	3	85	-	-	2	-	-	-	1	1	1	-	-	-	-	-	-	-	80:00	-	8	Broncos	Eels
1	Fullback	80:00	-	-	-	-	-	-	-	-	23	12	120	19	21	-	1	-	-	2	-	-	4.6s	2	13	-	1	1	20	27	1.67	57.14%	4	3	-	-	1	1	51	-	-	-	-	-	-	-	4	3	-	-	-	-	-	-	-	80:00	-	9	Broncos	Rabbitohs
1	Fullback	80:00	-	-	-	-	-	-	-	-	57	16	163	57	23	1	1	2	-	13	-	-	4.76s	-	-	-	-	4	20	37	1.25	75%	6	1	1	-	3	2	16	-	-	2	-	-	-	-	3	3	-	1	-	-	-	-	-	80:00	-	10	Broncos	Sea Eagles
1	Fullback	80:00	4	-	2	3	-	66.67%	-	-	70	20	182	49	15	1	1	1	-	6	1	-	4.62s	-	-	-	2	3	21	36	1.05	100%	4	-	-	-	3	5	167	1	-	1	-	-	-	-	1	1	-	2	-	-	-	-	-	80:00	-	11	Broncos	Storm
1	Fullback	80:00	-	-	-	-	-	-	-	-	33	16	103	44	5	-	-	1	-	4	-	-	4.73s	1	5	-	1	-	23	43	1.44	55.56%	5	3	1	-	3	9	321	-	-	2	-	-	-	-	3	3	-	2	-	-	-	-	-	80:00	-	12	Broncos	Panthers
1	Fullback	80:00	-	-	-	-	-	-	-	-	59	12	120	19	23	-	3	1	-	2	1	-	4.15s	-	-	-	3	3	16	30	1.33	88.89%	8	1	-	1	2	-	-	-	-	-	-	-	-	-	3	3	-	-	-	-	-	-	-	80:00	-	14	Broncos	Sharks
1	Fullback	80:00	-	-	-	-	-	-	-	-	71	22	215	68	38	2	3	2	-	13	1	-	4.26s	2	12	-	2	4	17	39	0.77	20%	1	2	2	-	3	1	16	-	-	1	-	-	-	1	3	4	-	1	-	-	-	-	-	80:00	-	15	Broncos	Knights
1	Fullback	80:00	-	-	-	-	-	-	-	-	7	17	168	68	26	-	-	-	-	1	-	-	4.62s	1	10	-	2	2	19	35	1.12	-	-	5	-	-	1	4	120	1	-	1	-	-	1	-	5	5	-	2	-	-	-	-	-	80:00	-	17	Broncos	Titans
1	Fullback	80:00	4	1	-	-	-	-	-	-	47	14	208	-	32	2	2	1	-	4	-	-	3.92s	-	-	-	-	10	16	27	1.14	66.67%	2	-	1	-	-	-	-	-	-	-	-	-	-	-	4	2	-	-	-	-	-	-	-	80:00	-	21	Broncos	Rabbitohs
1	Fullback	80:00	-	-	-	-	-	-	-	-	38	12	73	18	9	1	-	1	-	6	-	-	4.44s	-	-	-	1	3	18	32	1.5	100%	1	-	-	-	2	4	150	1	1	1	-	-	1	1	2	3	-	-	-	-	-	-	-	80:00	-	22	Broncos	Roosters
