Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
9	Hooker	80:00	4	1	-	-	-	-	-	-	71	8	58	-	3	-	1	-	-	1	1	-	5.54s	6	44	-	1	7	88	98	11	91.07%	51	2	3	-	2	6	93	-	-	4	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	1	Bulldogs	Sea Eagles
9	Hooker	80:00	-	-	-	-	-	-	-	-	54	7	43	-	7	-	1	1	-	-	2	-	4.92s	5	33	-	2	-	102	108	14.57	83.02%	44	5	4	-	-	4	126	-	-	-	1	-	-	-	3	3	-	-	1	-	-	-	-	80:00	-	2	Bulldogs	Storm
9	Hooker	80:00	-	-	-	-	-	-	-	-	48	5	18	-	-	-	1	-	-	-	-	-	6.52s	4	17	-	-	-	98	105	19.6	88.64%	39	4	1	-	-	7	261	2	2	1	-	-	-	-	-	-	-	3	-	-	-	-	-	80:00	-	3	Bulldogs	Wests Tigers
9	Hooker	80:00	-	-	-	-	-	-	-	-	38	10	36	-	9	-	-	-	-	-	-	-	4.55s	10	36	-	1	-	89	99	8.9	81.82%	45	8	2	-	1	4	95	-	-	1	1	-	-	1	2	1	-	1	-	-	-	-	-	80:00	-	4	Bulldogs	Warriors
9	Hooker	85:00	-	-	-	-	-	-	-	-	43	5	39	-	6	-	1	1	-	2	-	-	3.9s	5	39	-	-	1	113	121	22.6	84.21%	48	9	-	-	-	2	102	-	-	-	-	-	-	-	3	3	-	1	-	-	-	-	-	85:00	-	5	Bulldogs	Cowboys
9	Hooker	80:00	-	-	-	-	-	-	-	-	65	7	48	-	5	-	-	1	-	2	1	-	4.61s	4	25	-	1	1	72	78	10.29	90.91%	50	5	-	-	-	3	112	-	-	1	1	-	-	-	-	-	-	1	1	-	-	-	-	80:00	-	6	Bulldogs	Rabbitohs
9	Hooker	80:00	-	-	-	-	-	-	-	-	39	11	44	-	9	-	-	-	-	2	-	-	4.67s	4	12	-	-	2	67	77	6.09	87.04%	47	4	3	-	-	3	112	-	-	1	-	-	-	1	2	2	-	3	-	1	-	-	-	80:00	-	7	Bulldogs	Eels
9	Hooker	80:00	-	-	-	-	-	-	-	-	35	7	39	-	13	-	-	-	-	1	2	-	3.33s	4	22	-	-	5	88	95	12.57	86.05%	37	5	1	-	-	4	166	1	-	1	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	8	Bulldogs	Sharks
9	Hooker	80:00	-	-	-	-	-	-	-	-	60	7	72	-	17	1	-	-	-	-	3	-	4.28s	4	25	-	1	-	86	93	12.29	87.27%	48	4	3	-	-	3	92	-	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	9	Bulldogs	Dragons
9	Hooker	80:00	-	-	-	-	-	-	-	-	46	6	33	-	4	-	1	1	-	-	1	-	3.8s	2	13	-	-	1	84	88	14	91.3%	42	4	-	-	1	1	50	-	-	-	1	-	-	-	-	-	-	2	-	-	-	-	-	80:00	-	10	Bulldogs	Raiders
