Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
3	Centre	84:00	-	-	-	-	-	-	-	-	21	9	85	-	24	-	-	-	-	2	1	-	2.35s	-	-	-	-	-	4	11	0.44	72.22%	13	2	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	84:00	-	1	Storm	Eels
3	Centre	80:00	-	-	-	-	-	-	-	-	26	8	75	-	24	-	-	-	-	-	-	-	3.57s	-	-	-	1	-	2	10	0.25	83.33%	15	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	2	Storm	Bulldogs
3	Centre	80:00	-	-	-	-	-	-	-	-	14	10	90	-	27	-	-	-	-	1	-	-	4.02s	1	4	-	-	1	1	8	0.1	77.78%	7	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	3	Storm	Titans
3	Centre	80:00	-	-	-	-	-	-	-	-	26	11	130	-	35	-	1	-	-	2	-	-	3.77s	1	10	-	1	1	5	13	0.45	78.95%	15	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	80:00	-	4	Storm	Wests Tigers
3	Centre	80:00	-	-	-	-	-	-	-	-	37	14	148	-	56	-	-	-	-	2	-	-	3.54s	-	-	-	-	-	5	16	0.36	75%	15	1	4	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	5	Storm	Rabbitohs
3	Centre	80:00	-	-	-	-	-	-	-	-	28	6	64	-	25	-	-	-	-	3	-	-	3.82s	1	14	-	-	-	3	8	0.5	86.96%	20	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	6	Storm	Roosters
3	Centre	80:00	-	-	-	-	-	-	-	-	36	11	103	-	33	-	2	1	-	1	-	-	3.49s	1	13	-	-	-	4	14	0.36	93.75%	15	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	7	Storm	Sea Eagles
3	Centre	80:00	-	-	-	-	-	-	-	-	18	8	75	-	31	-	-	-	-	1	-	-	4.23s	2	11	-	-	2	-	11	-	94.12%	16	-	1	-	-	-	-	-	-	-	-	-	-	-	3	3	-	-	-	1	-	-	-	80:00	-	8	Storm	Warriors
3	Centre	80:00	4	1	-	-	-	-	-	-	42	8	99	-	29	-	-	-	-	4	-	-	3.75s	-	-	-	-	-	2	11	0.25	92.86%	13	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	10	Storm	Rabbitohs
3	Centre	80:00	-	-	-	-	-	-	-	-	27	9	84	-	37	-	1	1	-	2	1	-	3.61s	1	10	-	-	1	3	13	0.33	81.25%	13	1	2	-	1	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	1	-	-	80:00	-	11	Storm	Broncos
3	Centre	80:00	4	1	-	-	-	-	-	-	31	11	94	-	23	1	-	-	-	1	-	-	3.22s	1	1	-	-	-	2	13	0.18	76.47%	13	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	80:00	-	12	Storm	Dolphins
3	Centre	80:00	-	-	-	-	-	-	-	-	11	6	61	-	25	-	1	-	-	2	-	-	2.76s	-	-	-	-	-	6	12	1	70%	7	3	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	14	Storm	Cowboys
3	Centre	66:00	4	1	-	-	-	-	-	-	50	8	72	-	17	1	1	1	-	4	-	-	3.54s	-	-	-	-	-	1	8	0.13	82.35%	14	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	65:49	-	15	Storm	Sharks
3	Centre	80:00	-	-	-	-	-	-	-	-	34	13	133	-	41	-	2	2	-	2	-	-	3.18s	1	11	-	-	1	4	18	0.31	57.89%	11	2	6	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	16	Storm	Wests Tigers
3	Centre	80:00	-	-	-	-	-	-	-	-	26	8	87	-	30	-	1	-	-	1	1	-	3.66s	-	-	-	-	1	4	15	0.5	95.65%	22	1	-	-	-	1	13	-	-	1	-	-	-	-	2	2	-	1	-	-	-	-	-	80:00	-	17	Storm	Sea Eagles
3	Centre	80:00	-	-	-	-	-	-	-	-	37	9	87	-	30	-	1	1	-	6	-	-	2.85s	1	11	-	1	1	-	7	-	90.91%	10	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	-	-	80:00	-	18	Storm	Panthers
3	Centre	80:00	-	-	-	-	-	-	-	-	23	11	98	-	24	-	-	-	-	4	-	-	4.15s	-	-	-	-	1	3	12	0.27	87.5%	14	1	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	2	-	-	-	-	-	80:00	-	20	Storm	Roosters
3	Centre	51:00	-	-	-	-	-	-	-	-	11	6	69	-	25	-	-	-	-	1	-	-	2.98s	-	-	-	-	-	-	6	-	64.71%	11	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50:47	-	21	Storm	Knights
