Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
5	Winger	80:00	14	1	5	5	-	83.33%	-	-	59	21	194	15	46	3	-	-	-	2	2	-	3.57s	1	8	-	1	1	2	22	0.1	100%	2	-	-	-	-	3	47	-	-	3	-	-	-	-	-	-	-	-	1	-	-	-	-	80:00	-	1	Sea Eagles	Bulldogs
5	Winger	80:00	14	1	4	6	1	71.43%	-	-	54	13	108	15	25	1	-	1	-	4	-	-	3.13s	1	14	-	1	1	5	17	0.38	100%	3	-	-	-	-	1	4	-	-	1	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	3	Sea Eagles	Eels
5	Winger	82:00	4	-	2	2	-	100%	-	-	32	18	198	3	38	3	-	-	-	2	1	-	3.82s	1	15	-	-	-	4	22	0.22	60%	3	2	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	82:00	-	4	Sea Eagles	Rabbitohs
5	Winger	90:00	12	1	4	6	-	66.67%	-	-	51	20	200	53	56	2	-	-	-	3	1	-	3.74s	-	-	-	1	-	7	29	0.35	40%	2	3	-	-	3	1	9	1	-	1	-	-	-	-	2	2	-	-	-	-	-	-	-	90:00	-	5	Sea Eagles	Knights
5	Winger	27:00	-	-	-	-	-	-	-	-	10	3	20	-	3	-	-	-	-	-	-	-	3.84s	-	-	-	1	-	1	4	0.33	75%	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:00	-	6	Sea Eagles	Panthers
5	Winger	80:00	10	-	3	3	2	100%	-	-	31	16	94	12	22	-	-	-	-	3	1	-	3.99s	1	10	-	-	1	-	16	-	75%	3	-	1	-	3	1	18	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	8	Sea Eagles	Wests Tigers
3	Centre	80:00	6	-	1	1	2	100%	-	-	27	11	100	-	32	-	1	-	-	2	2	-	3.67s	-	-	-	-	1	6	14	0.55	81.25%	13	3	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	9	Sea Eagles	Titans
5	Winger	80:00	2	-	1	1	-	100%	-	-	40	22	194	30	51	2	-	-	-	3	-	-	3.85s	1	10	-	-	-	1	21	0.05	88.89%	8	1	-	-	1	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	10	Sea Eagles	Broncos
5	Winger	80:00	10	1	2	2	1	100%	-	-	55	20	154	25	41	1	-	-	-	6	-	-	3.96s	1	1	-	1	-	8	26	0.4	70%	7	1	2	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	11	Sea Eagles	Sharks
5	Winger	80:00	14	1	5	8	-	62.5%	-	-	58	15	168	9	31	2	-	1	-	4	1	-	4.22s	1	-	-	-	-	9	21	0.6	100%	4	-	-	-	1	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	12	Sea Eagles	Raiders
