Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
15	Interchange	12:00	-	-	-	-	-	-	-	-	15	4	40	-	20	-	-	-	-	1	4	-	3.74s	-	-	-	-	-	-	4	-	100%	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	12:26	-	2	Sharks	Eels
15	Interchange	27:00	-	-	-	-	-	-	-	-	15	12	125	17	50	-	-	-	-	1	11	-	3.5s	-	-	-	-	-	-	12	-	90.91%	10	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	1	-	33:01	04:23	3	Sharks	Raiders
15	Interchange	25:00	-	-	-	-	-	-	-	-	31	8	76	13	42	-	-	-	-	3	7	-	3.93s	-	-	-	-	-	-	8	-	94.74%	18	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:31	-	4	Sharks	Dragons
15	Interchange	23:00	-	-	-	-	-	-	-	-	9	5	54	19	24	-	-	-	-	-	4	-	3.47s	-	-	-	-	-	-	7	-	83.33%	10	2	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	1	-	-	-	-	-	19:14	04:00	5	Sharks	Warriors
8	Interchange	23:00	-	-	-	-	-	-	-	-	18	5	51	14	25	-	-	-	-	-	4	-	4.03s	-	-	-	-	-	-	6	-	94.44%	17	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	22:42	-	7	Sharks	Roosters
16	Interchange	24:00	-	-	-	-	-	-	-	-	28	7	86	34	41	-	-	-	-	2	5	-	3.56s	-	-	-	-	-	-	7	-	90%	18	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	23:32	-	8	Sharks	Bulldogs
16	Interchange	30:00	-	-	-	-	-	-	-	-	37	11	124	36	52	-	-	-	-	1	9	-	3.77s	-	-	-	2	-	-	11	-	94.44%	17	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22:23	07:10	9	Sharks	Cowboys
10	Prop	36:00	-	-	-	-	-	-	-	-	29	8	97	15	51	-	-	-	-	1	7	-	3.22s	-	-	-	-	-	-	8	-	91.67%	22	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19:02	16:32	10	Sharks	Dolphins
10	Prop	33:00	4	1	-	-	-	-	-	-	44	5	48	15	16	1	-	-	-	2	4	-	3.64s	-	-	-	-	-	-	5	-	92.59%	25	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	23:10	10:10	11	Sharks	Sea Eagles
10	Prop	37:00	4	1	-	-	-	-	-	-	47	10	118	-	45	1	-	-	-	6	10	-	4.23s	-	-	-	1	-	-	11	-	84.21%	16	2	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	21:47	14:48	12	Sharks	Knights
10	Prop	39:00	-	-	-	-	-	-	-	-	32	10	93	-	38	-	-	-	-	-	9	-	2.87s	-	-	-	2	-	2	11	0.2	84%	21	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	25:17	14:27	14	Sharks	Broncos
10	Prop	35:00	-	-	-	-	-	-	-	-	25	6	47	-	21	-	-	-	-	-	6	-	4.33s	-	-	-	1	-	-	6	-	85%	17	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25:22	09:54	15	Sharks	Storm
20	Interchange	10:00	-	-	-	-	-	-	-	-	12	4	39	17	12	-	-	-	-	1	3	-	3.87s	-	-	-	1	-	-	4	-	83.33%	5	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10:27	-	21	Sharks	Sea Eagles
17	Interchange	14:00	-	-	-	-	-	-	-	-	14	5	53	-	23	-	-	-	-	-	5	-	2.19s	-	-	-	1	-	-	6	-	84.62%	11	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	09:43	04:38	22	Sharks	Panthers
