Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
12	2nd Row	83:00	-	-	-	-	-	-	-	-	68	12	146	-	42	-	-	-	-	-	12	-	3.74s	-	-	-	-	-	4	16	0.33	96.67%	58	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	83:00	-	4	Eels	Panthers
12	2nd Row	75:00	-	-	-	-	-	-	-	-	58	15	114	-	32	-	-	-	-	1	14	-	4.27s	-	-	-	2	2	9	23	0.6	95.35%	41	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	74:34	-	5	Eels	Roosters
13	Lock	73:00	-	-	-	-	-	-	-	-	60	20	191	-	54	-	-	-	-	4	15	-	3.88s	-	-	-	-	-	10	24	0.5	89.36%	42	2	3	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	1	-	-	-	-	66:00	06:56	6	Eels	Wests Tigers
13	2nd Row	61:00	-	-	-	-	-	-	-	-	57	22	170	-	64	-	2	1	-	3	18	-	3.77s	-	-	-	2	-	4	22	0.18	85.29%	29	4	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	2	-	-	-	-	-	60:40	-	7	Eels	Bulldogs
13	Lock	74:00	-	-	-	-	-	-	-	-	51	13	118	-	34	-	-	-	-	-	12	-	3.33s	-	-	-	1	1	10	24	0.77	93.33%	42	2	1	-	-	1	9	-	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	57:45	16:45	8	Eels	Broncos
16	Interchange	52:00	-	-	-	-	-	-	-	-	67	23	251	12	87	-	-	-	-	4	17	-	3.72s	-	-	-	2	1	13	29	0.57	91.43%	32	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	45:19	06:56	10	Eels	Titans
16	Interchange	54:00	-	-	-	-	-	-	-	-	51	12	119	4	42	-	-	1	-	1	10	-	4.61s	-	-	-	1	-	4	16	0.33	94.12%	32	1	1	-	1	1	11	-	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-	45:12	09:02	11	Eels	Raiders
16	Interchange	36:00	-	-	-	-	-	-	-	-	39	9	117	-	26	1	-	1	-	-	8	-	3.37s	-	-	-	-	-	3	11	0.33	95.45%	21	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36:31	-	12	Eels	Rabbitohs
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	44	19	163	-	43	-	-	-	-	5	-	-	3.86s	-	-	-	-	2	24	41	1.26	87.5%	21	2	1	-	-	3	43	-	1	1	-	-	-	1	-	-	-	-	-	-	-	-	-	80:00	-	16	Eels	Sea Eagles
16	Interchange	63:00	-	-	-	-	-	-	-	-	44	14	138	14	36	-	-	-	-	-	13	-	3.92s	-	-	-	1	2	4	18	0.29	100%	21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	63:00	-	17	Eels	Dolphins
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	54	10	100	10	31	-	-	-	-	3	-	-	3.69s	-	-	-	2	4	11	21	1.1	94.12%	32	1	1	-	-	1	13	-	-	1	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	19	Eels	Warriors
17	Interchange	43:00	-	-	-	-	-	-	-	-	43	13	150	-	62	-	-	-	-	2	13	-	3.81s	-	-	-	1	2	3	16	0.23	85.71%	18	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	38:11	05:40	20	Eels	Titans
17	Interchange	47:00	-	-	-	-	-	-	-	-	48	14	106	-	31	-	-	-	-	-	12	-	4.03s	-	-	-	4	2	8	20	0.57	96.55%	28	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	1	-	-	46:30	-	21	Eels	Cowboys
17	Interchange	64:00	-	-	-	-	-	-	-	-	62	16	137	-	51	-	1	1	-	1	15	-	3.72s	-	-	-	3	4	6	21	0.38	92.31%	36	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	64:00	-	22	Eels	Storm
