Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
10	Prop	57:00	-	-	-	-	-	-	-	-	47	11	91	13	24	-	-	-	-	-	10	-	3.85s	-	-	-	-	-	2	13	0.18	96%	48	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	2	-	-	-	-	-	23:27	33:31	1	Bulldogs	Sea Eagles
10	Prop	42:00	-	-	-	-	-	-	-	-	48	11	91	-	29	-	-	-	-	4	11	-	3.6s	-	-	-	-	1	2	12	0.18	94.87%	37	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	24:55	16:41	2	Bulldogs	Storm
10	Prop	46:00	-	-	-	-	-	-	-	-	34	8	68	-	9	-	-	-	-	-	8	-	3.69s	-	-	-	-	-	4	13	0.5	94.44%	34	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	26:32	18:42	3	Bulldogs	Wests Tigers
10	Prop	47:00	-	-	-	-	-	-	-	-	37	9	84	41	17	-	-	-	-	-	6	-	3.75s	-	-	-	-	-	3	13	0.33	92.5%	37	3	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	-	-	23:40	23:22	4	Bulldogs	Warriors
10	Prop	49:00	-	-	-	-	-	-	-	-	36	9	128	16	26	-	-	-	-	-	8	-	3.27s	-	-	-	-	1	3	12	0.33	82.61%	38	6	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	33:36	15:09	5	Bulldogs	Cowboys
10	Prop	37:00	-	-	-	-	-	-	-	-	29	5	43	26	13	-	-	-	-	-	3	-	3.2s	-	-	-	-	-	2	7	0.4	93.55%	29	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	26:42	09:38	6	Bulldogs	Rabbitohs
17	Interchange	35:00	-	-	-	-	-	-	-	-	30	10	79	10	20	-	-	-	-	-	7	-	3s	-	-	-	-	1	4	12	0.4	90%	27	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34:31	-	7	Bulldogs	Eels
17	Interchange	21:00	-	-	-	-	-	-	-	-	13	8	52	10	14	-	-	-	-	-	7	-	2.84s	-	-	-	-	-	-	9	-	93.33%	14	1	-	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	20:57	-	8	Bulldogs	Sharks
10	Prop	21:00	-	-	-	-	-	-	-	-	10	6	34	10	9	-	-	-	-	-	5	-	2.92s	-	-	-	-	-	-	6	-	84.62%	11	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21:07	-	14	Bulldogs	Roosters
15	Interchange	45:00	-	-	-	-	-	-	-	-	26	8	69	-	28	-	-	-	-	-	8	-	3.72s	-	-	-	-	-	3	11	0.38	80.95%	34	7	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	45:05	-	18	Bulldogs	Knights
10	Prop	09:00	-	-	-	-	-	-	-	-	8	2	25	25	4	-	-	-	-	-	-	-	2.92s	-	-	-	-	-	-	2	-	88.89%	8	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	09:21	-	19	Bulldogs	Rabbitohs
21	Lock	56:00	-	-	-	-	-	-	-	-	24	9	75	-	24	-	-	-	-	-	8	-	3.18s	-	-	-	-	-	5	13	0.56	78.57%	33	7	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	30:17	25:42	22	Bulldogs	Dolphins
