Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
15	Interchange	26:00	-	-	-	-	-	-	-	-	25	8	69	5	22	-	-	-	-	-	7	-	3.67s	-	-	-	-	-	1	9	0.13	95%	19	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:00	-	1	Panthers	Broncos
15	Interchange	30:00	-	-	-	-	-	-	-	-	38	8	87	28	23	1	-	1	-	-	5	-	3.64s	-	-	-	-	1	2	9	0.25	95.45%	21	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:00	03:53	4	Panthers	Eels
11	2nd Row	67:00	-	-	-	-	-	-	-	-	48	9	78	-	24	1	1	1	-	2	9	-	2.96s	-	-	-	2	-	4	13	0.44	83.33%	25	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	52:29	14:38	5	Panthers	Raiders
11	2nd Row	51:00	4	1	-	-	-	-	-	-	52	12	109	-	39	1	1	-	-	1	12	-	3.75s	-	-	-	1	1	4	17	0.33	96%	24	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	51:12	-	6	Panthers	Sea Eagles
11	Interchange	44:00	-	-	-	-	-	-	-	-	39	13	105	34	19	-	-	-	-	2	10	-	3.4s	-	-	-	-	-	1	14	0.08	96.43%	27	-	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	31:32	12:03	7	Panthers	Knights
11	2nd Row	69:00	-	-	-	-	-	-	-	-	42	9	69	-	24	-	-	-	-	1	8	-	2.97s	-	-	-	-	-	-	9	-	94.59%	35	1	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	60:36	07:57	8	Panthers	Rabbitohs
11	2nd Row	66:00	-	-	-	-	-	-	-	-	43	12	106	-	42	-	-	-	-	-	12	-	3.31s	-	-	-	1	-	2	15	0.17	87.23%	41	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	61:16	05:06	9	Panthers	Wests Tigers
11	2nd Row	67:00	-	-	-	-	-	-	-	-	45	9	70	-	32	-	-	-	-	1	9	-	2.69s	-	-	-	2	-	4	13	0.44	85%	34	3	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	46:32	20:05	10	Panthers	Warriors
11	2nd Row	80:00	8	2	-	-	-	-	-	-	94	23	194	-	44	2	1	1	-	2	21	-	3.99s	-	-	-	6	2	3	26	0.13	92.31%	24	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	11	Panthers	Roosters
11	2nd Row	80:00	-	-	-	-	-	-	-	-	55	12	116	-	43	-	1	-	-	1	12	-	2.9s	-	-	-	1	-	3	16	0.25	92.11%	35	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	80:00	-	12	Panthers	Broncos
11	2nd Row	80:00	-	-	-	-	-	-	-	-	42	10	68	-	24	-	-	-	-	1	10	-	3.92s	-	-	-	1	-	-	11	-	90%	36	3	1	-	-	1	22	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	14	Panthers	Dragons
11	2nd Row	59:00	-	-	-	-	-	-	-	-	67	19	229	6	76	1	2	-	-	3	17	-	3.53s	1	10	-	5	-	3	22	0.16	77.78%	21	4	2	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	58:38	-	15	Panthers	Roosters
11	2nd Row	89:00	-	-	-	-	-	-	-	-	47	12	96	-	34	1	-	-	-	5	12	-	3.61s	-	-	-	-	1	-	14	-	92.68%	38	3	-	-	-	1	1	-	-	1	-	-	-	-	2	2	-	2	-	-	-	-	-	89:00	-	16	Panthers	Cowboys
11	2nd Row	80:00	-	-	-	-	-	-	-	-	58	14	122	-	45	1	1	1	-	3	13	-	3.14s	-	-	-	2	-	7	19	0.5	86.21%	25	-	4	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	17	Panthers	Knights
11	2nd Row	59:00	-	-	-	-	-	-	-	-	39	13	115	10	42	-	-	-	-	-	12	-	3.56s	-	-	-	1	-	1	14	0.08	87.1%	27	2	2	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	59:09	-	18	Panthers	Storm
11	2nd Row	80:00	-	-	-	-	-	-	-	-	51	14	113	-	45	-	-	-	-	2	13	-	2.62s	-	-	-	2	-	3	16	0.21	94.74%	36	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	20	Panthers	Dolphins
11	2nd Row	80:00	4	1	-	-	-	-	-	-	60	10	80	-	25	1	-	-	-	3	10	-	3.49s	-	-	-	-	-	4	14	0.4	91.3%	42	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	21	Panthers	Bulldogs
11	2nd Row	80:00	-	-	-	-	-	-	-	-	55	17	144	-	56	-	1	1	-	-	16	-	3.51s	-	-	-	1	-	2	19	0.12	94.12%	32	-	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	22	Panthers	Sharks
