Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
13	Interchange	39:00	-	-	-	-	-	-	-	-	40	14	141	14	71	-	-	-	-	2	13	-	3.21s	-	-	-	-	-	1	15	0.07	95.65%	22	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	39:09	-	1	Sea Eagles	Bulldogs
17	Interchange	38:00	-	-	-	-	-	-	-	-	39	8	85	28	42	-	-	-	-	-	6	-	2.9s	-	-	-	-	-	1	9	0.13	96.43%	27	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	37:26	-	3	Sea Eagles	Eels
17	Interchange	46:00	-	-	-	-	-	-	-	-	46	11	92	32	30	-	-	-	-	1	8	-	3.86s	-	-	-	1	-	-	11	-	96.67%	29	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36:55	08:49	4	Sea Eagles	Rabbitohs
17	Interchange	44:00	-	-	-	-	-	-	-	-	26	11	105	13	47	-	-	-	-	1	10	-	3.54s	-	-	-	-	-	2	13	0.18	81.48%	22	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	44:39	-	5	Sea Eagles	Knights
17	Interchange	33:00	-	-	-	-	-	-	-	-	20	8	96	-	50	-	-	-	-	2	8	-	3.65s	-	-	-	-	-	-	8	-	78.26%	18	4	1	-	-	-	-	-	-	-	-	-	-	-	1	1	1	-	1	-	-	-	-	33:18	-	6	Sea Eagles	Panthers
15	Interchange	34:00	-	-	-	-	-	-	-	-	19	4	46	-	16	-	-	-	-	-	4	-	3.08s	-	-	-	-	-	-	4	-	79.31%	23	3	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	33:18	-	8	Sea Eagles	Wests Tigers
16	Interchange	16:00	4	1	-	-	-	-	-	-	26	6	52	-	19	1	-	-	-	3	6	-	3.34s	-	-	-	-	-	-	6	-	87.5%	7	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	15:59	-	9	Sea Eagles	Titans
10	Prop	50:00	-	-	-	-	-	-	-	-	22	4	34	6	9	-	-	-	-	-	3	-	3.19s	-	-	-	-	-	1	5	0.25	88.46%	23	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29:18	21:11	10	Sea Eagles	Broncos
10	Prop	44:00	-	-	-	-	-	-	-	-	31	11	91	20	28	-	-	-	-	-	9	-	2.8s	-	-	-	1	-	2	13	0.18	92.31%	24	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	26:52	16:39	11	Sea Eagles	Sharks
10	Prop	40:00	-	-	-	-	-	-	-	-	20	11	101	42	38	-	-	-	-	1	8	-	4.01s	-	-	-	-	-	-	11	-	78.57%	22	3	3	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	-	1	-	07:33	18:37	12	Sea Eagles	Raiders
13	Lock	48:00	-	-	-	-	-	-	-	-	45	15	143	-	47	-	-	-	-	2	15	-	3.44s	-	-	-	1	-	-	16	-	93.94%	31	2	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	30:28	18:16	13	Sea Eagles	Knights
13	Lock	54:00	-	-	-	-	-	-	-	-	32	16	185	23	87	-	-	-	-	2	14	-	3.03s	-	-	-	-	1	1	17	0.06	84.21%	16	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29:59	24:28	15	Sea Eagles	Dolphins
13	Lock	57:00	-	-	-	-	-	-	-	-	42	8	62	-	34	-	-	-	-	2	8	-	3.08s	-	-	-	1	-	1	10	0.13	83.33%	40	7	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	-	-	-	31:29	26:24	16	Sea Eagles	Eels
13	Interchange	38:00	-	-	-	-	-	-	-	-	31	6	47	-	23	-	-	-	-	-	5	-	2.28s	1	9	-	-	-	3	9	0.5	91.67%	33	2	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	33:53	03:53	17	Sea Eagles	Storm
16	Interchange	42:00	-	-	-	-	-	-	-	-	34	12	122	11	51	-	-	-	-	1	11	-	2.81s	-	-	-	-	-	2	15	0.17	90.32%	28	2	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	35:25	06:48	21	Sea Eagles	Sharks
16	Interchange	29:00	-	-	-	-	-	-	-	-	13	6	57	36	18	-	-	-	-	1	3	-	3.14s	-	-	-	-	-	1	7	0.17	87.5%	14	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	28:11	-	22	Sea Eagles	Dragons
