Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
1	Fullback	68:00	-	-	-	-	-	-	-	-	21	15	153	69	69	-	-	-	-	2	1	-	3.88s	1	4	-	-	-	1	18	0.07	80%	4	1	-	-	2	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	49:07	18:25	1	Raiders	Cowboys
1	Fullback	80:00	-	-	-	-	-	-	-	-	27	19	191	86	55	-	-	-	-	3	-	-	3.47s	-	-	-	-	-	4	24	0.21	100%	1	-	-	-	3	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	2	Raiders	Dolphins
1	Fullback	80:00	-	-	-	-	-	-	-	-	34	13	146	83	42	-	-	-	-	2	-	-	3.92s	-	-	-	-	-	-	15	-	100%	6	-	-	-	5	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	3	Raiders	Sharks
1	Fullback	80:00	-	-	-	-	-	-	-	-	22	24	293	172	110	-	-	-	-	1	1	-	3.9s	-	-	-	-	1	5	30	0.21	50%	4	4	-	-	1	-	-	-	-	-	-	-	-	-	3	3	-	-	-	-	-	-	-	80:00	-	4	Raiders	Knights
1	Fullback	80:00	-	-	-	-	-	-	-	-	22	10	99	25	34	1	-	-	-	2	-	-	3.67s	-	-	-	1	1	5	14	0.5	54.55%	6	3	2	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	5	Raiders	Panthers
1	Fullback	80:00	-	-	-	-	-	-	-	-	31	15	169	81	43	1	-	-	-	6	-	-	3.55s	-	-	-	1	3	6	24	0.4	50%	4	3	1	-	3	-	-	-	-	-	-	-	-	-	2	2	-	1	-	-	-	-	-	80:00	-	6	Raiders	Broncos
1	Fullback	80:00	4	1	-	-	-	-	-	-	61	17	185	68	37	1	-	-	-	9	-	-	3.87s	-	-	-	1	-	5	24	0.29	85.71%	6	1	-	-	3	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	7	Raiders	Dragons
1	Fullback	84:00	4	1	-	-	-	-	-	-	44	20	247	72	81	1	1	1	-	-	-	-	3.81s	1	9	-	-	1	7	29	0.35	60%	3	2	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	84:00	-	9	Raiders	Dolphins
1	Fullback	80:00	-	-	-	-	-	-	-	-	17	16	145	23	48	-	-	-	-	2	3	-	3.34s	-	-	-	-	2	8	25	0.5	60%	3	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	10	Raiders	Bulldogs
1	Fullback	80:00	4	1	-	-	-	-	-	-	28	12	129	8	66	-	-	-	-	3	-	-	2.75s	2	26	-	-	3	4	18	0.33	75%	3	1	-	-	1	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	11	Raiders	Eels
1	Fullback	80:00	-	-	-	-	-	-	-	-	19	14	143	7	50	-	-	-	-	5	1	-	3.07s	1	19	-	-	-	3	17	0.21	33.33%	1	2	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	12	Raiders	Sea Eagles
