Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
1	Fullback	80:00	-	-	-	-	-	-	-	-	15	23	196	39	74	-	-	-	-	1	-	-	2.95s	3	24	-	-	-	6	28	0.26	62.5%	5	3	-	-	3	1	10	-	-	1	-	-	-	-	4	1	-	1	-	-	-	-	-	80:00	-	1	Broncos	Panthers
5	Winger	80:00	-	-	-	-	-	-	-	-	21	12	96	16	38	-	-	-	-	2	-	-	3.05s	2	22	-	-	1	3	15	0.25	100%	3	-	-	-	1	1	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	2	Broncos	Cowboys
5	Winger	80:00	4	1	-	-	-	-	-	-	43	13	173	10	52	1	-	-	-	4	-	-	2.98s	1	13	-	1	-	1	14	0.08	100%	5	-	-	-	1	-	-	-	-	-	-	-	-	-	1	-	-	2	-	-	-	-	-	80:00	-	3	Broncos	Dragons
5	Winger	80:00	4	1	-	-	-	-	-	-	50	18	176	36	51	2	-	-	-	6	3	-	3.62s	-	-	-	-	-	2	22	0.11	100%	4	-	-	-	3	-	-	-	-	-	-	-	-	-	3	1	-	1	-	-	-	-	-	80:00	-	4	Broncos	Dolphins
5	Winger	80:00	4	1	-	-	-	-	-	-	41	10	234	46	21	-	-	-	-	4	1	-	3.54s	-	-	-	-	-	2	12	0.2	66.67%	2	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	5	Broncos	Wests Tigers
5	Winger	80:00	4	1	-	-	-	-	-	-	48	15	146	52	28	2	-	-	-	8	-	-	3.2s	-	-	-	1	-	4	21	0.27	100%	3	-	-	-	1	-	-	-	-	-	-	-	-	-	3	3	-	-	-	-	-	-	-	80:00	-	6	Broncos	Raiders
5	Winger	80:00	4	1	-	-	-	-	-	-	47	15	172	42	22	-	-	-	-	3	-	-	3.62s	2	16	-	2	-	4	21	0.27	66.67%	4	1	1	-	1	1	10	-	-	1	-	-	-	-	3	2	-	-	-	-	-	-	-	80:00	-	7	Broncos	Titans
5	Winger	80:00	-	-	-	-	-	-	-	-	23	13	148	19	35	-	-	-	-	7	1	-	3.13s	-	-	-	-	-	1	15	0.08	71.43%	5	2	-	-	2	-	-	-	-	-	-	-	-	-	3	2	-	1	-	-	-	-	-	80:00	-	8	Broncos	Eels
5	Winger	80:00	-	-	-	-	-	-	-	-	30	13	130	64	34	-	-	-	-	4	2	-	3.21s	-	-	-	-	-	1	18	0.08	100%	7	-	-	-	4	1	17	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	9	Broncos	Rabbitohs
5	Winger	80:00	12	3	-	-	-	-	-	-	69	16	203	16	29	1	-	-	-	3	1	-	3.42s	-	-	-	-	-	1	20	0.06	90%	9	1	-	1	2	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	10	Broncos	Sea Eagles
5	Winger	80:00	-	-	-	-	-	-	-	-	41	19	170	14	30	1	-	-	-	7	2	-	3.25s	1	4	-	-	-	5	23	0.26	100%	4	-	-	-	4	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	11	Broncos	Storm
5	Winger	80:00	4	1	-	-	-	-	-	-	37	18	114	1	37	-	-	-	-	4	1	-	3.05s	-	-	-	1	-	-	20	-	69.23%	9	2	2	-	3	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	80:00	-	12	Broncos	Panthers
