Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
7	Halfback	80:00	4	-	2	4	-	50%	-	-	46	6	40	-	1	1	1	-	-	3	-	-	4.66s	-	-	-	1	2	31	53	5.17	80%	12	2	1	-	-	17	388	1	6	3	-	-	-	1	-	-	-	-	-	-	-	-	-	80:00	-	1	Warriors	Knights
7	Halfback	80:00	4	-	2	2	-	100%	-	-	69	5	25	-	2	1	-	1	-	2	-	-	-	-	-	-	1	3	43	62	8.6	95.45%	21	-	1	-	-	18	528	-	3	2	-	-	1	-	-	-	-	-	-	-	-	-	-	80:00	-	2	Warriors	Roosters
7	Halfback	80:00	6	-	3	5	-	60%	-	-	59	14	72	-	2	-	-	-	-	4	-	-	4s	-	-	-	1	7	45	65	3.21	76%	19	2	4	-	-	17	581	-	6	-	-	-	1	-	-	-	-	-	-	-	-	-	-	80:00	-	3	Warriors	Cowboys
7	Halfback	80:00	8	1	2	3	-	66.67%	-	-	70	15	79	-	9	1	2	1	-	1	-	-	4.12s	-	-	-	-	5	61	85	4.07	83.33%	20	-	4	-	-	19	565	1	2	3	-	-	2	-	1	1	-	1	-	-	-	-	-	80:00	-	4	Warriors	Bulldogs
7	Halfback	80:00	16	1	5	5	1	100%	-	-	89	11	72	-	5	-	2	2	-	2	-	-	4.48s	-	-	-	1	4	41	63	3.73	92.31%	24	1	1	-	-	19	676	1	7	1	-	-	1	-	1	-	-	2	-	-	-	-	-	80:00	-	5	Warriors	Sharks
7	Halfback	80:00	8	-	4	4	-	100%	-	-	60	5	31	-	-	-	2	2	-	-	-	-	-	-	-	-	-	1	48	66	9.6	83.33%	15	-	3	-	-	17	471	2	6	4	-	-	2	-	-	-	-	1	-	1	-	-	-	80:00	-	6	Warriors	Knights
7	Halfback	80:00	6	-	2	4	1	50%	-	-	49	5	27	-	7	-	2	2	-	1	-	-	4.04s	-	-	-	-	1	36	49	7.2	100%	15	-	-	-	1	10	317	1	1	2	-	-	1	-	-	-	-	1	1	-	-	-	-	80:00	-	7	Warriors	Cowboys
7	Halfback	80:00	6	-	3	4	-	75%	-	-	51	11	50	-	-	-	-	-	-	1	-	-	3.8s	-	-	-	-	1	42	63	3.82	95.24%	20	1	-	-	-	21	673	1	7	4	-	-	-	-	-	-	-	2	-	-	-	-	-	80:00	-	8	Warriors	Storm
7	Halfback	80:00	-	-	-	-	-	-	-	-	54	8	41	-	3	-	-	-	-	2	-	-	4.24s	-	-	-	-	2	54	79	6.75	92%	23	1	1	-	-	22	691	2	3	8	-	-	-	1	-	-	-	1	-	-	-	-	-	80:00	-	9	Warriors	Roosters
7	Halfback	80:00	2	-	1	1	-	100%	-	-	67	3	45	-	-	2	-	-	-	3	-	-	5.08s	-	-	-	-	1	56	82	18.67	76.67%	23	4	3	-	-	25	841	2	2	6	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	10	Warriors	Panthers
7	Halfback	80:00	8	-	4	4	-	100%	-	-	71	7	37	6	7	-	-	2	-	2	-	-	4.92s	-	-	-	-	1	36	62	5.14	83.33%	20	2	2	-	1	24	771	2	1	4	-	-	4	-	-	-	-	-	-	-	-	-	-	80:00	-	11	Warriors	Bulldogs
7	Halfback	80:00	6	-	3	4	-	75%	-	-	39	3	13	-	-	-	1	1	-	2	-	-	-	-	-	-	-	-	39	56	13	84.21%	16	1	2	-	-	16	397	-	9	2	-	-	-	1	1	-	-	2	-	-	-	-	-	80:00	-	13	Warriors	Broncos
7	Halfback	80:00	18	2	5	5	-	100%	-	-	95	12	127	-	17	2	1	-	-	5	-	-	4.18s	1	14	-	-	6	41	59	3.42	93.1%	27	1	1	-	-	13	385	-	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	14	Warriors	Dolphins
7	Halfback	68:00	12	1	4	4	-	100%	-	-	75	8	50	-	-	-	2	3	-	-	-	-	4.12s	-	-	-	1	-	33	49	4.13	76.92%	20	3	3	1	1	12	422	-	5	-	-	-	1	1	1	-	-	-	-	-	-	-	-	64:22	03:15	15	Warriors	Raiders
7	Halfback	80:00	16	1	6	9	-	66.67%	-	-	71	10	84	28	2	1	-	2	-	1	-	-	2.32s	-	-	-	-	1	38	57	3.8	83.33%	15	2	1	1	-	14	360	-	9	1	-	-	-	-	2	-	-	-	-	-	-	-	-	80:00	-	17	Warriors	Dragons
7	Halfback	80:00	2	-	1	1	-	100%	-	-	30	8	33	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	40	55	5	81.82%	18	3	1	-	-	15	458	1	3	1	-	-	1	-	1	1	-	1	-	-	-	-	-	80:00	-	18	Warriors	Rabbitohs
7	Halfback	80:00	14	-	7	8	-	87.5%	-	-	67	15	105	4	5	-	-	-	-	2	-	-	4.8s	-	-	-	1	7	48	65	3.2	83.87%	26	4	1	-	1	14	434	2	6	2	-	-	2	-	1	1	-	-	-	-	-	-	-	80:00	-	19	Warriors	Eels
7	Halfback	70:00	10	-	5	7	-	71.43%	-	-	82	12	61	-	2	-	3	3	-	1	-	-	3.55s	-	-	-	-	1	36	60	3	82.35%	14	2	1	-	-	19	601	1	3	4	1	-	2	-	1	-	-	-	-	-	-	-	-	70:21	-	20	Warriors	Sharks
7	Halfback	82:00	9	-	2	3	2	80%	1	-	75	11	81	-	4	-	1	1	-	-	-	-	-	-	-	-	1	1	41	62	3.73	95%	19	-	1	-	2	17	684	2	4	1	-	-	-	1	1	-	-	-	-	-	-	-	-	82:00	-	21	Warriors	Raiders
