Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
4	Centre	80:00	-	-	-	-	-	-	-	-	23	19	201	-	91	-	-	-	-	3	2	-	2.84s	-	-	-	-	-	2	19	0.11	50%	5	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	1	Sharks	Rabbitohs
4	Centre	80:00	-	-	-	-	-	-	-	-	31	13	149	-	56	-	1	1	-	4	1	-	3.49s	-	-	-	-	-	3	15	0.23	72.73%	8	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	2	Sharks	Eels
4	Centre	80:00	-	-	-	1	-	-	-	-	47	18	167	7	34	-	1	-	-	6	-	-	3.49s	-	-	-	1	-	4	20	0.22	100%	10	-	-	-	1	1	5	-	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	3	Sharks	Raiders
4	Centre	80:00	2	-	-	-	1	100%	-	-	38	15	126	11	43	-	2	2	-	-	-	-	3.54s	-	-	-	1	-	4	19	0.27	85.71%	12	1	1	-	-	1	15	-	-	1	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	4	Sharks	Dragons
4	Centre	80:00	-	-	-	-	-	-	-	-	40	15	150	-	65	-	2	3	-	2	-	-	2.98s	-	-	-	1	-	3	18	0.2	69.23%	9	4	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-	80:00	-	5	Sharks	Warriors
4	Centre	80:00	-	-	-	-	-	-	-	-	47	18	212	-	92	-	1	1	-	4	-	-	3.13s	-	-	-	2	-	7	18	0.39	87.5%	7	1	-	-	-	1	15	-	-	1	-	-	-	1	-	-	-	-	-	-	-	-	-	80:00	-	7	Sharks	Roosters
4	Centre	80:00	-	-	-	-	-	-	-	-	30	14	146	-	62	-	2	-	-	1	-	-	3.56s	-	-	-	-	-	3	14	0.21	100%	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	8	Sharks	Bulldogs
4	Centre	80:00	4	1	-	-	-	-	-	-	63	21	201	-	64	1	3	2	-	6	1	-	3.79s	-	-	-	-	-	4	22	0.19	87.5%	7	1	-	-	2	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	80:00	-	9	Sharks	Cowboys
4	Centre	80:00	-	-	-	-	-	-	-	-	56	24	242	-	97	1	2	2	-	4	-	-	2.93s	-	-	-	2	-	4	26	0.17	62.5%	5	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	80:00	-	10	Sharks	Dolphins
4	Centre	80:00	4	1	-	-	-	-	-	-	33	17	190	-	52	1	1	-	-	2	1	-	3.24s	-	-	-	-	-	5	21	0.29	62.5%	10	6	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	14	Sharks	Broncos
4	Centre	80:00	-	-	-	-	-	-	-	-	31	18	169	-	66	-	1	-	-	4	2	-	3.79s	-	-	-	1	-	1	19	0.06	73.33%	11	2	2	-	-	-	-	-	-	-	-	-	-	-	3	3	-	-	-	-	-	-	-	80:00	-	15	Sharks	Storm
4	Centre	80:00	-	-	-	-	-	-	-	-	24	15	178	-	62	1	-	-	-	5	1	-	2.77s	-	-	-	-	-	2	16	0.13	42.86%	3	3	1	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	16	Sharks	Bulldogs
4	Centre	80:00	4	1	-	-	-	-	-	-	62	16	140	-	39	1	3	2	-	4	1	-	3.99s	-	-	-	-	-	6	21	0.38	100%	9	-	-	-	-	2	49	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	18	Sharks	Dragons
4	Centre	80:00	8	2	-	-	-	-	-	-	68	17	181	-	42	2	-	-	-	6	-	-	3.57s	-	-	-	-	-	1	15	0.06	75%	12	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	19	Sharks	Wests Tigers
4	Centre	80:00	-	-	-	-	-	-	-	-	11	13	104	-	36	-	1	-	-	2	-	-	3.41s	-	-	-	-	-	5	16	0.38	58.33%	7	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	20	Sharks	Warriors
15	Centre	80:00	-	-	-	-	-	-	-	-	18	13	115	4	37	1	-	-	-	1	-	-	3.59s	-	-	-	-	-	-	13	-	70%	7	2	1	-	-	-	-	-	-	-	-	-	-	-	1	1	1	-	-	-	-	-	-	80:00	-	22	Sharks	Panthers
