Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
16	Interchange	33:00	-	-	-	-	-	-	-	-	27	9	92	-	46	-	-	-	-	-	9	-	4.1s	-	-	-	-	-	-	9	-	87.1%	27	3	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	-	-	-	26:08	07:11	1	Panthers	Broncos
16	Interchange	35:00	-	-	-	-	-	-	-	-	29	12	120	19	44	-	-	-	-	1	10	-	3.46s	-	-	-	-	-	-	12	-	87.5%	21	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:47	07:52	2	Panthers	Rabbitohs
16	Interchange	32:00	-	-	-	-	-	-	-	-	40	8	86	-	38	-	-	-	-	1	7	-	3.58s	-	-	-	-	-	1	8	0.13	100%	26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:40	06:37	4	Panthers	Eels
16	Interchange	42:00	-	-	-	-	-	-	-	-	37	14	140	65	43	-	-	-	-	5	10	-	3.98s	-	-	-	-	-	-	14	-	93.75%	15	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	37:02	05:43	5	Panthers	Raiders
16	Interchange	40:00	-	-	-	-	-	-	-	-	29	11	119	61	35	-	-	-	-	-	7	-	4.02s	-	-	1	-	1	-	11	-	90.91%	20	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	35:39	04:36	6	Panthers	Sea Eagles
16	Interchange	35:00	-	-	-	-	-	-	-	-	27	12	168	51	64	-	-	-	-	2	9	-	3.93s	-	-	-	-	-	-	13	-	90.91%	10	-	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	-	-	-	32:44	01:47	7	Panthers	Knights
16	Interchange	38:00	-	-	-	-	-	-	-	-	44	11	120	22	26	-	-	-	-	5	9	-	3.34s	-	-	-	-	-	-	12	-	95.83%	23	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35:18	02:27	8	Panthers	Rabbitohs
21	Interchange	44:00	4	1	-	-	-	-	-	-	56	13	134	28	50	1	-	-	-	3	11	-	3.55s	-	-	-	-	-	-	13	-	91.3%	21	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:14	17:01	10	Panthers	Warriors
24	Interchange	28:00	-	-	-	-	-	-	-	-	19	6	60	25	22	-	-	-	-	-	4	-	4.19s	-	-	-	-	-	-	6	-	85%	17	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:58	-	14	Panthers	Dragons
16	Interchange	31:00	-	-	-	-	-	-	-	-	16	11	112	41	40	-	-	-	-	-	8	-	3.98s	-	-	-	-	-	-	12	-	87.5%	14	1	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	1	-	28:05	10:41	15	Panthers	Roosters
16	Prop	42:00	-	-	-	-	-	-	-	-	32	9	82	-	30	-	-	-	-	3	9	-	3.65s	-	-	-	-	-	1	10	0.11	91.67%	22	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	18:45	22:44	16	Panthers	Cowboys
16	Interchange	28:00	-	-	-	-	-	-	-	-	31	9	85	-	28	-	-	-	-	6	9	-	2.97s	-	-	-	-	-	-	9	-	85%	17	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:50	-	17	Panthers	Knights
16	Interchange	28:00	-	-	-	-	-	-	-	-	14	8	66	-	24	-	-	-	-	1	8	-	3.8s	-	-	-	-	-	-	8	-	88.89%	8	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:22	-	18	Panthers	Storm
16	Interchange	27:00	-	-	-	-	-	-	-	-	25	6	66	16	16	-	-	-	-	1	5	-	2.74s	-	-	-	-	-	-	6	-	95%	19	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:58	-	20	Panthers	Dolphins
16	Interchange	15:00	-	-	-	-	-	-	-	-	4	3	19	-	6	-	-	-	-	-	3	-	3.4s	-	-	-	-	-	-	3	-	55.56%	5	1	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13:50	-	21	Panthers	Bulldogs
