Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
18	Reserve	10:00	-	-	-	-	-	-	-	-	5	2	22	-	4	-	-	-	-	1	-	-	3.3s	-	-	-	-	-	-	3	-	100%	1	-	-	-	-	1	16	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	09:49	-	2	Wests Tigers	Knights
4	Centre	80:00	-	-	-	-	-	-	-	-	22	12	93	-	21	-	-	-	-	3	-	-	3.99s	-	-	-	1	-	4	14	0.33	100%	8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	80:00	-	3	Wests Tigers	Bulldogs
18	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	Wests Tigers	Storm
17	Centre	80:00	-	-	-	-	-	-	-	-	37	12	122	-	41	-	-	-	-	1	-	-	3s	-	-	-	1	-	3	15	0.25	77.78%	14	2	2	-	-	1	10	-	-	1	-	-	-	-	1	-	-	1	-	-	-	-	-	80:00	-	5	Wests Tigers	Broncos
4	Centre	80:00	4	1	-	-	-	-	-	-	47	14	182	11	30	-	-	-	-	4	1	-	3.07s	-	-	-	1	-	6	19	0.43	88.89%	8	1	-	1	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	6	Wests Tigers	Eels
3	Centre	80:00	4	1	-	-	-	-	-	-	61	13	111	-	24	1	1	1	-	7	-	-	3.83s	-	-	-	1	-	2	16	0.15	88.24%	15	2	-	-	-	1	20	1	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	8	Wests Tigers	Sea Eagles
3	Centre	80:00	-	-	-	-	-	-	-	-	37	13	164	13	41	1	-	-	-	6	-	-	4.28s	-	-	-	-	-	3	15	0.23	87.5%	7	1	-	-	-	1	20	-	-	1	-	-	-	1	-	-	-	-	-	-	-	-	-	80:00	-	9	Wests Tigers	Panthers
3	Centre	80:00	4	1	-	-	-	-	-	-	26	9	87	-	20	-	1	-	-	2	-	-	3.47s	-	-	-	-	-	6	12	0.67	66.67%	12	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	10	Wests Tigers	Dragons
3	Centre	80:00	-	-	-	-	-	-	-	-	41	24	203	9	68	-	-	-	-	2	1	-	3.47s	-	-	-	2	2	6	29	0.25	88.24%	15	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	11	Wests Tigers	Rabbitohs
3	Centre	80:00	8	2	-	-	-	-	-	-	101	14	230	-	30	5	-	1	-	12	1	-	3.35s	1	15	-	1	-	4	19	0.29	73.68%	14	2	3	-	-	3	33	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	12	Wests Tigers	Cowboys
3	Centre	80:00	-	-	-	-	-	-	-	-	43	11	118	-	36	1	-	-	-	7	1	-	4.68s	-	-	-	-	-	6	16	0.55	87.5%	14	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	14	Wests Tigers	Raiders
3	Centre	80:00	-	-	-	-	-	-	-	-	31	15	108	-	32	-	-	-	-	4	-	-	3.59s	-	-	1	1	4	12	25	0.8	81.25%	13	2	1	-	-	1	8	-	-	1	-	-	-	1	2	1	1	-	-	-	-	-	-	80:00	-	15	Wests Tigers	Titans
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	36	13	97	-	20	-	-	-	-	3	-	-	3.97s	-	-	-	2	1	26	36	2	91.3%	21	2	-	-	-	1	8	-	-	1	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	16	Wests Tigers	Storm
4	Centre	80:00	-	-	-	-	-	-	-	-	39	11	105	-	33	-	1	-	-	4	-	-	2.96s	-	-	-	2	-	2	12	0.18	77.27%	17	3	2	-	-	1	11	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	18	Wests Tigers	Cowboys
3	Centre	80:00	-	-	-	-	-	-	-	-	24	11	94	-	22	-	-	-	-	3	-	-	3.55s	1	9	-	1	-	3	14	0.27	77.27%	17	3	2	-	-	-	-	-	-	-	-	-	-	-	2	2	-	1	-	-	1	-	-	80:00	-	19	Wests Tigers	Sharks
