Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
8	Prop	49:00	-	-	-	-	-	-	-	-	32	12	95	-	31	-	-	-	-	1	11	-	3.68s	-	-	-	-	-	2	13	0.17	96.15%	25	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	22:20	26:59	1	Wests Tigers	Titans
8	Prop	58:00	4	1	-	-	-	-	-	-	52	13	134	-	41	1	-	-	-	1	13	-	3.39s	-	-	-	-	-	1	16	0.08	93.02%	40	2	1	-	-	-	-	-	-	-	-	-	-	-	3	3	1	2	-	1	-	-	-	27:09	30:53	2	Wests Tigers	Knights
8	Prop	45:00	-	-	-	-	-	-	-	-	57	9	86	12	25	-	-	-	-	2	7	-	3.16s	-	-	-	-	1	1	9	0.11	86.96%	40	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25:21	19:54	3	Wests Tigers	Bulldogs
8	Prop	44:00	-	-	-	-	-	-	-	-	40	10	87	-	42	-	-	-	-	1	10	-	3.25s	-	-	-	-	-	-	10	-	93.75%	30	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21:30	22:46	4	Wests Tigers	Storm
8	Interchange	38:00	-	-	-	-	-	-	-	-	40	9	88	14	32	-	-	-	-	2	8	-	3.1s	-	-	-	1	-	-	9	-	96.55%	28	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	38:24	-	5	Wests Tigers	Broncos
8	Prop	42:00	-	-	-	-	-	-	-	-	38	11	104	-	49	-	-	-	-	2	11	-	3.01s	-	-	-	-	-	1	12	0.09	95.65%	22	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	21:09	20:35	6	Wests Tigers	Eels
8	Prop	43:00	-	-	-	-	-	-	-	-	26	13	116	-	55	-	-	-	-	1	13	-	2.78s	-	-	-	-	1	2	15	0.15	80.95%	17	3	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	21:46	21:20	8	Wests Tigers	Sea Eagles
8	Prop	34:00	-	-	-	-	-	-	-	-	33	11	126	36	51	-	-	-	-	4	9	-	3.68s	-	-	-	-	-	1	12	0.09	94.44%	17	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	19:48	14:13	9	Wests Tigers	Panthers
8	Prop	43:00	-	-	-	-	-	-	-	-	32	13	116	15	38	-	-	-	-	2	12	-	2.97s	-	-	-	-	-	1	14	0.08	92.59%	25	2	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	20:52	22:11	10	Wests Tigers	Dragons
8	Prop	46:00	-	-	-	-	-	-	-	-	46	10	91	-	42	-	-	-	-	3	10	-	2.74s	-	-	-	-	-	2	12	0.2	97.06%	33	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	17:10	29:28	11	Wests Tigers	Rabbitohs
8	Prop	44:00	4	1	-	-	-	-	-	-	60	16	185	47	64	2	-	-	-	4	12	-	3.08s	-	-	-	1	-	2	18	0.13	100%	14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:14	20:59	12	Wests Tigers	Cowboys
8	Prop	43:00	-	-	-	-	-	-	-	-	41	13	129	-	48	-	-	-	-	-	12	-	3.25s	-	-	-	-	1	4	16	0.31	96.88%	31	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	24:05	19:11	14	Wests Tigers	Raiders
8	Prop	47:00	-	-	-	-	-	-	-	-	48	12	127	-	45	-	-	-	-	4	12	-	3.15s	-	-	-	2	-	4	16	0.33	89.66%	26	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25:37	21:18	15	Wests Tigers	Titans
8	Prop	42:00	-	-	-	-	-	-	-	-	32	10	71	-	30	-	-	-	-	2	9	-	3.11s	-	-	-	-	-	2	11	0.2	83.33%	25	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18:25	24:22	18	Wests Tigers	Cowboys
8	Prop	46:00	-	-	-	-	-	-	-	-	38	10	85	-	32	-	-	-	-	-	10	-	3.47s	-	-	-	1	1	3	14	0.3	97.06%	33	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	1	-	-	-	-	24:54	20:53	19	Wests Tigers	Sharks
8	Prop	47:00	-	-	-	-	-	-	-	-	33	9	93	-	47	-	-	-	-	3	8	-	3.14s	-	-	-	1	1	4	12	0.44	88.89%	24	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	22:10	25:04	20	Wests Tigers	Knights
8	Prop	55:00	-	-	-	-	-	-	-	-	57	16	142	42	61	-	-	-	-	2	13	-	3.32s	-	-	-	2	-	4	19	0.25	94.59%	35	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25:15	29:35	21	Wests Tigers	Dragons
8	Prop	52:00	-	-	-	-	-	-	-	-	58	15	119	10	50	-	-	-	-	8	13	-	2.99s	-	-	-	1	-	-	15	-	93.1%	27	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:56	18:23	22	Wests Tigers	Rabbitohs
