Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
2	Winger	80:00	-	-	-	-	-	-	-	-	17	13	119	7	34	1	-	-	-	-	1	-	3.89s	1	7	-	-	-	2	14	0.15	100%	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	6	Rabbitohs	Bulldogs
18	Winger	79:00	-	-	-	-	-	-	-	-	30	13	147	14	51	1	-	-	-	2	-	-	4.06s	1	-	-	-	-	-	15	-	90%	9	1	-	-	3	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	61:01	18:24	7	Rabbitohs	Dolphins
18	Winger	80:00	-	-	-	-	-	-	-	-	20	20	103	5	22	-	-	-	-	2	-	-	3.28s	2	22	-	1	-	2	22	0.1	80%	4	1	-	-	4	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	80:00	-	8	Rabbitohs	Panthers
5	Winger	80:00	-	-	-	-	-	-	-	-	31	18	182	14	67	2	-	1	-	1	-	-	3.82s	1	10	-	1	-	3	21	0.17	66.67%	4	2	-	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	9	Rabbitohs	Broncos
5	Winger	80:00	-	-	-	-	-	-	-	-	24	16	140	19	40	-	-	-	-	2	-	-	3.31s	-	-	-	-	-	-	17	-	80%	4	1	-	-	2	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	10	Rabbitohs	Storm
5	Winger	80:00	8	2	-	-	-	-	-	-	57	25	271	17	100	3	-	-	-	3	-	-	3.51s	-	-	-	-	-	1	26	0.04	50%	1	1	-	-	1	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	80:00	-	11	Rabbitohs	Wests Tigers
5	Winger	80:00	-	-	-	-	-	-	-	-	30	14	125	12	26	-	-	-	-	3	1	-	2.78s	-	-	-	1	-	1	15	0.07	50%	2	1	1	-	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	12	Rabbitohs	Eels
5	Winger	80:00	-	-	-	-	-	-	-	-	24	12	80	-	29	-	-	-	-	-	-	-	4.03s	-	-	-	-	-	-	12	-	100%	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	13	Rabbitohs	Raiders
18	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	Rabbitohs	Titans
18	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	Rabbitohs	Dragons
19	Centre	80:00	-	-	-	-	-	-	-	-	31	17	164	-	77	-	-	-	-	-	-	-	3.71s	-	-	-	2	-	2	17	0.12	83.33%	5	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	80:00	-	18	Rabbitohs	Warriors
4	2nd Row	70:00	-	-	-	-	-	-	-	-	11	13	120	-	30	-	-	1	-	-	6	-	2.71s	1	12	-	-	-	6	19	0.46	76.47%	13	3	1	-	-	1	13	-	-	1	-	-	-	-	3	2	-	2	-	-	1	1	-	70:00	-	19	Rabbitohs	Bulldogs
5	Winger	80:00	-	-	-	-	-	-	-	-	26	12	113	-	52	-	-	-	-	3	-	-	3.58s	-	-	-	1	-	1	16	0.08	80%	4	1	-	-	-	1	38	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	21	Rabbitohs	Broncos
5	Winger	80:00	-	-	-	-	-	-	-	-	40	13	127	25	24	2	-	-	-	3	1	-	3.93s	-	-	-	1	-	4	17	0.31	100%	6	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	22	Rabbitohs	Wests Tigers
