Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
21	Five-Eighth	80:00	-	-	-	-	-	-	-	-	17	7	44	-	18	-	-	1	-	1	-	-	4.81s	-	-	-	-	2	28	44	4	63.64%	7	4	-	-	-	8	179	1	2	3	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	5	Dragons	Dolphins
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	15	10	78	-	21	-	-	-	-	1	-	-	4.4s	-	-	-	-	7	28	38	2.8	70%	14	4	2	-	-	2	8	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	6	Dragons	Titans
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	5	12	67	-	9	-	-	-	-	3	-	-	4.16s	-	-	-	1	1	33	42	2.75	46.67%	7	8	-	-	-	2	26	-	1	1	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	7	Dragons	Raiders
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	25	15	85	-	22	-	-	-	-	5	-	-	3.34s	-	-	-	1	5	30	45	2	66.67%	6	2	1	-	-	4	58	-	1	1	-	-	1	-	-	-	-	-	-	-	-	-	-	80:00	-	8	Dragons	Roosters
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	35	12	73	-	30	-	1	1	-	1	-	-	3.52s	-	-	-	3	4	19	33	1.58	83.33%	15	3	-	-	-	3	105	-	-	-	-	-	1	-	1	1	-	-	1	-	-	-	-	80:00	-	9	Dragons	Bulldogs
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	26	7	42	-	3	-	-	-	-	-	-	-	3.1s	-	-	-	-	6	40	45	5.71	89.29%	25	3	-	-	-	3	70	1	1	1	-	-	-	-	-	-	-	-	1	-	-	-	-	80:00	-	10	Dragons	Wests Tigers
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	26	6	48	-	4	-	-	-	-	-	-	-	2.34s	-	-	-	-	1	34	39	5.67	86.21%	25	2	2	-	-	3	54	-	1	2	-	-	-	1	-	-	-	-	-	-	-	-	-	80:00	-	11	Dragons	Cowboys
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	30	9	74	-	9	1	1	-	-	3	-	-	3.5s	1	7	-	2	6	30	36	3.33	75%	9	3	-	-	-	1	20	-	-	1	-	-	-	1	-	-	-	-	-	-	-	-	-	80:00	-	12	Dragons	Roosters
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	40	15	97	-	33	-	-	1	-	2	1	-	3.57s	-	-	-	1	11	27	39	1.8	85.71%	12	2	-	-	-	4	127	1	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	13	Dragons	Dolphins
18	Interchange	04:00	-	-	-	-	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	50%	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	04:00	-	15	Dragons	Rabbitohs
14	Interchange	23:00	-	-	-	-	-	-	-	-	11	7	51	-	15	-	-	-	-	1	-	-	3.99s	-	-	-	-	2	4	11	0.57	100%	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:00	-	17	Dragons	Warriors
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	63	18	127	-	27	1	2	1	-	6	-	-	3.46s	-	-	-	2	7	38	56	2.11	84.21%	16	2	1	-	-	8	209	1	3	1	-	-	1	-	3	3	-	-	-	-	-	-	-	80:00	-	19	Dragons	Raiders
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	49	15	94	-	37	-	1	1	-	2	-	-	3.78s	-	-	-	2	9	29	43	1.93	80.77%	21	3	2	-	-	2	65	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	21	Dragons	Wests Tigers
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	35	9	56	-	17	-	1	1	-	4	-	-	3.9s	1	8	-	1	10	41	55	4.56	88.89%	16	2	-	-	-	5	45	-	-	2	-	-	2	-	-	-	-	1	-	-	-	-	-	80:00	-	22	Dragons	Sea Eagles
