Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
10	Prop	47:00	-	-	-	-	-	-	-	-	51	15	121	-	44	-	-	-	-	2	14	-	3.06s	-	-	-	6	-	3	19	0.2	91.3%	21	1	1	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	22:29	24:38	7	Bulldogs	Eels
10	Prop	49:00	-	-	-	-	-	-	-	-	31	13	115	25	36	-	-	-	-	-	10	-	3.38s	-	-	-	1	-	1	13	0.08	95.24%	20	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	23:46	18:02	8	Bulldogs	Sharks
10	Prop	47:00	-	-	-	-	-	-	-	-	15	14	124	47	39	-	-	-	-	-	9	-	4.25s	-	-	-	-	-	2	16	0.14	71.88%	23	8	1	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	20:23	22:09	9	Bulldogs	Dragons
10	Prop	44:00	-	-	-	-	-	-	-	-	40	10	90	20	26	-	-	-	-	1	7	-	3.51s	-	-	-	3	-	1	11	0.1	80.56%	29	4	3	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	29:36	09:21	10	Bulldogs	Raiders
10	Prop	40:00	-	-	-	-	-	-	-	-	40	14	112	12	30	-	-	-	-	2	10	-	3.67s	-	-	-	1	-	8	19	0.57	95.83%	23	-	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	17:56	21:34	11	Bulldogs	Warriors
10	Prop	57:00	-	-	-	-	-	-	-	-	74	19	213	41	74	-	-	-	-	2	15	-	3.79s	-	-	-	2	-	2	19	0.11	85%	34	1	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:28	20:45	12	Bulldogs	Titans
23	Lock	51:00	4	1	-	-	-	-	-	-	50	21	191	38	60	-	-	-	-	1	16	-	3s	-	-	-	1	-	1	22	0.05	95.45%	21	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21:19	24:26	14	Bulldogs	Roosters
10	Prop	51:00	-	-	-	-	-	-	-	-	47	15	131	-	43	-	-	-	-	-	12	-	2.83s	1	7	-	5	-	5	17	0.33	82.76%	24	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	25:52	24:59	15	Bulldogs	Eels
10	Prop	49:00	-	-	-	-	-	-	-	-	36	15	142	29	41	-	-	-	-	1	11	-	3.66s	-	-	-	2	-	8	21	0.53	83.33%	20	3	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	18:54	29:43	16	Bulldogs	Sharks
10	Prop	35:00	-	-	-	-	-	-	-	-	11	6	37	-	5	-	-	-	-	-	4	-	3.16s	-	-	-	-	-	5	9	0.83	70%	14	5	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17:56	16:59	18	Bulldogs	Knights
16	Interchange	39:00	-	-	-	-	-	-	-	-	44	13	122	39	30	-	-	-	-	3	8	-	3.88s	1	3	-	4	-	4	15	0.31	92.31%	12	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20:40	17:47	19	Bulldogs	Rabbitohs
16	Interchange	35:00	-	-	-	-	-	-	-	-	43	13	120	25	44	-	1	-	-	3	10	-	3.51s	-	-	-	3	-	4	16	0.31	100%	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34:52	-	20	Bulldogs	Broncos
16	2nd Row	45:00	-	-	-	-	-	-	-	-	30	9	77	-	30	-	-	-	-	4	8	-	3.64s	-	-	-	1	-	3	11	0.33	84%	21	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	1	-	-	22:09	23:12	21	Bulldogs	Panthers
10	Prop	37:00	-	-	-	-	-	-	-	-	14	11	125	13	50	-	-	-	-	-	10	-	3.14s	-	-	-	-	-	1	12	0.09	70%	14	5	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	22:22	14:47	22	Bulldogs	Dolphins
