Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
10	Prop	57:00	-	-	-	-	-	-	-	-	29	15	171	-	67	-	-	-	-	1	15	-	3.59s	-	-	-	-	-	-	16	-	76.47%	26	5	3	-	-	-	-	-	-	-	-	-	-	-	1	1	-	2	-	-	1	-	-	29:20	28:25	1	Titans	Wests Tigers
10	Prop	70:00	4	1	-	-	-	-	-	-	70	15	128	25	32	1	-	-	-	4	12	-	4.04s	-	-	-	2	-	1	13	0.07	85.71%	42	4	3	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	25:33	44:45	2	Titans	Dragons
10	Prop	65:00	-	-	-	-	-	-	-	-	43	18	145	-	56	-	-	-	-	-	16	-	3.94s	-	-	-	3	-	2	18	0.11	95.45%	21	-	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	23:24	41:30	3	Titans	Storm
10	Prop	65:00	-	-	-	-	-	-	-	-	51	22	222	-	66	-	-	-	-	1	20	-	3.86s	1	9	-	3	1	4	25	0.18	83.33%	25	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	32:00	32:35	4	Titans	Cowboys
10	Prop	72:00	-	-	-	-	-	-	-	-	53	15	152	19	53	-	-	-	-	-	13	-	3.7s	-	-	-	-	-	2	18	0.13	95.24%	40	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	35:39	35:33	6	Titans	Dragons
10	Prop	49:00	-	-	-	-	-	-	-	-	40	9	93	-	31	-	-	-	-	1	9	-	3.43s	-	-	-	1	-	4	14	0.44	92.11%	35	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	28:07	31:26	7	Titans	Broncos
10	Prop	54:00	4	1	-	-	-	-	-	-	52	16	182	-	75	1	-	-	-	3	14	-	2.87s	1	10	-	-	1	-	16	-	78.57%	22	3	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:06	28:13	8	Titans	Dolphins
10	Prop	61:00	-	-	-	-	-	-	-	-	45	18	184	20	70	-	-	-	-	1	16	-	3.88s	-	-	-	-	-	1	19	0.06	90.24%	37	2	2	-	-	-	-	-	-	-	-	-	-	-	2	1	-	2	-	-	-	-	-	33:08	28:11	9	Titans	Sea Eagles
10	Prop	73:00	-	-	-	-	-	-	-	-	71	18	157	-	44	-	-	-	-	4	18	-	4.05s	-	-	-	2	-	2	20	0.11	88%	44	2	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	70:10	03:01	10	Titans	Eels
10	Prop	56:00	-	-	-	-	-	-	-	-	53	12	134	37	39	-	-	-	-	2	10	-	4.46s	-	-	-	1	-	1	13	0.08	90%	36	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:48	27:35	11	Titans	Knights
10	Prop	64:00	-	-	-	-	-	-	-	-	77	17	148	5	52	-	1	1	-	5	16	-	3.12s	-	-	-	5	-	6	24	0.35	85.71%	42	4	3	-	-	-	-	-	-	-	-	-	-	-	2	2	-	1	-	-	-	-	-	33:08	31:17	12	Titans	Bulldogs
10	Interchange	60:00	4	1	-	-	-	-	-	-	72	17	160	-	70	1	-	-	-	2	16	-	2.98s	1	2	-	2	1	4	21	0.24	94.44%	34	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	60:00	-	14	Titans	Rabbitohs
10	Prop	61:00	4	1	-	-	-	-	-	-	69	16	155	-	53	1	-	-	-	3	16	-	4.5s	-	-	-	2	-	4	21	0.25	81.4%	35	4	4	-	-	-	-	-	-	-	-	-	-	-	1	1	1	-	1	-	1	-	-	29:49	30:44	15	Titans	Wests Tigers
10	Prop	55:00	4	1	-	-	-	-	-	-	71	17	182	-	70	1	-	-	-	4	17	-	3.59s	-	-	-	1	-	1	18	0.06	88.1%	37	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	31:26	23:56	18	Titans	Raiders
10	Interchange	50:00	-	-	-	-	-	-	-	-	41	15	161	14	72	-	1	-	-	1	14	-	3.71s	-	-	-	2	-	-	19	-	83.33%	25	2	3	-	-	-	-	-	-	-	-	-	-	-	1	-	-	2	-	-	-	-	-	41:23	08:58	20	Titans	Eels
