Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
18	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	Sea Eagles	Rabbitohs
17	Interchange	43:00	-	-	-	-	-	-	-	-	48	16	163	14	60	-	-	-	-	3	15	-	3.15s	-	-	-	1	-	-	16	-	100%	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34:20	09:07	7	Sea Eagles	Storm
17	Interchange	45:00	-	-	-	-	-	-	-	-	60	12	113	26	34	-	-	-	-	5	9	-	3.2s	-	-	-	2	-	-	12	-	90.32%	28	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35:00	09:45	8	Sea Eagles	Wests Tigers
17	Interchange	17:00	-	-	-	-	-	-	-	-	13	3	34	-	14	-	-	-	-	-	3	-	3.06s	-	-	-	1	-	-	3	-	100%	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	1	-	27:06	-	9	Sea Eagles	Titans
10	Prop	44:00	-	-	-	-	-	-	-	-	49	14	165	65	44	1	-	-	-	4	10	-	2.88s	-	-	-	-	-	3	17	0.21	93.1%	27	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	21:20	22:58	13	Sea Eagles	Knights
10	Prop	42:00	-	-	-	-	-	-	-	-	26	11	115	35	55	-	-	-	-	2	7	-	2.64s	1	3	-	-	-	-	10	-	100%	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	-	-	-	-	23:10	19:19	15	Sea Eagles	Dolphins
10	Prop	35:00	-	-	-	-	-	-	-	-	37	8	74	28	28	-	-	-	-	-	5	-	3.43s	1	3	-	1	1	2	10	0.25	95.83%	23	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	28:25	07:28	16	Sea Eagles	Eels
10	Prop	46:00	-	-	-	-	-	-	-	-	37	12	106	22	40	-	-	-	-	2	9	-	2.94s	-	-	-	1	-	1	13	0.08	95.45%	21	-	1	-	-	1	26	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	26:09	19:58	17	Sea Eagles	Storm
10	Prop	31:00	-	-	-	-	-	-	-	-	48	18	121	3	44	-	1	-	-	4	17	-	3.23s	-	-	-	2	-	-	18	-	95.24%	20	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	14:54	12:06	18	Sea Eagles	Roosters
10	Interchange	24:00	-	-	-	-	-	-	-	-	31	9	72	-	31	-	-	-	-	1	9	-	2.85s	-	-	2	2	-	-	11	-	80%	16	3	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	10:04	14:11	20	Sea Eagles	Cowboys
8	Prop	37:00	-	-	-	-	-	-	-	-	31	7	65	-	35	-	-	-	-	-	7	-	3.03s	-	-	-	-	-	-	7	-	100%	25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20:29	17:20	22	Sea Eagles	Dragons
